GID,share
1,0.0
10,1.0
1000,1.0
1001,1.0
1002,1.0
1004,1.0
1005,1.0
1007,1.0
1008,1.0
1009,1.0
1010,0.0
1011,1.0
1012,1.0
1013,1.0
1014,1.0
1015,1.0
1016,1.0
1017,1.0
1021,1.0
1022,1.0
1023,1.0
1024,0.0
1025,1.0
1026,0.0
1028,1.0
1029,1.0
103,1.0
1030,1.0
1036,1.0
104,1.0
1041,1.0
1042,1.0
1045,1.0
1046,1.0
1047,1.0
1048,1.0
105,1.0
1050,1.0
1051,0.0
1052,0.0
1053,1.0
1054,1.0
1055,1.0
1056,0.0
1057,0.0
1058,1.0
1059,1.0
106,1.0
1060,1.0
1061,1.0
1062,1.0
1063,1.0
1064,1.0
1065,1.0
1067,1.0
1068,1.0
107,1.0
1071,0.0
1072,0.0
1073,0.0
1079,1.0
108,1.0
109,1.0
1094,1.0
1095,1.0
1096,1.0
1097,1.0
1098,1.0
1099,1.0
11,1.0
1100,1.0
1101,1.0
1102,1.0
1103,1.0
1104,1.0
1105,1.0
1106,1.0
1125,0.0
1126,1.0
1127,1.0
1128,1.0
1130,1.0
1141,1.0
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,1.0
1151,1.0
1152,0.0
1153,1.0
1154,1.0
1155,1.0
1156,1.0
1157,1.0
1159,1.0
1160,1.0
1161,1.0
1163,1.0
1164,1.0
1165,1.0
1166,1.0
1167,1.0
1168,1.0
1169,0.0
1170,1.0
1171,1.0
1172,1.0
1173,1.0
1174,1.0
1175,1.0
1176,1.0
1177,1.0
1178,1.0
1179,1.0
1182,1.0
1185,1.0
1186,1.0
1187,0.0
1188,1.0
1189,1.0
1190,1.0
1191,1.0
1192,1.0
1193,1.0
1194,1.0
1195,1.0
1197,1.0
1198,1.0
12,1.0
1200,1.0
1201,1.0
1203,1.0
1204,1.0
1206,1.0
1207,1.0
1208,1.0
1209,1.0
121,1.0
1210,1.0
1213,1.0
1216,1.0
122,1.0
1220,1.0
1227,1.0
1228,1.0
1229,1.0
123,1.0
1230,1.0
1231,1.0
1232,1.0
1233,1.0
1234,1.0
1235,1.0
1237,1.0
1238,1.0
1239,0.0
124,1.0
1240,1.0
1241,1.0
1242,0.0
1243,1.0
1249,1.0
125,1.0
1250,0.0
1251,1.0
1252,1.0
1253,1.0
1254,0.0
1255,1.0
1256,1.0
1257,1.0
1258,1.0
1259,1.0
126,1.0
1260,1.0
1261,1.0
1262,1.0
