Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.788888888888889,0.23255813953488372
logistic,0.2,0.7058823529411765,0.7346938775510204,0.75,0.7422680412371135,0.7545045045045046,0.29411764705882354
logistic,0.30000000000000004,0.7401574803149606,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.7794486215538847,0.25984251968503935
logistic,0.4,0.7159763313609467,0.7115384615384616,0.8043478260869565,0.7551020408163265,0.7741389045736873,0.28402366863905326
logistic,0.5,0.7109004739336493,0.697841726618705,0.8362068965517241,0.7607843137254902,0.7549909255898367,0.2890995260663507
logistic,0.6,0.7125984251968503,0.7048192771084337,0.8297872340425532,0.7622149837133549,0.7602146488420259,0.2874015748031496
logistic,0.7000000000000001,0.7027027027027027,0.740506329113924,0.7134146341463414,0.7267080745341615,0.7440410199556542,0.2972972972972973
logistic,0.8,0.6568047337278107,0.6733668341708543,0.7243243243243244,0.6979166666666666,0.70761349584879,0.3431952662721893
logistic,0.9,0.631578947368421,0.7195121951219512,0.5566037735849056,0.6276595744680851,0.7042200134770891,0.3684210526315789
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7977777777777778,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7573198198198198,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7260651629072682,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.7320722755505363,0.4556213017751479
svm,0.5,0.5497630331753555,0.5497630331753555,1.0,0.7094801223241591,0.7210526315789474,0.45023696682464454
svm,0.6,0.5551181102362205,0.5551181102362205,1.0,0.7139240506329114,0.7198581560283688,0.4448818897637795
svm,0.7000000000000001,0.5540540540540541,0.5540540540540541,1.0,0.7130434782608697,0.3715123798965262,0.44594594594594594
svm,0.8,0.5473372781065089,0.5473372781065089,1.0,0.7074569789674953,0.36187952658540895,0.4526627218934911
svm,0.9,0.4421052631578947,0.0,0.0,0.0,0.6459877583108715,0.5578947368421052
dtree,0.1,0.6976744186046512,0.7,0.84,0.7636363636363636,0.6655555555555555,0.3023255813953488
dtree,0.2,0.5882352941176471,0.6511627906976745,0.5833333333333334,0.6153846153846155,0.5889639639639639,0.4117647058823529
dtree,0.30000000000000004,0.6456692913385826,0.6712328767123288,0.7,0.6853146853146853,0.6394736842105263,0.3543307086614173
dtree,0.4,0.6804733727810651,0.69,0.75,0.71875,0.6753246753246753,0.31952662721893493
dtree,0.5,0.6303317535545023,0.6417910447761194,0.7413793103448276,0.688,0.6201905626134301,0.3696682464454976
dtree,0.6,0.6456692913385826,0.6666666666666666,0.723404255319149,0.6938775510204082,0.6360384108454151,0.3543307086614173
dtree,0.7000000000000001,0.625,0.653179190751445,0.6890243902439024,0.6706231454005934,0.6172394678492239,0.375
dtree,0.8,0.6272189349112426,0.6411483253588517,0.7243243243243244,0.6802030456852792,0.617064122946476,0.3727810650887574
dtree,0.9,0.618421052631579,0.6488888888888888,0.6886792452830188,0.6681922196796338,0.6092205750224617,0.3815789473684211
random_forests,0.1,0.7441860465116279,0.7916666666666666,0.76,0.7755102040816326,0.7666666666666667,0.2558139534883721
random_forests,0.2,0.6705882352941176,0.717391304347826,0.6875,0.702127659574468,0.6711711711711711,0.32941176470588235
random_forests,0.30000000000000004,0.6771653543307087,0.6835443037974683,0.7714285714285715,0.7248322147651006,0.699498746867168,0.3228346456692913
random_forests,0.4,0.6745562130177515,0.6761904761904762,0.7717391304347826,0.7208121827411168,0.7122388481084133,0.3254437869822485
random_forests,0.5,0.6777251184834123,0.6846153846153846,0.7672413793103449,0.7235772357723578,0.7155172413793104,0.3222748815165877
random_forests,0.6,0.6496062992125984,0.7241379310344828,0.5957446808510638,0.6536964980544748,0.7238435950542899,0.35039370078740156
random_forests,0.7000000000000001,0.6351351351351351,0.675,0.6585365853658537,0.6666666666666667,0.6821877309682188,0.36486486486486486
random_forests,0.8,0.650887573964497,0.6914285714285714,0.654054054054054,0.6722222222222222,0.6922098569157393,0.34911242603550297
random_forests,0.9,0.5605263157894737,0.6595744680851063,0.4386792452830189,0.5269121813031162,0.654509209344115,0.4394736842105263
