Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.7977777777777778,0.23255813953488372
logistic,0.2,0.7294117647058823,0.7450980392156863,0.7916666666666666,0.7676767676767677,0.7601351351351352,0.27058823529411763
logistic,0.30000000000000004,0.7559055118110236,0.7532467532467533,0.8285714285714286,0.7891156462585034,0.787092731829574,0.2440944881889764
logistic,0.4,0.7337278106508875,0.719626168224299,0.8369565217391305,0.7738693467336683,0.7860671936758893,0.26627218934911245
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7955555555555556,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7567567567567567,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7409774436090225,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.7509175607001694,0.4556213017751479
dtree,0.1,0.6976744186046512,0.7307692307692307,0.76,0.7450980392156863,0.6788888888888889,0.3023255813953488
dtree,0.2,0.6,0.6521739130434783,0.625,0.6382978723404256,0.5912162162162162,0.4
dtree,0.30000000000000004,0.6692913385826772,0.6944444444444444,0.7142857142857143,0.7042253521126761,0.6616541353383459,0.33070866141732286
dtree,0.4,0.6449704142011834,0.6702127659574468,0.6847826086956522,0.6774193548387099,0.6422924901185771,0.35502958579881655
random_forests,0.1,0.7674418604651163,0.8260869565217391,0.76,0.7916666666666667,0.7133333333333334,0.23255813953488372
random_forests,0.2,0.7176470588235294,0.7608695652173914,0.7291666666666666,0.7446808510638298,0.7297297297297297,0.2823529411764706
random_forests,0.30000000000000004,0.7007874015748031,0.7424242424242424,0.7,0.7205882352941176,0.75,0.2992125984251969
random_forests,0.4,0.6863905325443787,0.7052631578947368,0.7282608695652174,0.7165775401069518,0.7233201581027667,0.3136094674556213
