Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.7777777777777778,0.23255813953488372
logistic,0.2,0.6941176470588235,0.72,0.75,0.7346938775510204,0.7421171171171171,0.3058823529411765
logistic,0.30000000000000004,0.7322834645669292,0.7307692307692307,0.8142857142857143,0.7702702702702704,0.7696741854636591,0.2677165354330709
logistic,0.4,0.727810650887574,0.7129629629629629,0.8369565217391305,0.77,0.7732919254658385,0.27218934911242604
svm,0.1,0.7906976744186046,0.7857142857142857,0.88,0.830188679245283,0.788888888888889,0.20930232558139536
svm,0.2,0.7529411764705882,0.7288135593220338,0.8958333333333334,0.8037383177570093,0.7438063063063063,0.24705882352941178
svm,0.30000000000000004,0.7322834645669292,0.7,0.9,0.7875,0.7335839598997493,0.2677165354330709
svm,0.4,0.7218934911242604,0.6829268292682927,0.9130434782608695,0.7813953488372093,0.7423771880293619,0.2781065088757396
dtree,0.1,0.6511627906976745,0.6785714285714286,0.76,0.7169811320754718,0.6233333333333333,0.3488372093023256
dtree,0.2,0.5764705882352941,0.6428571428571429,0.5625,0.6000000000000001,0.5726351351351351,0.4235294117647059
dtree,0.30000000000000004,0.6062992125984252,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6021303258145363,0.3937007874015748
dtree,0.4,0.6863905325443787,0.7142857142857143,0.7065217391304348,0.7103825136612023,0.6897233201581028,0.3136094674556213
random_forests,0.1,0.7209302325581395,0.76,0.76,0.76,0.7788888888888889,0.27906976744186046
random_forests,0.2,0.6823529411764706,0.7142857142857143,0.7291666666666666,0.7216494845360826,0.7142454954954955,0.3176470588235294
random_forests,0.30000000000000004,0.7244094488188977,0.7464788732394366,0.7571428571428571,0.75177304964539,0.7372180451127819,0.2755905511811024
random_forests,0.4,0.6982248520710059,0.711340206185567,0.75,0.7301587301587301,0.726072840203275,0.30177514792899407
