Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.788888888888889,0.23255813953488372
logistic,0.2,0.7058823529411765,0.7254901960784313,0.7708333333333334,0.7474747474747475,0.7528153153153153,0.29411764705882354
logistic,0.30000000000000004,0.7401574803149606,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.780451127819549,0.25984251968503935
logistic,0.4,0.7100591715976331,0.7047619047619048,0.8043478260869565,0.751269035532995,0.7724449463579899,0.28994082840236685
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7999999999999999,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7578828828828829,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7268170426065163,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.7326369282891022,0.4556213017751479
dtree,0.1,0.6744186046511628,0.6896551724137931,0.8,0.7407407407407408,0.65,0.32558139534883723
dtree,0.2,0.5764705882352941,0.6363636363636364,0.5833333333333334,0.6086956521739131,0.5754504504504505,0.4235294117647059
dtree,0.30000000000000004,0.6535433070866141,0.6805555555555556,0.7,0.6901408450704225,0.6456140350877193,0.3464566929133858
dtree,0.4,0.7218934911242604,0.7368421052631579,0.7608695652173914,0.7486631016042781,0.7202145680406551,0.2781065088757396
random_forests,0.1,0.6511627906976745,0.7083333333333334,0.68,0.6938775510204083,0.6555555555555556,0.3488372093023256
random_forests,0.2,0.6,0.6666666666666666,0.5833333333333334,0.6222222222222222,0.7271959459459459,0.4
random_forests,0.30000000000000004,0.7086614173228346,0.7391304347826086,0.7285714285714285,0.7338129496402879,0.7150375939849625,0.29133858267716534
random_forests,0.4,0.6804733727810651,0.69,0.75,0.71875,0.7593167701863354,0.31952662721893493
