Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.788888888888889,0.23255813953488372
logistic,0.2,0.7058823529411765,0.7346938775510204,0.75,0.7422680412371135,0.7545045045045046,0.29411764705882354
logistic,0.30000000000000004,0.7401574803149606,0.7402597402597403,0.8142857142857143,0.7755102040816325,0.7794486215538847,0.25984251968503935
logistic,0.4,0.7159763313609467,0.7115384615384616,0.8043478260869565,0.7551020408163265,0.7741389045736873,0.28402366863905326
logistic,0.5,0.7109004739336493,0.697841726618705,0.8362068965517241,0.7607843137254902,0.7549909255898367,0.2890995260663507
logistic,0.6,0.7125984251968503,0.7048192771084337,0.8297872340425532,0.7622149837133549,0.7602146488420259,0.2874015748031496
logistic,0.7000000000000001,0.7027027027027027,0.740506329113924,0.7134146341463414,0.7267080745341615,0.7440410199556542,0.2972972972972973
logistic,0.8,0.6568047337278107,0.6733668341708543,0.7243243243243244,0.6979166666666666,0.70761349584879,0.3431952662721893
logistic,0.9,0.631578947368421,0.7195121951219512,0.5566037735849056,0.6276595744680851,0.7042200134770891,0.3684210526315789
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7999999999999999,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7573198198198198,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7263157894736842,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.7321428571428571,0.4556213017751479
svm,0.5,0.5497630331753555,0.5497630331753555,1.0,0.7094801223241591,0.2818511796733212,0.45023696682464454
svm,0.6,0.5551181102362205,0.5551181102362205,1.0,0.7139240506329114,0.720171970124898,0.4448818897637795
svm,0.7000000000000001,0.5540540540540541,0.5540540540540541,1.0,0.7130434782608697,0.6847052845528456,0.44594594594594594
svm,0.8,0.5473372781065089,0.5473372781065089,1.0,0.7074569789674953,0.6350291467938527,0.4526627218934911
svm,0.9,0.4421052631578947,0.0,0.0,0.0,0.6459737196765499,0.5578947368421052
dtree,0.1,0.6046511627906976,0.6538461538461539,0.68,0.6666666666666666,0.5900000000000001,0.3953488372093023
dtree,0.2,0.5764705882352941,0.6428571428571429,0.5625,0.6000000000000001,0.5785472972972973,0.4235294117647059
dtree,0.30000000000000004,0.6299212598425197,0.6666666666666666,0.6571428571428571,0.6618705035971223,0.6238095238095238,0.3700787401574803
dtree,0.4,0.6863905325443787,0.7052631578947368,0.7282608695652174,0.7165775401069518,0.6840062111801242,0.3136094674556213
dtree,0.5,0.6398104265402843,0.6492537313432836,0.75,0.696,0.6284936479128856,0.36018957345971564
dtree,0.6,0.6535433070866141,0.6666666666666666,0.75177304964539,0.7066666666666667,0.6413732504864118,0.3464566929133858
dtree,0.7000000000000001,0.6317567567567568,0.6608187134502924,0.6890243902439024,0.6746268656716418,0.6248152254249815,0.36824324324324326
dtree,0.8,0.5857988165680473,0.5974025974025974,0.745945945945946,0.6634615384615385,0.569051404345522,0.41420118343195267
dtree,0.9,0.618421052631579,0.6515837104072398,0.6792452830188679,0.6651270207852193,0.6104559748427673,0.3815789473684211
random_forests,0.1,0.6976744186046512,0.7727272727272727,0.68,0.7234042553191491,0.7666666666666667,0.3023255813953488
random_forests,0.2,0.6705882352941176,0.75,0.625,0.6818181818181818,0.7088963963963965,0.32941176470588235
random_forests,0.30000000000000004,0.6692913385826772,0.6944444444444444,0.7142857142857143,0.7042253521126761,0.7325814536340852,0.33070866141732286
random_forests,0.4,0.6627218934911243,0.6966292134831461,0.6739130434782609,0.6850828729281768,0.733977978543196,0.33727810650887574
random_forests,0.5,0.6872037914691943,0.6893939393939394,0.7844827586206896,0.7338709677419355,0.7292649727767696,0.3127962085308057
random_forests,0.6,0.6653543307086615,0.6866666666666666,0.7304964539007093,0.7079037800687284,0.6964790058369422,0.3346456692913386
random_forests,0.7000000000000001,0.668918918918919,0.7426470588235294,0.6158536585365854,0.6733333333333335,0.7292590539541759,0.3310810810810811
random_forests,0.8,0.636094674556213,0.6565656565656566,0.7027027027027027,0.6788511749347259,0.651510333863275,0.363905325443787
random_forests,0.9,0.5894736842105263,0.6686746987951807,0.5235849056603774,0.5873015873015874,0.6669614779874214,0.4105263157894737
