Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.7844444444444446,0.23255813953488372
logistic,0.2,0.7647058823529411,0.78,0.8125,0.7959183673469388,0.7522522522522522,0.23529411764705882
logistic,0.30000000000000004,0.7244094488188977,0.7333333333333333,0.7857142857142857,0.7586206896551724,0.7711779448621554,0.2755905511811024
logistic,0.4,0.7396449704142012,0.7222222222222222,0.8478260869565217,0.78,0.7783738001129306,0.2603550295857988
logistic,0.5,0.7298578199052133,0.7122302158273381,0.853448275862069,0.776470588235294,0.7767695099818511,0.27014218009478674
logistic,0.6,0.7440944881889764,0.7317073170731707,0.851063829787234,0.7868852459016392,0.7735203665348649,0.2559055118110236
logistic,0.7000000000000001,0.7027027027027027,0.7159090909090909,0.7682926829268293,0.7411764705882352,0.7500461936437546,0.2972972972972973
logistic,0.8,0.650887573964497,0.6529680365296804,0.772972972972973,0.707920792079208,0.6817700052994171,0.34911242603550297
logistic,0.9,0.6263157894736842,0.7134146341463414,0.5518867924528302,0.6223404255319149,0.6683653414195867,0.3736842105263158
svm,0.1,0.7906976744186046,0.7857142857142857,0.88,0.830188679245283,0.788888888888889,0.20930232558139536
svm,0.2,0.7529411764705882,0.7288135593220338,0.8958333333333334,0.8037383177570093,0.7438063063063063,0.24705882352941178
svm,0.30000000000000004,0.7322834645669292,0.7,0.9,0.7875,0.7334586466165414,0.2677165354330709
svm,0.4,0.7218934911242604,0.6829268292682927,0.9130434782608695,0.7813953488372093,0.7424477696216827,0.2781065088757396
svm,0.5,0.7298578199052133,0.6878980891719745,0.9310344827586207,0.7912087912087912,0.727858439201452,0.27014218009478674
svm,0.6,0.7125984251968503,0.6847826086956522,0.8936170212765957,0.7753846153846156,0.7309357936358502,0.2874015748031496
svm,0.7000000000000001,0.6959459459459459,0.6927083333333334,0.8109756097560976,0.7471910112359551,0.7028362897265336,0.30405405405405406
svm,0.8,0.6449704142011834,0.6419213973799127,0.7945945945945946,0.7101449275362318,0.6452570217276099,0.35502958579881655
svm,0.9,0.4421052631578947,0.0,0.0,0.0,0.6559551886792454,0.5578947368421052
dtree,0.1,0.6511627906976745,0.6785714285714286,0.76,0.7169811320754718,0.6166666666666667,0.3488372093023256
dtree,0.2,0.5529411764705883,0.6190476190476191,0.5416666666666666,0.5777777777777778,0.5484234234234233,0.4470588235294118
dtree,0.30000000000000004,0.6377952755905512,0.6666666666666666,0.6857142857142857,0.676056338028169,0.6295739348370927,0.36220472440944884
dtree,0.4,0.6686390532544378,0.6875,0.717391304347826,0.702127659574468,0.6686900056465274,0.33136094674556216
dtree,0.5,0.6350710900473934,0.6423357664233577,0.7586206896551724,0.6956521739130435,0.6222323049001814,0.36492890995260663
dtree,0.6,0.6259842519685039,0.6742424242424242,0.6312056737588653,0.652014652014652,0.625337350153769,0.37401574803149606
dtree,0.7000000000000001,0.5912162162162162,0.6524822695035462,0.5609756097560976,0.6032786885245902,0.5932187730968219,0.40878378378378377
dtree,0.8,0.6005917159763313,0.6420454545454546,0.6108108108108108,0.6260387811634349,0.599523052464229,0.3994082840236686
dtree,0.9,0.6105263157894737,0.6391304347826087,0.6933962264150944,0.6651583710407241,0.5996743036837376,0.3894736842105263
random_forests,0.1,0.6976744186046512,0.7307692307692307,0.76,0.7450980392156863,0.7811111111111111,0.3023255813953488
random_forests,0.2,0.6823529411764706,0.7333333333333333,0.6875,0.7096774193548386,0.7443693693693694,0.3176470588235294
random_forests,0.30000000000000004,0.7480314960629921,0.7638888888888888,0.7857142857142857,0.7746478873239437,0.7759398496240602,0.25196850393700787
random_forests,0.4,0.6923076923076923,0.7040816326530612,0.75,0.7263157894736842,0.7574816487859967,0.3076923076923077
random_forests,0.5,0.6966824644549763,0.7131147540983607,0.75,0.7310924369747899,0.7476860254083486,0.3033175355450237
random_forests,0.6,0.7007874015748031,0.7070063694267515,0.7872340425531915,0.7449664429530202,0.7186970438712107,0.2992125984251969
random_forests,0.7000000000000001,0.6722972972972973,0.7218543046357616,0.6646341463414634,0.6920634920634922,0.7261178861788617,0.3277027027027027
random_forests,0.8,0.6183431952662722,0.6647058823529411,0.6108108108108108,0.6366197183098592,0.6490196078431372,0.3816568047337278
random_forests,0.9,0.5736842105263158,0.6923076923076923,0.42452830188679247,0.5263157894736842,0.6510557053009883,0.4263157894736842
