Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.1,0.7674418604651163,0.8,0.8,0.8000000000000002,0.7977777777777778,0.23255813953488372
logistic,0.2,0.7294117647058823,0.7450980392156863,0.7916666666666666,0.7676767676767677,0.7601351351351352,0.27058823529411763
logistic,0.30000000000000004,0.7559055118110236,0.7532467532467533,0.8285714285714286,0.7891156462585034,0.787092731829574,0.2440944881889764
logistic,0.4,0.7337278106508875,0.719626168224299,0.8369565217391305,0.7738693467336683,0.7860671936758893,0.26627218934911245
svm,0.1,0.5813953488372093,0.5813953488372093,1.0,0.7352941176470588,0.7955555555555556,0.4186046511627907
svm,0.2,0.5647058823529412,0.5647058823529412,1.0,0.7218045112781954,0.7567567567567567,0.43529411764705883
svm,0.30000000000000004,0.5511811023622047,0.5511811023622047,1.0,0.7106598984771574,0.7409774436090225,0.44881889763779526
svm,0.4,0.5443786982248521,0.5443786982248521,1.0,0.7049808429118773,0.750494071146245,0.4556213017751479
dtree,0.1,0.6976744186046512,0.7307692307692307,0.76,0.7450980392156863,0.6788888888888889,0.3023255813953488
dtree,0.2,0.6470588235294118,0.6875,0.6875,0.6875,0.6368243243243243,0.35294117647058826
dtree,0.30000000000000004,0.6377952755905512,0.6621621621621622,0.7,0.6805555555555556,0.6280701754385964,0.36220472440944884
dtree,0.4,0.6804733727810651,0.7021276595744681,0.717391304347826,0.7096774193548387,0.6785008469791078,0.31952662721893493
random_forests,0.1,0.7209302325581395,0.76,0.76,0.76,0.7477777777777778,0.27906976744186046
random_forests,0.2,0.7529411764705882,0.7547169811320755,0.8333333333333334,0.7920792079207922,0.7570382882882883,0.24705882352941178
random_forests,0.30000000000000004,0.6929133858267716,0.7183098591549296,0.7285714285714285,0.7234042553191489,0.7733082706766917,0.30708661417322836
random_forests,0.4,0.6745562130177515,0.7126436781609196,0.6739130434782609,0.6927374301675977,0.7264963297571992,0.3254437869822485
