Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
dummy,0.8,0.5473372781065089,0.5473372781065089,1.0,0.7074569789674953,0.5,0.4526627218934911
bayesian,0.8,0.6420118343195266,0.6777777777777778,0.6594594594594595,0.6684931506849315,0.6807101218865925,0.35798816568047337
logistic,0.8,0.6715976331360947,0.6868686868686869,0.7351351351351352,0.7101827676240209,0.7012541953718424,0.32840236686390534
svm,0.8,0.6597633136094675,0.6377952755905512,0.8756756756756757,0.7380410022779043,0.6659954071718778,0.34023668639053256
dtree,0.8,0.6153846153846154,0.6751592356687898,0.572972972972973,0.6198830409356725,0.6198198198198199,0.38461538461538464
random_forests,0.8,0.6331360946745562,0.7046979865771812,0.5675675675675675,0.6287425149700598,0.7020844373785552,0.3668639053254438
ada_boost,0.8,0.6420118343195266,0.6702127659574468,0.6810810810810811,0.6756032171581771,0.6649001943119591,0.35798816568047337
dummy,0.7,0.5540540540540541,0.5540540540540541,1.0,0.7130434782608697,0.5,0.44594594594594594
bayesian,0.7,0.6621621621621622,0.7222222222222222,0.6341463414634146,0.6753246753246753,0.7354490022172949,0.33783783783783783
logistic,0.7,0.7027027027027027,0.7345679012345679,0.725609756097561,0.7300613496932514,0.7369733924611973,0.2972972972972973
svm,0.7,0.706081081081081,0.6994818652849741,0.823170731707317,0.7563025210084034,0.708841463414634,0.2939189189189189
dtree,0.7,0.625,0.6879432624113475,0.5914634146341463,0.6360655737704919,0.6264550997782705,0.375
random_forests,0.7,0.6587837837837838,0.6981132075471698,0.676829268292683,0.6873065015479876,0.6846128972653363,0.34121621621621623
ada_boost,0.7,0.6554054054054054,0.6987179487179487,0.6646341463414634,0.68125,0.6601764597191426,0.34459459459459457
dummy,0.5999999999999999,0.5551181102362205,0.5551181102362205,1.0,0.7139240506329114,0.5,0.4448818897637795
bayesian,0.5999999999999999,0.7086614173228346,0.7278911564625851,0.7588652482269503,0.7430555555555556,0.7643569949162117,0.29133858267716534
logistic,0.5999999999999999,0.7165354330708661,0.7090909090909091,0.8297872340425532,0.764705882352941,0.7508629887654553,0.28346456692913385
svm,0.5999999999999999,0.7125984251968503,0.6847826086956522,0.8936170212765957,0.7753846153846156,0.7327245339860667,0.2874015748031496
dtree,0.5999999999999999,0.6220472440944882,0.6451612903225806,0.7092198581560284,0.6756756756756757,0.6112470972196071,0.3779527559055118
random_forests,0.5999999999999999,0.6614173228346457,0.7007299270072993,0.6808510638297872,0.6906474820143884,0.6966359128852068,0.33858267716535434
ada_boost,0.5999999999999999,0.6732283464566929,0.68125,0.7730496453900709,0.7242524916943521,0.6877235925437772,0.32677165354330706
dummy,0.4999999999999999,0.5497630331753555,0.5497630331753555,1.0,0.7094801223241591,0.5,0.45023696682464454
bayesian,0.4999999999999999,0.6824644549763034,0.7024793388429752,0.7327586206896551,0.7172995780590717,0.7497277676950996,0.3175355450236967
logistic,0.4999999999999999,0.7014218009478673,0.6906474820143885,0.8275862068965517,0.7529411764705882,0.7494555353901997,0.2985781990521327
svm,0.4999999999999999,0.7251184834123223,0.6835443037974683,0.9310344827586207,0.7883211678832116,0.7309437386569873,0.27488151658767773
dtree,0.4999999999999999,0.6350710900473934,0.6511627906976745,0.7241379310344828,0.6857142857142857,0.6245916515426497,0.36492890995260663
random_forests,0.4999999999999999,0.6919431279620853,0.6888888888888889,0.8017241379310345,0.7410358565737052,0.7485480943738657,0.3080568720379147
ada_boost,0.4999999999999999,0.6966824644549763,0.7131147540983607,0.75,0.7310924369747899,0.741606170598911,0.3033175355450237
