Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Squared Error
logistic,0.8,0.6568047337278107,0.6733668341708543,0.7243243243243244,0.6979166666666666,0.7066949302243419,0.3431952662721893
logistic,0.7,0.6993243243243243,0.7388535031847133,0.7073170731707317,0.7227414330218067,0.7413617886178862,0.30067567567567566
logistic,0.5999999999999999,0.7047244094488189,0.6987951807228916,0.8226950354609929,0.7557003257328989,0.7593359693717443,0.2952755905511811
logistic,0.4999999999999999,0.6966824644549763,0.6857142857142857,0.8275862068965517,0.75,0.7536297640653358,0.3033175355450237
svm,0.8,0.5473372781065089,0.5473372781065089,1.0,0.7074569789674953,0.36440558205264095,0.4526627218934911
svm,0.7,0.5540540540540541,0.5540540540540541,1.0,0.7130434782608697,0.3149482631189948,0.44594594594594594
svm,0.5999999999999999,0.5551181102362205,0.5551181102362205,1.0,0.7139240506329114,0.7209251239565682,0.4448818897637795
svm,0.4999999999999999,0.5497630331753555,0.5497630331753555,1.0,0.7094801223241591,0.7205535390199637,0.45023696682464454
dtree,0.8,0.606508875739645,0.6171171171171171,0.7405405405405405,0.6732186732186731,0.5924924924924925,0.39349112426035504
dtree,0.7,0.6148648648648649,0.6470588235294118,0.6707317073170732,0.658682634730539,0.6080931263858094,0.38513513513513514
dtree,0.5999999999999999,0.65748031496063,0.6753246753246753,0.7375886524822695,0.7050847457627119,0.6475553881880374,0.3425196850393701
dtree,0.4999999999999999,0.6208530805687204,0.6343283582089553,0.7327586206896551,0.68,0.6091651542649728,0.3791469194312796
random_forests,0.8,0.6035502958579881,0.6688741721854304,0.5459459459459459,0.6011904761904762,0.6934640522875817,0.39644970414201186
random_forests,0.7,0.625,0.7054263565891473,0.5548780487804879,0.621160409556314,0.6870380635624539,0.375
random_forests,0.5999999999999999,0.6968503937007874,0.6904761904761905,0.8226950354609929,0.7508090614886731,0.7392204857842214,0.3031496062992126
random_forests,0.4999999999999999,0.7109004739336493,0.7131782945736435,0.7931034482758621,0.7510204081632654,0.7281760435571688,0.2890995260663507
