Classifier,Train-Test Split,Accuracy,Precision,Recall,F1 score,AUC,Absolute Error,Squared Error,0/1 loss
logistic,10.0,0.6046511627906976,0.4166666666666667,0.3333333333333333,0.3703703703703704,0.6261904761904762,0.3953488372093023,0.3953488372093023,0.39534883720930236
logistic,20.0,0.611764705882353,0.4782608695652174,0.34375,0.4,0.6571344339622641,0.38823529411764707,0.38823529411764707,0.388235294117647
logistic,30.000000000000004,0.6456692913385826,0.5,0.4222222222222222,0.4578313253012048,0.6971544715447154,0.3543307086614173,0.3543307086614173,0.35433070866141736
logistic,40.0,0.6745562130177515,0.5476190476190477,0.3898305084745763,0.45544554455445546,0.7234206471494607,0.3254437869822485,0.3254437869822485,0.3254437869822485
logistic,50.0,0.6492890995260664,0.4722222222222222,0.4857142857142857,0.47887323943661975,0.6905775075987841,0.35071090047393366,0.35071090047393366,0.3507109004739336
logistic,60.0,0.6653543307086615,0.5211267605633803,0.42045454545454547,0.46540880503144655,0.6947220700985761,0.3346456692913386,0.3346456692913386,0.33464566929133854
logistic,70.0,0.668918918918919,0.5138888888888888,0.37,0.4302325581395348,0.681122448979592,0.3310810810810811,0.3310810810810811,0.33108108108108103
logistic,80.0,0.6390532544378699,0.4444444444444444,0.3185840707964602,0.37113402061855666,0.6261553588987216,0.3609467455621302,0.3609467455621302,0.36094674556213013
logistic,90.0,0.6657894736842105,0.5205479452054794,0.2923076923076923,0.374384236453202,0.5985076923076923,0.33421052631578946,0.33421052631578946,0.3342105263157895
svm,10.0,0.6511627906976745,0.0,0.0,0.0,0.6011904761904762,0.3488372093023256,0.3488372093023256,0.34883720930232553
svm,20.0,0.6235294117647059,0.0,0.0,0.0,0.6329599056603774,0.3764705882352941,0.3764705882352941,0.3764705882352941
svm,30.000000000000004,0.6456692913385826,0.0,0.0,0.0,0.6668021680216801,0.3543307086614173,0.3543307086614173,0.35433070866141736
svm,40.0,0.650887573964497,0.0,0.0,0.0,0.6790446841294299,0.34911242603550297,0.34911242603550297,0.34911242603550297
svm,50.0,0.6682464454976303,0.0,0.0,0.0,0.6525835866261398,0.33175355450236965,0.33175355450236965,0.33175355450236965
svm,60.0,0.6535433070866141,0.0,0.0,0.0,0.6741853778751369,0.3464566929133858,0.3464566929133858,0.3464566929133859
svm,70.0,0.6621621621621622,0.0,0.0,0.0,0.6438775510204082,0.33783783783783783,0.33783783783783783,0.33783783783783783
svm,80.0,0.665680473372781,0.0,0.0,0.0,0.6045034414945919,0.3343195266272189,0.3343195266272189,0.334319526627219
svm,90.0,0.6578947368421053,0.0,0.0,0.0,0.6143846153846154,0.34210526315789475,0.34210526315789475,0.3421052631578947
dtree,10.0,0.5348837209302325,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.47619047619047616,0.46511627906976744,0.46511627906976744,0.4651162790697675
dtree,20.0,0.5764705882352941,0.4375,0.4375,0.4375,0.5489386792452831,0.4235294117647059,0.4235294117647059,0.42352941176470593
dtree,30.000000000000004,0.5905511811023622,0.40540540540540543,0.3333333333333333,0.36585365853658536,0.5243902439024389,0.4094488188976378,0.4094488188976378,0.40944881889763785
dtree,40.0,0.6449704142011834,0.4883720930232558,0.3559322033898305,0.411764705882353,0.5779661016949152,0.35502958579881655,0.35502958579881655,0.3550295857988166
dtree,50.0,0.6398104265402843,0.4642857142857143,0.5571428571428572,0.5064935064935066,0.622289766970618,0.36018957345971564,0.36018957345971564,0.3601895734597157
dtree,60.0,0.6338582677165354,0.46987951807228917,0.4431818181818182,0.456140350877193,0.5890607886089814,0.3661417322834646,0.3661417322834646,0.3661417322834646
dtree,70.0,0.6452702702702703,0.46987951807228917,0.39,0.42622950819672134,0.5827551020408164,0.3547297297297297,0.3547297297297297,0.3547297297297297
dtree,80.0,0.6124260355029586,0.4,0.3185840707964602,0.35467980295566504,0.5392920353982301,0.3875739644970414,0.3875739644970414,0.3875739644970414
dtree,90.0,0.6368421052631579,0.43548387096774194,0.2076923076923077,0.28125,0.5338461538461537,0.3631578947368421,0.3631578947368421,0.3631578947368421
random_forests,10.0,0.6046511627906976,0.375,0.2,0.26086956521739135,0.6678571428571428,0.3953488372093023,0.3953488372093023,0.39534883720930236
random_forests,20.0,0.5647058823529412,0.38095238095238093,0.25,0.3018867924528302,0.5993514150943396,0.43529411764705883,0.43529411764705883,0.43529411764705883
random_forests,30.000000000000004,0.6614173228346457,0.5294117647058824,0.4,0.4556962025316456,0.728048780487805,0.33858267716535434,0.33858267716535434,0.3385826771653543
random_forests,40.0,0.6686390532544378,0.5348837209302325,0.3898305084745763,0.4509803921568628,0.676271186440678,0.33136094674556216,0.33136094674556216,0.33136094674556216
random_forests,50.0,0.6350710900473934,0.4186046511627907,0.2571428571428571,0.3185840707964601,0.677355623100304,0.36492890995260663,0.36492890995260663,0.36492890995260663
random_forests,60.0,0.6653543307086615,0.5348837209302325,0.26136363636363635,0.3511450381679389,0.6676478641840088,0.3346456692913386,0.3346456692913386,0.33464566929133854
random_forests,70.0,0.6655405405405406,0.5128205128205128,0.2,0.2877697841726619,0.627015306122449,0.3344594594594595,0.3344594594594595,0.33445945945945943
random_forests,80.0,0.6390532544378699,0.4117647058823529,0.18584070796460178,0.25609756097560976,0.6402949852507375,0.3609467455621302,0.3609467455621302,0.36094674556213013
random_forests,90.0,0.6552631578947369,0.4666666666666667,0.05384615384615385,0.09655172413793103,0.6205538461538462,0.3447368421052632,0.3447368421052632,0.3447368421052631
