GID,Album,AGE,INDIVIDUAL_NAME,QUALITY,SEX,SPECIES,VIEW_POINT,tags,Shares,Not Shares,Total,Proportion,URL
1971,"photo_album_22,photo_album_22,photo_album_22","infant,adult,adult","IBEIS_PZ_1222,IBEIS_PZ_1226,IBEIS_PZ_0592","ok,ok,good","Female,Female,Female","zebra_plains,zebra_plains,zebra_plains","left,left,left","['grass', 'zebra', 'outdoor', 'animal', 'mammal', 'field', 'group', 'wild']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1971.jpeg"" width = ""350"">"
6653,photo_album_45,adult,IBEIS_PZ_1780,excellent,Male,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'animal', 'sky', 'field', 'mammal', 'mountain', 'grassy', 'open', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6653.jpeg"" width = ""350"">"
5005,"photo_album_4,photo_album_91","infant,infant","IBEIS_PZ_1471,IBEIS_PZ_1471","ok,ok","UNKNOWN SEX,UNKNOWN SEX","zebra_plains,zebra_plains","frontright,frontright","['grass', 'zebra', 'outdoor', 'sky', 'animal', 'field', 'standing', 'mammal', 'grassy']",20,0,20,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5005.jpeg"" width = ""350"">"
2311,photo_album_9,adult,IBEIS_PZ_1896,excellent,Female,zebra_plains,left,"['grass', 'zebra', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'open', 'dry']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/2311.jpeg"" width = ""350"">"
8838,photo_album_78,adult,IBEIS_PZ_0373,ok,Female,zebra_plains,frontleft,"['grass', 'outdoor', 'animal', 'field', 'mammal', 'zebra', 'standing', 'grassy', 'lone', 'distance', 'giraffe']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8838.jpeg"" width = ""350"">"
6686,photo_album_45,adult,IBEIS_PZ_1811,ok,Female,zebra_plains,left,"['grass', 'outdoor', 'zebra', 'animal', 'field', 'mammal', 'standing', 'grassy', 'open', 'lone', 'wild', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6686.jpeg"" width = ""350"">"
6663,"photo_album_66,photo_album_66","infant,infant","____,____","ok,poor","UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains","right,right","['zebra', 'outdoor', 'grass', 'animal', 'mammal', 'field', 'baby', 'mother']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6663.jpeg"" width = ""350"">"
5019,"photo_album_4,photo_album_86","adult,adult","NNP_GIRM_0118,NNP_GIRM_0118","ok,ok","Male,Male","giraffe_masai,giraffe_masai","frontleft,frontleft","['grass', 'outdoor', 'giraffe', 'sky', 'animal', 'mammal', 'field', 'standing', 'grassy', 'open', 'plain', 'dry', 'wild', 'distance']",20,0,20,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/5019.jpeg"" width = ""350"">"
329,photo_album_38,infant,IBEIS_PZ_1005,excellent,Male,zebra_plains,left,"['grass', 'outdoor', 'field', 'animal', 'mammal', 'standing', 'grassy', 'lush', 'giraffe']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/329.jpeg"" width = ""350"">"
546,"photo_album_20,photo_album_20,photo_album_20,photo_album_20","infant,infant,infant,infant","____,____,____,____","poor,ok,poor,poor","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","zebra_plains,zebra_plains,zebra_plains,zebra_plains","frontleft,right,right,left","['zebra', 'grass', 'outdoor', 'tree', 'mammal', 'animal', 'field', 'standing', 'lush']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/546.jpeg"" width = ""350"">"
1323,"photo_album_15,photo_album_15,photo_album_15,photo_album_15","adult,infant,adult,adult","IBEIS_PZ_0722,IBEIS_PZ_1102,IBEIS_PZ_1905,IBEIS_PZ_1113","good,excellent,ok,good","Female,Female,Male,Male","zebra_plains,zebra_plains,zebra_plains,zebra_plains","left,left,left,left","['zebra', 'grass', 'outdoor', 'animal', 'tree', 'mammal', 'field', 'standing', 'grassy', 'lush']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1323.jpeg"" width = ""350"">"
8797,photo_album_68,infant,IBEIS_PZ_0403,good,UNKNOWN SEX,zebra_plains,left,"['water', 'outdoor', 'animal', 'mammal', 'zebra', 'lake', 'river', 'pond', 'drinking']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/8797.jpeg"" width = ""350"">"
3091,photo_album_61,adult,NNP_GIRM_0007,ok,Male,giraffe_masai,frontleft,"['grass', 'outdoor', 'giraffe', 'animal', 'tree', 'mammal', 'field', 'standing', 'grassy', 'wild', 'lush', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/3091.jpeg"" width = ""350"">"
1330,"photo_album_15,photo_album_15","adult,infant","IBEIS_PZ_1440,____","excellent,poor","Male,UNKNOWN NAME","zebra_plains,zebra_plains","left,left","['grass', 'zebra', 'outdoor', 'sky', 'field', 'animal', 'mammal', 'standing', 'group', 'grassy', 'lush']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1330.jpeg"" width = ""350"">"
1332,"photo_album_15,photo_album_89,photo_album_15,photo_album_89,photo_album_15,photo_album_89,photo_album_15,photo_album_89,photo_album_15,photo_album_89,photo_album_15,photo_album_89","infant,infant,infant,infant,infant,infant,infant,infant,infant,infant,infant,infant","____,____,____,____,____,____,____,____,____,____,____,____","good,good,ok,ok,ok,ok,ok,ok,junk,junk,good,good","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,giraffe_masai,zebra_plains,zebra_plains,zebra_plains,zebra_plains","right,right,right,right,right,right,right,right,right,right,right,right","['giraffe', 'outdoor', 'grass', 'tree', 'sky', 'animal', 'mammal', 'zebra', 'field', 'standing', 'group', 'herd', 'grassy', 'wild']",19,0,19,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1332.jpeg"" width = ""350"">"
1333,"photo_album_15,photo_album_15,photo_album_15","infant,infant,infant","____,____,____","ok,ok,ok","UNKNOWN NAME,UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai,giraffe_masai","right,right,right","['giraffe', 'grass', 'outdoor', 'tree', 'sky', 'field', 'animal', 'mammal', 'grassy', 'herd', 'group', 'wild', 'lush', 'several']",9,0,9,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1333.jpeg"" width = ""350"">"
6616,photo_album_66,infant,____,poor,UNKNOWN NAME,zebra_plains,left,"['animal', 'zebra', 'outdoor', 'grass', 'mammal', 'standing', 'staring']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/6616.jpeg"" width = ""350"">"
1060,"photo_album_90,photo_album_90","infant,infant","____,____","ok,poor","UNKNOWN NAME,UNKNOWN NAME","giraffe_masai,giraffe_masai","front,front","['giraffe', 'outdoor', 'grass', 'sky', 'tree', 'field', 'animal', 'mammal', 'standing', 'grassy', 'tall', 'open', 'lush', 'distance']",10,0,10,100.0,"<img src = ""https://socialmediabias.blob.core.windows.net/wildlifephotos/All_Zebra_Count_Images/1060.jpeg"" width = ""350"">"
