num_images,all_linear_sparse,giraffes_linear_sparse,zebras_linear_sparse,all_linear_non_sparse,giraffes_linear_non_sparse,zebras_linear_non_sparse,all_linear_non_zero,giraffes_linear_non_zero,zebras_linear_non_zero,all_linear_abv_mean,giraffes_linear_abv_mean,zebras_linear_abv_mean,all_ridge_sparse,giraffes_ridge_sparse,zebras_ridge_sparse,all_ridge_non_sparse,giraffes_ridge_non_sparse,zebras_ridge_non_sparse,all_ridge_non_zero,giraffes_ridge_non_zero,zebras_ridge_non_zero,all_ridge_abv_mean,giraffes_ridge_abv_mean,zebras_ridge_abv_mean,all_lasso_sparse,giraffes_lasso_sparse,zebras_lasso_sparse,all_lasso_non_sparse,giraffes_lasso_non_sparse,zebras_lasso_non_sparse,all_lasso_non_zero,giraffes_lasso_non_zero,zebras_lasso_non_zero,all_lasso_abv_mean,giraffes_lasso_abv_mean,zebras_lasso_abv_mean,all_svr_sparse,giraffes_svr_sparse,zebras_svr_sparse,all_svr_non_sparse,giraffes_svr_non_sparse,zebras_svr_non_sparse,all_svr_non_zero,giraffes_svr_non_zero,zebras_svr_non_zero,all_svr_abv_mean,giraffes_svr_abv_mean,zebras_svr_abv_mean,all_dtree_regressor_sparse,giraffes_dtree_regressor_sparse,zebras_dtree_regressor_sparse,all_dtree_regressor_non_sparse,giraffes_dtree_regressor_non_sparse,zebras_dtree_regressor_non_sparse,all_dtree_regressor_non_zero,giraffes_dtree_regressor_non_zero,zebras_dtree_regressor_non_zero,all_dtree_regressor_abv_mean,giraffes_dtree_regressor_abv_mean,zebras_dtree_regressor_abv_mean,all_linear_sparse_err,giraffes_linear_sparse_err,zebras_linear_sparse_err,all_linear_non_sparse_err,giraffes_linear_non_sparse_err,zebras_linear_non_sparse_err,all_linear_non_zero_err,giraffes_linear_non_zero_err,zebras_linear_non_zero_err,all_linear_abv_mean_err,giraffes_linear_abv_mean_err,zebras_linear_abv_mean_err,all_ridge_sparse_err,giraffes_ridge_sparse_err,zebras_ridge_sparse_err,all_ridge_non_sparse_err,giraffes_ridge_non_sparse_err,zebras_ridge_non_sparse_err,all_ridge_non_zero_err,giraffes_ridge_non_zero_err,zebras_ridge_non_zero_err,all_ridge_abv_mean_err,giraffes_ridge_abv_mean_err,zebras_ridge_abv_mean_err,all_lasso_sparse_err,giraffes_lasso_sparse_err,zebras_lasso_sparse_err,all_lasso_non_sparse_err,giraffes_lasso_non_sparse_err,zebras_lasso_non_sparse_err,all_lasso_non_zero_err,giraffes_lasso_non_zero_err,zebras_lasso_non_zero_err,all_lasso_abv_mean_err,giraffes_lasso_abv_mean_err,zebras_lasso_abv_mean_err,all_svr_sparse_err,giraffes_svr_sparse_err,zebras_svr_sparse_err,all_svr_non_sparse_err,giraffes_svr_non_sparse_err,zebras_svr_non_sparse_err,all_svr_non_zero_err,giraffes_svr_non_zero_err,zebras_svr_non_zero_err,all_svr_abv_mean_err,giraffes_svr_abv_mean_err,zebras_svr_abv_mean_err,all_dtree_regressor_sparse_err,giraffes_dtree_regressor_sparse_err,zebras_dtree_regressor_sparse_err,all_dtree_regressor_non_sparse_err,giraffes_dtree_regressor_non_sparse_err,zebras_dtree_regressor_non_sparse_err,all_dtree_regressor_non_zero_err,giraffes_dtree_regressor_non_zero_err,zebras_dtree_regressor_non_zero_err,all_dtree_regressor_abv_mean_err,giraffes_dtree_regressor_abv_mean_err,zebras_dtree_regressor_abv_mean_err
2,0.0,0.0,0.0,1440.0,0.0,1045.0,1260.0,0.0,1007.0,427.0,30.0,475.0,1587.0,0.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,1606.0,0.0,1197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,846.0,203.0,0.0,850.0,162.0,0.0,846.0,203.0,0.0,630.0,140.0,0.0,0.0,0.0,0.0,640.0,0.0,465.5,598.0,30.0,0.0,0.0,0.0,0.0,99.99999999999999,100.0,100.0,60.22099447513812,100.0,69.86735870818916,65.19337016574585,100.0,70.96309111880046,88.20441988950276,83.05084745762711,86.3033448673587,56.16022099447513,100.0,67.6470588235294,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,55.635359116022094,100.0,65.48442906574394,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,76.62983425414365,-14.689265536723164,100.0,76.51933701657458,8.474576271186441,100.0,76.62983425414365,-14.689265536723164,100.0,82.59668508287292,20.903954802259886,100.0,99.99999999999999,100.0,100.0,82.32044198895026,100.0,86.57727797001154,83.4806629834254,83.05084745762711,100.0,99.99999999999999,100.0,100.0
3,2325.0,0.0,1590.0,2660.0,0.0,1917.0,3000.0,0.0,2380.0,690.0,75.0,702.0,1501.5,0.0,1136.0,1330.0,29.0,1890.0,2900.0,0.0,2296.0,2697.0,0.0,2128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,475.33333333333326,96.0,0.0,420.0,93.33333333333331,560.0,467.66666666666674,93.33333333333331,0.0,616.0,136.0,0.0,0.0,0.0,0.0,1271.0,0.0,913.5,1344.0,40.0,0.0,0.0,0.0,0.0,35.773480662983424,100.0,54.1522491349481,26.519337016574582,100.0,44.72318339100346,17.127071823204417,100.0,31.372549019607842,80.93922651933701,57.6271186440678,79.75778546712803,58.52209944751381,100.0,67.24336793540945,63.25966850828729,83.61581920903954,45.50173010380623,19.889502762430936,100.0,33.79469434832757,25.497237569060772,100.0,38.63898500576701,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,99.99999999999999,100.0,100.0,86.86924493554328,45.76271186440678,100.0,88.3977900552486,47.2693032015066,83.85236447520185,87.08103130755063,47.2693032015066,100.0,82.98342541436463,23.163841807909606,100.0,99.99999999999999,100.0,100.0,64.88950276243094,100.0,73.659169550173,62.872928176795575,77.40112994350282,100.0,99.99999999999999,100.0,100.0
4,4018.0,0.0,2886.0,2159.0,86.0,3234.0,4255.0,0.0,3395.0,1023.75,78.0,1088.0,1600.0,52.0,1824.0,2176.0,76.0,3210.0,1428.0,66.0,1633.5,1977.5,0.0,1564.0,6095.0,0.0,3850.0,6095.0,0.0,3850.0,6095.0,0.0,3850.0,6095.0,0.0,3850.0,650.0,126.0,0.0,607.5,123.0,882.0,702.0,126.0,0.0,962.0,184.5,0.0,2660.0,81.0,0.0,999.0,24.0,1479.0,1174.5,39.0,0.0,1120.0,65.0,2100.0,-10.994475138121546,100.0,16.782006920415224,40.35911602209944,51.41242937853107,6.747404844290657,-17.541436464088395,100.0,2.104959630911188,71.7196132596685,55.932203389830505,68.62745098039215,55.80110497237568,70.62146892655367,47.40484429065744,39.889502762430936,57.06214689265536,7.439446366782007,60.5524861878453,62.71186440677966,52.897923875432525,45.372928176795575,100.0,54.90196078431373,-68.37016574585635,100.0,-11.014994232987313,-68.37016574585635,100.0,-11.014994232987313,-68.37016574585635,100.0,-11.014994232987313,-68.37016574585635,100.0,-11.014994232987313,82.04419889502762,28.8135593220339,100.0,83.21823204419888,30.508474576271187,74.5674740484429,80.60773480662982,28.8135593220339,100.0,73.42541436464087,-4.237288135593221,100.0,26.519337016574582,54.23728813559322,100.0,72.40331491712706,86.44067796610169,57.35294117647059,67.55524861878453,77.96610169491525,100.0,69.06077348066297,63.27683615819209,39.44636678200692
5,1774.666666666667,62.0,1995.0,1669.5,47.0,5040.0,1026.1666666666667,66.0,1182.5,946.2857142857144,60.0,1064.8,1215.0,45.0,1526.0,3440.0,132.0,5207.0,1526.5,43.5,2300.0,2002.0,72.0,2419.0,4623.0,164.0,6111.0,4623.0,164.0,6111.0,4623.0,164.0,6111.0,4623.0,164.0,6111.0,808.5,144.0,1200.0,792.0,117.5,1638.0,693.0,117.5,1300.0,1567.5,216.0,0.0,3441.0,124.0,0.0,1316.25,28.0,2072.0,1872.5,58.0,0.0,1480.0,72.5,2976.0,50.976058931860024,64.97175141242938,42.47404844290657,53.88121546961325,73.44632768361582,-45.32871972318339,71.65285451197052,62.71186440677966,65.90253748558247,73.85951065509074,66.10169491525424,69.29642445213379,66.43646408839778,74.57627118644068,55.99769319492503,4.972375690607734,25.423728813559322,-50.1441753171857,57.83149171270718,75.42372881355932,33.67935409457901,44.69613259668508,59.32203389830509,30.2479815455594,-27.707182320441987,7.344632768361582,-76.21107266435986,-27.707182320441987,7.344632768361582,-76.21107266435986,-27.707182320441987,7.344632768361582,-76.21107266435986,-27.707182320441987,7.344632768361582,-76.21107266435986,77.66574585635358,18.64406779661017,65.39792387543253,78.12154696132596,33.61581920903955,52.7681660899654,80.85635359116021,33.61581920903955,62.51441753171857,56.6988950276243,-22.033898305084744,100.0,4.944751381215469,29.943502824858758,100.0,63.639502762430936,84.18079096045197,40.253748558246826,48.273480662983424,67.2316384180791,100.0,59.11602209944751,59.03954802259887,14.186851211072664
6,1734.0,68.0,1747.666666666667,2349.0,50.0,7176.0,815.4,68.0,884.5714285714287,1003.0,72.0,1029.2857142857142,1550.0,55.5,1911.333333333333,2307.75,86.66666666666669,6768.0,2065.5,55.5,3048.0,1336.0,58.5,1621.5,6201.0,172.0,8584.0,6201.0,172.0,8584.0,6201.0,172.0,8584.0,6201.0,172.0,8584.0,974.4,132.5,2016.0,1140.8,127.5,2628.0,982.8,130.0,2080.0,1533.333333333333,153.0,0.0,5712.0,190.0,0.0,1766.25,64.0,2706.0,2709.0,99.0,0.0,1918.0,105.0,3744.0,52.09944751381215,61.5819209039548,49.60592079969242,35.11049723756906,71.75141242937853,-106.9204152249135,77.47513812154695,61.5819209039548,74.49332674246169,72.292817679558,59.32203389830509,70.32048113362993,57.18232044198895,68.64406779661017,44.88658208381393,36.25,51.03578154425611,-95.15570934256056,42.94198895027624,68.64406779661017,12.110726643598616,63.093922651933696,66.94915254237289,53.2439446366782,-71.29834254143645,2.824858757062147,-147.520184544406,-71.29834254143645,2.824858757062147,-147.520184544406,-71.29834254143645,2.824858757062147,-147.520184544406,-71.29834254143645,2.824858757062147,-147.520184544406,73.08287292817678,25.141242937853107,41.86851211072664,68.48618784530386,27.966101694915253,24.22145328719723,72.85082872928176,26.55367231638418,40.023068050749714,57.64272559852671,13.559322033898304,100.0,-57.79005524861878,-7.344632768361582,100.0,51.2085635359116,63.84180790960452,21.972318339100347,25.16574585635359,44.06779661016949,100.0,47.016574585635354,40.67796610169491,-7.958477508650519
7,1491.5,54.0,1701.0,2798.5,52.0,8680.0,940.8,80.0,1020.0,950.7272727272727,65.0,1039.875,1567.7142857142858,60.0,1663.8,2835.75,88.33333333333331,8533.0,2057.0,82.0,2634.6666666666665,1074.6666666666667,88.0,1085.0,5063.0,92.0,10823.0,5063.0,92.0,10823.0,5063.0,92.0,10823.0,5063.0,92.0,10823.0,1222.0,142.5,2701.0,1468.8,140.0,3608.0,1222.0,142.5,2701.0,1485.0,171.0,2730.0,3427.0,117.0,0.0,1825.8,82.5,2346.0,3432.0,102.0,0.0,1743.75,117.0,2320.5,58.79834254143646,69.49152542372882,50.951557093425606,22.693370165745854,70.62146892655367,-150.2883506343714,74.0110497237569,54.80225988700565,70.58823529411765,73.73681567051732,63.27683615819209,70.0151384083045,56.69297553275453,66.10169491525424,52.0242214532872,21.664364640883978,50.09416195856875,-146.04959630911188,43.17679558011049,53.67231638418079,24.02921953094964,70.31307550644566,50.282485875706215,68.71395617070358,-39.86187845303867,48.0225988700565,-212.08189158016148,-39.86187845303867,48.0225988700565,-212.08189158016148,-39.86187845303867,48.0225988700565,-212.08189158016148,-39.86187845303867,48.0225988700565,-212.08189158016148,66.24309392265192,19.491525423728813,22.116493656286043,59.42541436464087,20.903954802259886,-4.036908881199539,66.24309392265192,19.491525423728813,22.116493656286043,58.97790055248618,3.389830508474576,21.280276816608996,5.331491712707182,33.898305084745765,100.0,49.56353591160221,53.389830508474574,32.35294117647059,5.193370165745856,42.3728813559322,100.0,51.83011049723756,33.898305084745765,33.088235294117645
8,1309.75,50.66666666666666,1577.6,3500.75,73.33333333333333,10752.0,1002.6666666666665,86.0,1029.2222222222224,966.0,73.33333333333333,988.0,1331.7,61.5,1287.0,3575.0,110.0,10800.0,1416.5555555555554,92.0,1458.2857142857142,1105.0,73.6,1416.857142857143,6081.666666666668,98.0,13260.0,6081.666666666668,98.0,13260.0,6081.666666666668,98.0,13260.0,6081.666666666668,98.0,13260.0,1641.6,147.5,4092.0,1778.4,147.5,4606.0,1630.8,145.0,4092.0,1788.0,177.0,3510.0,2353.0,90.0,6670.0,2127.6,90.0,2744.0,2662.333333333333,105.0,5590.0,2256.75,123.0,3127.5,63.81906077348066,71.37476459510358,54.50980392156863,3.294198895027624,58.56873822975518,-210.03460207612457,72.30202578268876,51.41242937853107,70.32231193130846,73.31491712707182,58.56873822975518,71.51095732410612,63.21270718232044,65.2542372881356,62.88927335640138,1.2430939226519335,37.85310734463277,-211.41868512110727,60.86863106200122,48.0225988700565,57.95023891909705,69.47513812154696,58.4180790960452,59.14483440434997,-68.00184162062618,44.632768361581924,-282.3529411764706,-68.00184162062618,44.632768361581924,-282.3529411764706,-68.00184162062618,44.632768361581924,-282.3529411764706,-68.00184162062618,44.632768361581924,-282.3529411764706,54.651933701657455,16.666666666666668,-17.993079584775085,50.872928176795575,16.666666666666668,-32.81430219146482,54.95027624309392,18.07909604519774,-17.993079584775085,50.60773480662983,0.0,-1.2110726643598615,35.0,49.152542372881356,-92.32987312572088,41.226519337016576,49.152542372881356,20.876585928489042,26.454880294659308,40.67796610169491,-61.18800461361015,37.658839779005525,30.508474576271187,9.818339100346021
9,1382.666666666667,50.66666666666666,1600.0,4294.0,116.0,12922.0,1044.0,90.0,1035.4545454545455,1190.5384615384614,76.66666666666667,1233.7,1562.4,88.0,1504.5,4224.5,118.0,12804.0,1332.0,112.0,1402.5,1369.0,76.8,1789.857142857143,5232.0,98.0,7774.0,5232.0,98.0,7774.0,5232.0,98.0,7774.0,5232.0,98.0,7774.0,1753.5,173.25,2730.0,1994.666666666667,155.0,3335.0,1764.0,152.5,2835.5,2014.5,180.0,4116.0,2878.5,92.0,8415.0,2376.0,95.0,3083.333333333333,2379.0,82.0,6854.0,2619.0,129.0,3744.0,61.80478821362798,71.37476459510358,53.8638985005767,-18.61878453038674,34.463276836158194,-272.6066897347174,71.16022099447514,49.152542372881356,70.14260249554367,67.11219719507012,56.68549905838041,64.42618223760093,56.83977900552485,50.282485875706215,56.61764705882353,-16.698895027624307,33.333333333333336,-269.20415224913495,63.20441988950276,36.72316384180791,59.55882352941177,62.18232044198894,56.610169491525426,48.38935574229692,-44.53038674033149,44.632768361581924,-124.16378316032295,-44.53038674033149,44.632768361581924,-124.16378316032295,-44.53038674033149,44.632768361581924,-124.16378316032295,-44.53038674033149,44.632768361581924,-124.16378316032295,51.56077348066298,2.1186440677966103,21.280276816608996,44.89871086556168,12.429378531073446,3.8350634371395618,51.270718232044196,13.841807909604519,18.238177623990772,44.350828729281766,-1.694915254237288,-18.685121107266436,20.48342541436464,48.0225988700565,-142.64705882352942,34.3646408839779,46.32768361581921,11.09188773548636,34.2817679558011,53.67231638418079,-97.63552479815456,27.651933701657455,27.11864406779661,-7.958477508650519
10,1239.2727272727273,52.0,1323.25,4840.0,154.66666666666666,14454.0,1186.7142857142858,94.0,1181.2727272727273,1209.6,70.5,1314.2727272727273,1701.8181818181818,100.0,1803.75,3034.0,142.33333333333334,4047.0,1378.583333333333,85.75,1600.625,1458.4615384615383,80.0,1825.0,3506.285714285714,66.66666666666667,4650.0,3506.285714285714,66.66666666666667,4650.0,3506.285714285714,66.66666666666667,4650.0,3506.285714285714,66.66666666666667,4650.0,2021.166666666667,181.5,3248.0,2405.0,160.0,4224.0,2111.6666666666665,176.0,3451.5,2699.25,206.66666666666663,5865.0,3400.75,98.0,10065.0,2820.2,102.5,3690.0,2448.0,90.0,4536.0,2080.5,112.0,3016.666666666666,65.7659467604219,70.62146892655367,61.84400230680507,-33.70165745856353,12.617702448210927,-316.7820069204152,67.21783741120757,46.89265536723164,65.93792597252806,66.58563535911603,60.16949152542373,62.102862535388496,52.988448016072326,43.50282485875706,47.988754325259514,16.1878453038674,19.585687382297547,-16.695501730103807,61.91758747697975,51.55367231638418,53.84587658592849,59.71100722481938,54.80225988700565,47.3760092272203,3.141278610891872,62.335216572504706,-34.083044982698965,3.141278610891872,62.335216572504706,-34.083044982698965,3.141278610891872,62.335216572504706,-34.083044982698965,3.141278610891872,62.335216572504706,-34.083044982698965,44.16666666666666,-2.542372881355932,6.343713956170704,33.56353591160221,9.6045197740113,-21.79930795847751,41.666666666666664,0.5649717514124294,0.4757785467128028,25.435082872928174,-16.760828625235384,-69.11764705882354,6.056629834254143,44.632768361581924,-190.2249134948097,22.093922651933706,42.090395480225986,-6.401384083044983,32.3756906077348,49.152542372881356,-30.795847750865054,42.52762430939226,36.72316384180791,13.014225297962339
11,1124.3076923076924,54.66666666666666,1149.2,3491.4285714285716,157.33333333333334,4698.0,1245.0,98.0,1222.0,1398.4,73.5,1526.4545454545455,1634.6153846153845,110.0,1643.2,3151.0,139.5,4767.0,1470.6153846153845,104.0,1624.0,1653.8461538461538,84.8,2073.75,3232.777777777778,69.33333333333333,3718.5,3232.777777777778,69.33333333333333,3718.5,3232.777777777778,69.33333333333333,3718.5,3232.777777777778,69.33333333333333,3718.5,2512.5,189.75,4256.0,2730.0,162.5,4964.0,2222.0,151.8,4389.0,3135.0,216.66666666666663,7000.0,3856.0,100.0,11600.0,3380.0,107.5,4520.0,2357.333333333333,96.0,3518.666666666666,2438.6666666666665,116.66666666666669,3593.333333333333,68.94177645558861,69.11487758945387,66.86274509803923,3.5516969218626637,11.111111111111105,-35.46712802768166,65.60773480662984,44.632768361581924,64.76355247981546,61.37016574585635,58.47457627118644,55.98458634790815,54.84487887802805,37.85310734463277,52.61822376009227,12.955801104972375,21.1864406779661,-37.45674740484429,59.375265618359535,41.24293785310734,53.17185697808535,54.313642158946024,52.09039548022599,40.20328719723184,10.696746470227131,60.8286252354049,-7.22318339100346,10.696746470227131,60.8286252354049,-7.22318339100346,10.696746470227131,60.8286252354049,-7.22318339100346,10.696746470227131,60.8286252354049,-7.22318339100346,30.5939226519337,-7.203389830508475,-22.722029988465973,24.58563535911602,8.192090395480227,-43.13725490196079,38.61878453038674,14.237288135593214,-26.557093425605537,13.397790055248617,-22.410546139359678,-101.84544405997693,-6.519337016574585,43.50282485875706,-234.4867358708189,6.6298342541436455,39.26553672316384,-30.33448673587082,34.88029465930019,45.76271186440678,-1.4609765474817202,32.63351749539595,34.08662900188323,-3.6139946174548165
