num_images,all,giraffes,zebras
2,944.0,0.0,848.0
3,1909.0,0.0,1702.0
4,1792.0,0.0,1600.0
5,2829.0,0.0,2400.0
6,2014.5,0.0,1700.0
7,2479.5,0.0,2094.75
8,2444.4,0.0,2070.8
9,2967.0,0.0,2516.0
10,3495.0,0.0,2934.6
11,2857.1428571428573,0.0,2406.8571428571427
12,2520.0,0.0,2113.777777777778
13,2177.3333333333335,0.0,1809.6666666666667
14,2458.3333333333335,0.0,2053.1666666666665
15,2526.846153846154,172.0,2266.0
16,2521.285714285714,115.0,2402.6666666666665
17,2515.6,115.0,2389.6153846153848
18,2706.133333333333,117.5,2581.6153846153848
19,2911.733333333333,125.0,2790.0
20,3014.375,119.0,3046.6153846153848
21,3072.0,136.0,3062.8571428571427
22,3064.4444444444443,117.0,3218.8571428571427
23,3171.3333333333335,119.25,3334.5
24,3318.8888888888887,137.5,3471.4285714285716
25,3447.222222222222,140.0,3640.285714285714
26,3450.0,142.5,3600.2
27,3463.2,147.5,3564.75
28,3313.6363636363635,150.0,3340.5
29,3285.6521739130435,152.5,3292.4210526315787
30,3431.4347826086955,157.5,3435.7894736842104
31,3418.5,157.5,3406.7
32,3545.25,165.0,3564.0
33,3452.16,165.0,3449.285714285714
34,3290.8888888888887,167.5,3243.1304347826085
35,3279.535714285714,170.0,3215.8333333333335
36,3411.6428571428573,180.0,3342.25
37,3501.785714285714,180.0,3439.3333333333335
38,3519.310344827586,182.5,3441.6
39,3627.0689655172414,185.0,3547.52
40,3649.8,192.5,3547.3846153846152
41,3673.6451612903224,171.6,3674.423076923077
42,3669.375,173.8,3651.4074074074074
43,3801.1875,182.6,3788.3703703703704
44,3908.75,184.8,3905.3333333333335
45,3915.6060606060605,187.0,3895.0
46,4056.121212121212,187.0,4048.5714285714284
47,3950.285714285714,187.0,3912.1
48,3817.5675675675675,187.0,3753.0
49,3755.230769230769,204.0,3655.8823529411766
50,3827.55,208.8,3712.8571428571427
51,3723.0,208.8,3595.189189189189
52,3798.6190476190477,208.8,3673.7837837837837
53,3773.4883720930234,188.5,3724.5405405405404
54,3762.681818181818,174.0,3790.972972972973
55,3732.4444444444443,174.0,3750.157894736842
56,3636.8297872340427,174.0,3629.5
57,3676.25,176.0,3659.512195121951
58,3726.5,176.0,3713.560975609756
59,3696.2448979591836,176.0,3675.0
60,3619.607843137255,176.0,3581.5
61,3612.576923076923,155.75,3644.4545454545455
62,3552.962962962963,155.75,3566.3478260869565
63,3545.0545454545454,155.75,3552.7659574468084
64,3604.6,155.75,3616.68085106383
65,3646.181818181818,155.75,3661.404255319149
66,3617.25,157.5,3618.3333333333335
67,3650.0714285714284,159.25,3648.5625
68,3669.6428571428573,159.25,3670.3125
69,3673.8947368421054,170.625,3655.1632653061224
70,3707.9122807017543,170.625,3692.734693877551
71,3676.310344827586,170.625,3653.76
72,3548.1967213114754,172.5,3498.1509433962265
73,3566.55737704918,172.5,3518.2264150943397
74,3543.1935483870966,172.5,3488.962962962963
75,3482.34375,172.5,3416.535714285714
