num_images,zebras,zebra_confidence
2,0.0,
3,1488.6041934644684,763.0
4,1208.307809790204,621.0
5,1567.969374700922,805.0
6,1803.1733693685696,925.0
7,1362.1647477452939,700.0
8,1767.8808864852858,908.0
9,1735.5257699037486,892.5
10,2035.8969307162872,1046.25
11,2490.614280313192,1279.25
12,2607.2367726196253,1338.75
13,3062.9334037324415,1572.25
14,3400.5435153810336,1745.0
15,3891.520276550027,1996.5
16,4350.161605825696,2231.0
17,4850.938130918596,2487.5
18,4022.8253951669344,2065.0
19,4326.630633645539,2220.0
20,3838.90210821329,1971.6666666666667
21,4101.214644273085,2106.0
22,3403.17633404809,1750.875
23,3630.7809697088583,1867.5
24,3982.596533519307,2048.0
25,3883.4881723510016,1998.4444444444443
26,4096.800860533032,2107.777777777778
27,4024.696663352407,2072.0
28,3908.6767785640636,2013.8181818181818
29,4115.813329100337,2120.0
30,4208.471984340065,2167.2727272727275
31,4336.768293983721,2232.7272727272725
32,4436.554096656771,2283.6363636363635
33,4445.570279874113,2289.75
34,3979.1263708507677,2052.285714285714
35,3540.967463631938,1828.75
36,3452.4889463954405,1784.1176470588234
37,3410.755434862553,1763.3333333333333
38,3470.867260383203,1794.0
39,3592.384731456251,1856.5
40,3669.157575781001,1895.6666666666667
41,3820.4037464354183,1973.3333333333333
42,3543.550646311691,1832.6
43,3431.950734171133,1775.6666666666667
44,3385.0999216180967,1752.2727272727273
45,3507.3311795228137,1815.1363636363637
46,3333.243807391099,1726.8333333333333
47,3388.5835955470006,1756.08
48,3349.6586781430688,1736.7307692307693
49,3448.5602736495825,1787.6923076923076
50,3411.14043359963,1769.111111111111
51,3448.3853725805006,1788.111111111111
52,3477.3535853136686,1802.888888888889
53,3522.874937264299,1826.111111111111
54,3572.5344254792794,1851.4444444444443
55,3601.5023818922164,1866.2222222222222
56,3596.7108974728567,1864.2857142857142
57,3517.740816831166,1824.0
58,3539.2715942125715,1836.0
59,3558.874284039828,1846.0
60,3609.84114088141,1872.0
61,3592.0877623915894,1863.4516129032259
62,3576.7289542856056,1856.125
63,3649.855348490711,1893.9375
64,3669.1518441564344,1903.78125
65,3707.7447497571297,1923.46875
66,3734.759717210734,1937.25
67,3703.7501940700854,1921.939393939394
68,3572.0920740652805,1855.2857142857142
69,3549.6240941510664,1844.3333333333333
70,3574.781573566574,1857.1666666666667
71,3568.1056457828768,1854.2702702702702
72,3592.954147189792,1866.945945945946
73,3629.4964670305517,1886.6052631578948
74,3650.8538352007463,1897.5
