num_images,all,giraffes,zebras
2,1320.0,0.0,1159.0
3,1395.0,0.0,1215.0
4,1662.6666666666667,0.0,1456.0
5,1742.0,0.0,1542.75
6,1092.0,46.0,1080.0
7,1044.0,39.0,1085.0
8,1242.0,43.5,1290.6666666666667
9,1446.7272727272727,49.5,1493.3333333333333
10,1666.3636363636363,57.0,1725.0
11,1799.1666666666667,76.0,1830.6
12,1896.923076923077,82.0,1899.8181818181818
13,2089.6923076923076,84.0,2102.7272727272725
14,2006.6666666666667,84.0,1986.4615384615386
15,1957.9411764705883,86.0,1912.2666666666667
16,2206.823529411765,90.0,2158.2
17,2374.4117647058824,94.0,2320.266666666667
18,2373.3333333333335,98.0,2305.5
19,2167.1428571428573,100.0,2073.1052631578946
20,2316.190476190476,125.0,2207.5263157894738
21,2414.285714285714,125.0,2309.2105263157896
22,2501.4761904761904,125.0,2400.6315789473683
23,2424.1304347826085,125.0,2315.2380952380954
24,2357.6,125.0,2242.1739130434785
25,2364.846153846154,127.5,2243.375
26,2368.0,127.5,2246.24
27,2388.1428571428573,132.5,2261.423076923077
28,2523.214285714286,132.5,2398.076923076923
29,2645.5,135.0,2515.8076923076924
30,2697.5172413793102,135.0,2566.6666666666665
31,2799.103448275862,135.0,2668.4444444444443
32,2656.34375,135.0,2521.8
33,2679.0,135.0,2543.548387096774
34,2800.0,140.0,2659.6774193548385
35,2806.1176470588234,140.0,2665.28125
36,2808.0,142.5,2662.121212121212
37,2760.0,142.5,2612.5714285714284
38,2820.162162162162,150.0,2658.114285714286
39,2752.6153846153848,150.0,2590.9189189189187
40,2736.0,101.66666666666667,2640.0
41,2861.625,122.0,2753.2702702702704
42,2905.5,124.0,2794.135135135135
43,2916.560975609756,124.0,2804.684210526316
44,2904.0,126.0,2786.4615384615386
45,2926.186046511628,132.0,2793.375
46,2869.0666666666666,134.0,2729.8571428571427
47,2878.1739130434785,138.0,2730.5581395348836
48,2902.404255319149,138.0,2754.6136363636365
49,2935.625,120.75,2837.3863636363635
50,3013.0625,120.75,2916.7727272727275
51,3049.5,124.25,2949.75
52,3067.3333333333335,124.25,2968.568181818182
53,3103.0,126.0,3001.5
54,3117.714285714286,127.75,3010.0
55,3068.0,131.25,2945.9148936170213
56,3145.5882352941176,131.25,3024.1702127659573
57,2989.490909090909,133.0,2855.529411764706
58,2980.4210526315787,133.0,2843.9245283018868
59,3024.5862068965516,133.0,2887.1111111111113
60,2988.7,133.0,2849.375
61,3028.8524590163934,133.0,2887.7719298245615
62,3060.5806451612902,133.0,2919.5862068965516
63,2993.0615384615385,133.0,2848.3606557377047
64,3008.6769230769232,133.0,2863.8688524590166
65,3016.969696969697,133.0,2870.8064516129034
66,2995.0597014925374,134.75,2844.4444444444443
67,3025.7462686567164,134.75,2874.8571428571427
68,3064.5223880597014,136.5,2909.5238095238096
69,3099.5223880597014,140.0,2936.063492063492
70,3162.507462686567,140.0,2999.126984126984
71,3162.5,143.5,2998.25
72,3201.794117647059,143.5,3037.5
73,3257.0588235294117,143.5,3092.578125
74,3252.449275362319,143.5,3086.9538461538464
75,3267.7,143.5,3101.212121212121
