num_images,all,giraffes,zebras
2,96.66666666666667,1770.0,93.33333333333333
3,184.33333333333334,1770.0,179.66666666666666
4,200.0,1770.0,190.0
5,302.4,1770.0,285.6
6,499.8,1770.0,465.8
7,676.2,1770.0,630.0
8,837.2,1770.0,782.0
9,990.0,1770.0,925.0
10,1161.0,1770.0,1090.8
11,1570.8,1770.0,1388.8
12,1248.2857142857142,44.0,1290.6666666666667
13,1448.2857142857142,44.0,1510.8333333333333
14,1440.0,44.0,1482.0
15,1590.75,44.0,1645.7142857142858
16,1749.0,50.0,1812.0
17,2158.0,54.0,2242.8571428571427
18,2401.0,56.0,2499.4285714285716
19,2124.0,60.0,2147.0
20,2312.6,64.0,2340.0
21,2560.8,66.0,2595.5555555555557
22,2746.2,68.0,2784.222222222222
23,2419.9166666666665,68.0,2415.0
24,2190.0,35.0,2337.0833333333335
25,2231.714285714286,35.0,2384.4166666666665
26,2351.785714285714,35.0,2518.5
27,2501.5714285714284,35.0,2685.3333333333335
28,2481.866666666667,35.0,2640.0
29,2578.5333333333333,35.0,2747.769230769231
30,2528.75,35.0,2673.785714285714
31,2612.25,38.0,2754.0
32,2764.5625,38.0,2920.714285714286
33,2822.823529411765,39.0,2960.5333333333333
34,2786.6666666666665,39.0,2906.25
35,2780.1052631578946,40.0,2880.0
36,2628.5714285714284,41.0,2692.4210526315787
37,2647.2727272727275,41.0,2703.0
38,2526.3333333333335,43.0,2552.7272727272725
39,2629.625,43.0,2660.409090909091
40,2696.375,43.0,2729.9545454545455
41,2748.6666666666665,43.0,2785.0
42,2840.5,64.5,2855.7272727272725
43,2974.5833333333335,66.0,2990.0
44,3146.75,69.0,3158.181818181818
45,3461.6666666666665,73.5,3477.4545454545455
46,3457.88,73.5,3466.521739130435
47,3305.1111111111113,76.5,3285.76
48,3219.9655172413795,78.0,3183.703703703704
49,3202.266666666667,104.0,3139.214285714286
50,3306.7741935483873,104.0,3242.0344827586205
51,3405.0,106.0,3337.6206896551726
52,3316.3636363636365,106.0,3240.7741935483873
53,3317.529411764706,118.0,3209.8125
54,3444.0,120.0,3331.25
55,3373.1111111111113,124.0,3246.3529411764707
56,3357.7297297297296,128.0,3220.285714285714
57,3358.342105263158,128.0,3219.722222222222
58,3350.5128205128203,128.0,3211.4864864864867
59,3448.8205128205127,128.0,3308.108108108108
60,3548.2051282051284,128.0,3407.7567567567567
61,3488.7804878048782,128.0,3345.4358974358975
62,3516.3658536585367,132.0,3372.923076923077
63,3500.714285714286,132.0,3356.825
64,3428.2272727272725,132.0,3282.5
65,3382.222222222222,132.0,3236.279069767442
66,3434.0,132.0,3287.720930232558
67,3398.0434782608695,132.0,3251.840909090909
68,3436.9565217391305,134.0,3286.3636363636365
69,3387.5416666666665,134.0,3235.4347826086955
70,3348.265306122449,136.0,3192.7659574468084
71,3113.259259259259,136.0,2960.0
72,3128.962962962963,136.0,2976.0
73,3163.4444444444443,136.0,3010.403846153846
74,3134.875,138.0,2978.0555555555557
