num_images,all,giraffes,zebras
2,95.0,1770.0,91.66666666666667
3,186.66666666666666,1770.0,177.33333333333334
4,181.8,1770.0,172.8
5,273.0,1770.0,257.8333333333333
6,441.0,1770.0,411.0
7,594.0,1770.0,553.6666666666666
8,728.0,1770.0,680.0
9,862.3333333333334,1770.0,806.0
10,1017.3333333333334,1770.0,956.6666666666666
11,1348.6666666666667,1770.0,1194.6666666666667
12,1124.375,44.0,1140.857142857143
13,1301.5,44.0,1332.0
14,1312.0,44.0,1330.875
15,1447.6666666666667,44.0,1476.0
16,1590.0,50.0,1623.25
17,1955.111111111111,54.0,2001.75
18,2134.222222222222,56.0,2187.0
19,1930.909090909091,60.0,1932.3
20,2136.2727272727275,64.0,2141.1
21,2363.2727272727275,66.0,2372.5
22,2532.7272727272725,68.0,2543.2
23,2265.230769230769,68.0,2245.8333333333335
24,2072.0,35.0,2187.6923076923076
25,2111.4666666666667,35.0,2232.0
26,2195.0,35.0,2324.769230769231
27,2334.8,35.0,2478.769230769231
28,2326.75,35.0,2451.4285714285716
29,2446.5,35.0,2583.0
30,2408.0,35.0,2525.6
31,2487.176470588235,38.0,2601.0
32,2631.176470588235,38.0,2757.3333333333335
33,2694.6666666666665,39.0,2806.0
34,2667.7894736842104,39.0,2764.705882352941
35,2668.05,40.0,2748.3333333333335
36,2534.181818181818,41.0,2583.9
37,2556.521739130435,41.0,2599.5238095238096
38,2402.4,43.0,2418.2608695652175
39,2547.6,43.0,2568.521739130435
40,2611.84,43.0,2635.217391304348
41,2662.28,43.0,2688.1304347826085
42,2750.8,64.5,2756.1739130434785
43,2879.8,66.0,2884.8695652173915
44,3020.88,69.0,3020.8695652173915
45,3323.2,73.5,3326.2608695652175
46,3349.153846153846,73.5,3346.875
47,3305.1111111111113,76.5,3285.76
48,3134.4,78.0,3091.9285714285716
49,3120.1935483870966,104.0,3052.310344827586
50,3224.375,104.0,3155.0
51,3319.875,106.0,3247.733333333333
52,3238.9411764705883,106.0,3159.625
53,3242.5142857142855,118.0,3132.121212121212
54,3365.5142857142855,120.0,3250.0
55,3301.027027027027,124.0,3172.3714285714286
56,3288.157894736842,128.0,3149.25
57,3290.7179487179487,128.0,3150.810810810811
58,3285.0,128.0,3144.842105263158
59,3380.875,128.0,3238.9473684210525
60,3478.0,128.0,3336.2105263157896
61,3423.4523809523807,128.0,3279.15
62,3450.4285714285716,132.0,3306.0
63,3436.8372093023254,132.0,3292.0975609756097
64,3368.8888888888887,132.0,3222.6046511627906
65,3325.2391304347825,132.0,3178.8636363636365
66,3375.978260869565,132.0,3229.2272727272725
67,3342.127659574468,132.0,3195.5555555555557
68,3380.31914893617,134.0,3229.4
69,3318.408163265306,134.0,3166.595744680851
70,3297.0,136.0,3141.5
71,3071.072727272727,136.0,2918.1132075471696
72,3086.5636363636363,136.0,2933.8867924528304
73,3120.509090909091,136.0,2967.735849056604
74,3094.0701754385964,138.0,2937.6363636363635
