num_images,all,giraffes,zebras
2,940.0,69.0,34680.0
3,1775.0,150.0,34680.0
4,2697.0,165.0,34680.0
5,1815.0,185.0,2044.0
6,1189.5,1770.0,34680.0
7,1494.25,14.0,34680.0
8,1488.0,16.0,3424.0
9,1820.0,19.0,1126.6
10,2257.2,20.0,1419.4
11,2215.5,26.0,1159.375
12,2538.6666666666665,58.0,1576.25
13,2427.4285714285716,33.0,1855.0
14,2763.4285714285716,36.0,2090.5
15,2445.3333333333335,38.0,2369.25
16,2314.181818181818,39.0,2445.3333333333335
17,2793.0,41.0,2669.3333333333335
18,2585.0,41.0,2723.2
19,2895.3333333333335,41.0,3069.0
20,2718.8571428571427,42.0,2813.5
21,2794.0,43.0,2866.153846153846
22,2937.8125,43.0,3000.214285714286
23,3000.0,64.5,3025.6
24,3053.0,64.5,3071.25
25,3096.1052631578946,67.5,3090.0588235294117
26,2986.6666666666665,67.5,2956.315789473684
27,2988.4545454545455,69.0,2946.8
28,3120.0,73.5,3087.9
29,3338.9545454545455,78.0,3307.5
30,3255.0,78.0,3206.0454545454545
31,3259.32,79.5,3201.086956521739
32,3413.2,81.0,3359.7391304347825
33,3557.4,82.5,3500.9565217391305
34,3555.5,82.5,3493.0833333333335
35,3447.6428571428573,84.0,3373.9615384615386
36,3248.8064516129034,84.0,3162.0689655172414
37,3141.818181818182,87.0,3048.967741935484
38,3187.529411764706,88.5,3088.3125
39,3223.8,88.5,3122.3333333333335
40,3285.2,90.0,3178.6363636363635
41,3381.1428571428573,90.0,3275.6363636363635
42,3318.4594594594596,90.0,3208.285714285714
43,3327.684210526316,99.0,3183.3333333333335
44,3348.8205128205127,99.0,3203.3513513513512
45,3246.829268292683,100.5,3095.2820512820513
46,3298.121951219512,100.5,3147.4615384615386
47,3233.6976744186045,102.0,3078.9268292682927
48,3224.0454545454545,138.0,3050.0
49,3195.733333333333,140.0,3017.7906976744184
50,3294.222222222222,175.0,3100.5116279069766
51,3388.6666666666665,175.0,3194.4418604651164
52,3312.340425531915,213.0,3100.0666666666666
53,3395.744680851064,213.0,3181.4666666666667
54,3451.3125,213.0,3236.608695652174
55,3520.1041666666665,216.0,3300.0
56,3629.8125,222.0,3398.086956521739
57,3655.0,259.0,3408.2608695652175
58,3695.3333333333335,266.0,3443.2608695652175
59,3630.96,266.0,3380.0
60,3622.7450980392155,269.5,3368.2448979591836
61,3575.4150943396226,276.5,3312.705882352941
62,3446.8571428571427,276.5,3189.814814814815
63,3353.5593220338983,280.0,3097.0175438596493
64,3401.169491525424,280.0,3142.6140350877195
65,3432.0,290.5,3163.8947368421054
66,3440.266666666667,290.5,3173.793103448276
67,3488.4666666666667,290.5,3220.793103448276
68,3474.9508196721313,294.0,3205.0338983050847
69,3540.4590163934427,294.0,3268.64406779661
70,3561.6935483870966,294.0,3290.766666666667
71,3588.0,294.0,3316.5
72,3649.032258064516,294.0,3374.766666666667
73,3667.0967741935483,297.5,3388.4666666666667
74,3657.4603174603176,301.0,3376.6393442622953
