num_images,all,giraffes,zebras
2,1026.0,1770.0,850.0
3,36200.0,1770.0,34680.0
4,2053.5,1770.0,1782.0
5,6615.0,1770.0,5375.0
6,1925.6,16.0,2137.5
7,5638.5,28.0,34680.0
8,2175.6666666666665,36.0,2784.0
9,1672.5,46.5,1881.0
10,2892.1666666666665,38.0,3802.5
11,1885.090909090909,132.0,1768.0
12,2196.4,114.0,2076.4444444444443
13,3636.0,80.0,3608.0
14,2868.8,160.0,2762.6666666666665
15,3917.3333333333335,160.0,3775.0
16,2792.0,168.0,2625.230769230769
17,3379.090909090909,73.5,4396.0
18,2654.3529411764707,336.0,2378.75
19,3367.6923076923076,80.0,3727.5
20,3932.5,112.0,4370.0
21,2457.1428571428573,128.33333333333334,2399.3333333333335
22,3089.0526315789475,114.0,3136.0
23,3633.8823529411766,213.5,3500.0
24,2997.2,195.0,2816.6111111111113
25,2875.8333333333335,106.66666666666667,2860.285714285714
26,2732.5925925925926,94.5,2577.92
27,3267.9166666666665,315.0,2954.3478260869565
28,3120.0,147.5,2965.346153846154
29,3027.1428571428573,135.0,3035.4166666666665
30,2646.4375,168.0,2485.1666666666665
31,3304.896551724138,165.0,3111.1111111111113
32,3240.0,100.8,3347.3846153846152
33,3125.4545454545455,238.0,2901.8709677419356
34,3327.5454545454545,141.75,3277.2413793103447
35,3319.6,105.6,3379.0
36,2395.3695652173915,126.0,2279.7380952380954
37,3415.529411764706,154.0,3342.6666666666665
38,3359.75,149.33333333333334,3254.896551724138
39,3226.5789473684213,135.66666666666666,3259.6875
40,3570.294117647059,166.5,3488.9333333333334
41,3636.818181818182,292.0,3351.4193548387098
42,3496.4324324324325,144.0,3414.0
43,3810.470588235294,131.4,3896.137931034483
44,2836.9777777777776,81.66666666666667,2879.6923076923076
45,3526.25,120.75,3459.1666666666665
46,3724.1666666666665,142.0,3517.5
47,3408.0,172.66666666666666,3243.0
48,3028.5,108.0,2916.5
49,3410.088888888889,135.66666666666666,3428.3076923076924
50,3836.5116279069766,125.0,3886.7027027027025
51,3407.659574468085,246.0,3166.3636363636365
52,3524.608695652174,164.0,3380.4761904761904
53,3568.1372549019607,199.2,3403.1521739130435
54,3185.0,152.16666666666666,3084.9795918367345
55,3806.8333333333335,375.0,3489.2608695652175
56,3574.530612244898,173.25,3421.911111111111
57,4181.673913043478,143.5,4049.6428571428573
58,3559.529411764706,195.0,3400.0
59,3849.764705882353,156.0,3702.127659574468
60,3678.1153846153848,166.0,3519.75
61,3209.901639344262,156.0,3089.285714285714
62,3760.4897959183672,207.5,3595.6222222222223
63,3513.0344827586205,255.0,3278.4814814814813
64,3286.032786885246,177.33333333333334,3103.9655172413795
65,3509.45,202.5,3335.8214285714284
66,3443.032786885246,170.0,3265.2631578947367
67,3384.8888888888887,164.0,3246.689655172414
68,3623.7049180327867,191.25,3430.9298245614036
69,3701.9523809523807,166.0,3632.3571428571427
70,3326.608695652174,218.66666666666666,3101.212121212121
71,3342.6428571428573,174.0,3176.123076923077
72,3340.0,144.0,3239.8153846153846
73,3652.46875,220.0,3426.15
74,3961.293103448276,157.85714285714286,3932.3137254901962
