num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2538.0,42.0,34680.0
4,2292.5,48.0,3729.0
5,2080.0,84.0,2479.0
6,1978.0,90.0,2133.3333333333335
7,1886.0,96.0,1935.0
8,2464.0,114.0,2561.0
9,2369.8333333333335,120.0,2374.4
10,2741.3333333333335,120.0,2781.6
11,2613.1428571428573,126.0,2578.3333333333335
12,2961.714285714286,129.0,2940.0
13,2747.25,172.0,2650.0
14,2833.5555555555557,172.0,2720.25
15,3233.6666666666665,172.0,3134.375
16,3321.6,180.0,3189.3333333333335
17,3342.181818181818,184.0,3191.3
18,3074.0,192.0,2890.0
19,3295.846153846154,196.0,3103.0
20,3428.923076923077,196.0,3240.0
21,3775.3846153846152,196.0,3586.3333333333335
22,3789.0,204.0,3575.5384615384614
23,3594.3125,208.0,3369.733333333333
24,2896.9523809523807,135.0,2797.2631578947367
25,2914.3636363636365,137.5,2805.0
26,3054.5454545454545,168.0,2921.2
27,2946.5,171.0,2800.3636363636365
28,2995.52,135.33333333333334,2948.181818181818
29,3038.6666666666665,147.0,2957.6666666666665
30,2777.4193548387098,126.0,2750.222222222222
31,2852.9032258064517,126.0,2831.814814814815
32,2941.0,144.0,2893.4285714285716
33,2993.6363636363635,148.5,2931.2758620689656
34,2975.057142857143,148.5,2901.8709677419356
35,2920.7027027027025,148.5,2837.3636363636365
36,2976.0,148.5,2890.323529411765
37,3016.8947368421054,148.5,2933.176470588235
38,2969.775,150.75,2872.222222222222
39,3029.4,153.0,2929.5
40,3115.5,155.25,3013.3333333333335
41,3212.475,157.5,3109.3888888888887
42,3235.7073170731705,159.75,3125.3783783783783
43,3134.5116279069766,159.75,3015.6153846153848
44,3212.767441860465,166.5,3082.051282051282
45,3192.9545454545455,168.75,3055.2
46,3165.0,168.75,3025.0731707317073
47,3162.586956521739,173.25,3011.4285714285716
48,3259.717391304348,175.5,3105.1428571428573
49,3209.1041666666665,158.0,3101.2093023255816
50,3036.923076923077,158.0,2914.0425531914893
51,2997.240740740741,158.0,2869.714285714286
52,3040.6111111111113,160.0,2914.0408163265306
53,3146.3888888888887,166.0,3007.6530612244896
54,3244.4444444444443,166.0,3107.3469387755104
55,3247.3636363636365,166.0,3108.22
56,3278.5454545454545,166.0,3139.6
57,3255.1071428571427,166.0,3113.529411764706
58,3185.4827586206898,166.0,3039.3584905660377
59,3236.896551724138,166.0,3091.2075471698113
60,3275.6610169491523,166.0,3128.6666666666665
61,3327.491525423729,166.0,3181.6666666666665
62,3220.064516129032,166.0,3068.2105263157896
63,3249.6451612903224,166.0,3099.157894736842
64,3270.532258064516,166.0,3120.3333333333335
65,3300.0,166.0,3162.8947368421054
66,3280.9523809523807,166.0,3142.6206896551726
67,3252.4615384615386,168.0,3105.9
68,3230.223880597015,168.0,3080.451612903226
69,3274.9253731343283,172.0,3117.8709677419356
70,3230.7391304347825,193.6,3051.46875
71,3266.1159420289855,193.6,3086.859375
72,3294.623188405797,193.6,3116.5
73,3338.5797101449275,198.0,3152.296875
74,3357.9,198.0,3170.5846153846155
