num_images,all,giraffes,zebras
2,1239.0,1770.0,1060.0
3,730.0,33.0,864.0
4,4956.0,1770.0,4326.0
5,5600.0,51.0,34680.0
6,1522.4,60.0,1543.5
7,1660.6666666666667,58.0,1642.2
8,2262.0,88.0,2392.5
9,2917.2,52.0,3120.0
10,2520.0,64.0,2970.0
11,2176.0,1770.0,1909.5
12,2515.3333333333335,82.0,2701.0
13,2160.4166666666665,31.0,2299.1
14,2913.777777777778,58.5,3242.1428571428573
15,3626.6666666666665,165.0,3441.0
16,3041.3846153846152,75.0,3090.0
17,2379.0,88.0,2502.769230769231
18,2114.7,106.0,2091.294117647059
19,3318.5714285714284,189.0,3231.0
20,4265.25,96.66666666666667,4901.0
21,3060.0,80.0,3117.8
22,2431.75,69.33333333333333,2437.5238095238096
23,4077.4285714285716,270.0,3770.769230769231
24,3399.157894736842,159.0,3261.176470588235
25,3632.2105263157896,105.0,3716.125
26,3537.2,133.0,3558.176470588235
27,3204.521739130435,57.0,3013.5
28,3799.1304347826085,132.5,3700.714285714286
29,2937.1428571428573,126.0,2864.4
30,3156.0,204.0,2941.8518518518517
31,3605.777777777778,206.5,3419.64
32,2358.4324324324325,84.0,2364.375
33,3556.1111111111113,110.0,3500.0
34,3429.4666666666667,177.0,3243.4285714285716
35,2926.945945945946,170.0,2733.714285714286
36,2983.9166666666665,220.5,2769.4117647058824
37,3605.212121212121,201.0,3383.2258064516127
38,3301.9411764705883,136.0,3181.8387096774195
39,3359.5714285714284,94.4,3453.266666666667
40,3804.9032258064517,234.5,3559.0344827586205
41,3129.6428571428573,216.0,2904.45
42,4091.3225806451615,156.33333333333334,4018.3928571428573
43,3164.1428571428573,170.0,3048.315789473684
44,3002.0416666666665,168.0,2822.711111111111
45,3360.2727272727275,164.25,3226.95
46,3200.568181818182,126.0,3179.7948717948716
47,3154.285714285714,152.16666666666666,3081.279069767442
48,3489.55,175.5,3373.4444444444443
49,3315.6666666666665,166.5,3172.681818181818
50,3276.413043478261,193.66666666666666,3066.7906976744184
51,2927.0526315789475,154.0,2820.294117647059
52,3154.0384615384614,162.0,3010.0
53,3170.6666666666665,184.8,3012.3260869565215
54,3372.4285714285716,134.75,3232.3846153846152
55,3555.0,182.25,3382.7391304347825
56,4451.5952380952385,290.5,4132.8
57,3330.0,180.0,3149.64
58,3124.8947368421054,177.75,2966.3207547169814
59,3274.2131147540986,187.2,3129.285714285714
60,3537.6792452830186,160.0,3410.7291666666665
61,3824.764705882353,180.4,3698.391304347826
62,3661.4150943396226,167.2,3562.7083333333335
63,3108.529411764706,187.2,2935.3333333333335
64,3542.5,184.5,3349.8846153846152
65,3251.757575757576,160.2,3086.8852459016393
66,3574.509433962264,189.0,3399.6530612244896
67,3629.0163934426228,146.66666666666666,3545.890909090909
68,3240.144927536232,135.0,3105.3333333333335
69,3384.0,202.5,3171.2131147540986
70,3044.25,166.0,2896.7714285714287
71,3385.2,153.0,3259.5
72,3921.101694915254,246.0,3701.090909090909
73,3439.6153846153848,182.0,3324.689655172414
74,3387.676470588235,144.83333333333334,3293.6129032258063
