num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,1034.0,0.0,1034.0
5,1298.0,0.0,1298.0
6,2352.0,0.0,2320.0
7,3486.0,0.0,3423.0
8,4608.0,0.0,4512.0
9,5670.0,0.0,5508.0
10,6930.0,0.0,6750.0
11,7320.0,0.0,7080.0
12,7710.0,0.0,7470.0
13,9273.0,0.0,9009.0
14,10800.0,0.0,10512.0
15,12997.0,0.0,12669.0
16,14276.0,0.0,13889.0
17,8010.0,0.0,7785.0
18,8441.0,0.0,8188.0
19,3927.0,0.0,3814.8
20,4276.8,0.0,4158.0
21,3322.285714285714,0.0,3232.714285714286
22,3600.0,0.0,3497.1428571428573
23,3449.25,0.0,3346.875
24,3584.0,0.0,3480.0
25,3910.0,0.0,3782.5
26,3889.1111111111113,0.0,3765.777777777778
27,4095.5555555555557,0.0,3968.8888888888887
28,4205.333333333333,0.0,4078.6666666666665
29,4441.555555555556,0.0,4309.888888888889
30,4342.8,0.0,4216.8
31,4072.2727272727275,0.0,3956.3636363636365
32,4109.333333333333,0.0,3986.6666666666665
33,4024.6153846153848,0.0,3906.4615384615386
34,3859.214285714286,0.0,3727.5714285714284
35,3591.8125,0.0,3465.5625
36,3684.75,0.0,3550.875
37,3418.3333333333335,0.0,3295.8333333333335
38,3552.0,0.0,3426.0
39,3615.1666666666665,0.0,3488.0
40,3516.9473684210525,35.0,3544.4444444444443
41,3642.0,36.0,3666.222222222222
42,3597.75,36.0,3614.315789473684
43,3536.0,36.0,3545.9
44,3570.0,36.0,3581.3
45,3676.095238095238,37.0,3684.0
46,3733.714285714286,37.0,3744.0
47,3525.913043478261,37.0,3522.2727272727275
48,3599.217391304348,38.0,3590.909090909091
49,3607.5,40.0,3595.1739130434785
50,3473.346153846154,42.0,3442.56
51,3567.1153846153848,42.0,3537.6
52,3635.3846153846152,44.0,3596.4
53,3567.5555555555557,44.0,3525.1153846153848
54,3578.689655172414,92.0,3495.535714285714
55,3633.655172413793,96.0,3540.5
56,3773.793103448276,96.0,3680.3571428571427
57,3850.0,98.0,3751.1428571428573
58,3988.137931034483,102.0,3877.714285714286
59,4055.1724137931033,104.0,3938.714285714286
60,3754.969696969697,106.0,3630.0
61,3886.3636363636365,112.0,3744.40625
62,3863.823529411765,116.0,3711.030303030303
63,3984.0588235294117,118.0,3824.0
64,3917.542857142857,120.0,3753.4411764705883
65,3891.5,124.0,3718.0857142857144
66,3926.6944444444443,124.0,3753.885714285714
67,3728.4615384615386,93.0,3635.0810810810813
68,3772.4615384615386,93.0,3679.7837837837837
69,3683.1951219512193,94.5,3581.6923076923076
70,3656.285714285714,96.0,3548.5
71,3751.4285714285716,96.0,3643.2
72,3823.6744186046512,96.0,3713.7073170731705
73,3815.4772727272725,97.5,3700.0
74,3813.4,97.5,3695.720930232558
