num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,2070.0,22.0,0.0
4,1344.0,26.0,3168.0
5,1112.0,22.0,1545.3333333333333
6,1172.5714285714287,29.0,1159.3333333333333
7,2587.0,130.0,2788.6666666666665
8,1683.0,35.0,1856.0
9,2112.0,76.0,2046.0
10,1384.6153846153845,52.0,1505.2
11,3420.0,185.0,3393.8
12,2328.0,112.5,2309.2
13,2800.0,60.0,3575.0
14,3342.222222222222,84.0,3208.5
15,4603.5,114.66666666666667,6060.0
16,3315.4166666666665,138.0,3170.3636363636365
17,2497.4117647058824,225.0,2282.4375
18,2994.75,147.0,2883.214285714286
19,3012.470588235294,208.0,2861.3333333333335
20,2924.842105263158,192.5,2794.235294117647
21,2784.7619047619046,72.5,2966.1176470588234
22,2857.4285714285716,100.0,2860.0
23,2193.6296296296296,73.5,2096.0
24,2837.2083333333335,86.66666666666667,2838.8571428571427
25,3130.9,99.75,3340.25
26,3542.4,125.0,3459.5555555555557
27,3406.181818181818,130.66666666666666,3396.0526315789475
28,4037.75,248.0,3751.157894736842
29,3351.28,198.0,3099.0434782608695
30,4685.222222222223,488.0,4263.176470588235
31,3708.25,159.75,3797.5
32,4047.96,157.5,4109.714285714285
33,3602.4444444444443,259.0,3333.32
34,4357.5,224.0,4150.125
35,3370.46875,173.33333333333334,3246.9655172413795
36,4035.285714285714,140.0,4095.125
37,3268.3333333333335,268.0,3026.0
38,3868.2413793103447,106.5,3901.08
39,3473.0526315789475,172.5,3344.470588235294
40,2837.3333333333335,86.4,2819.189189189189
41,3466.0882352941176,132.0,3446.5
42,2903.4418604651164,119.0,2813.5641025641025
43,4018.181818181818,162.0,3873.866666666667
44,3312.7,155.25,3219.8055555555557
45,3610.108108108108,150.0,3539.878787878788
46,3439.021276595745,182.25,3266.232558139535
47,3321.6,170.33333333333334,3150.0
48,3517.951219512195,148.0,3396.2162162162163
49,4088.4166666666665,213.33333333333334,3882.5757575757575
50,3054.3571428571427,138.6,2939.8039215686276
51,3841.860465116279,182.0,3641.1
52,3483.3478260869565,240.0,3270.139534883721
53,3146.1454545454544,240.0,2934.903846153846
54,3541.44,173.25,3386.086956521739
55,3395.1428571428573,162.0,3206.8695652173915
56,3018.0338983050847,197.5,2825.7090909090907
57,3590.0,166.0,3418.0666666666666
58,3665.0833333333335,211.75,3499.3636363636365
59,3962.4,147.0,3800.5
60,4034.625,169.4,3963.4651162790697
61,3203.237288135593,195.0,3021.163636363636
62,3415.5,189.0,3219.75
63,3104.3030303030305,207.5,2893.935483870968
64,3447.3230769230768,144.0,3379.551724137931
65,3224.0,191.25,3028.7818181818184
66,3399.2903225806454,252.0,3157.5423728813557
67,3471.3,156.0,3355.018181818182
68,3556.875,221.33333333333334,3317.5081967213114
69,3331.0588235294117,148.75,3268.5333333333333
70,3286.3521126760565,144.625,3221.4285714285716
71,3661.451612903226,189.0,3472.2413793103447
72,3475.5555555555557,186.33333333333334,3348.0701754385964
73,4095.3214285714284,191.33333333333334,3869.5849056603774
74,3591.8571428571427,240.8,3392.896551724138
