num_images,all,giraffes,zebras
2,851.0,0.0,682.0
3,1612.0,0.0,1305.0
4,2476.5,0.0,2052.0
5,1840.0,66.0,1965.3333333333333
6,2517.5,76.0,2703.0
7,2478.0,80.0,2522.25
8,2686.1666666666665,88.0,2622.0
9,3208.3333333333335,98.0,3120.0
10,2453.3333333333335,98.0,2281.5
11,2499.0,100.0,2314.777777777778
12,2857.4,100.0,2679.8888888888887
13,2862.5454545454545,102.0,2669.6
14,2619.6923076923076,104.0,2416.9166666666665
15,2603.6666666666665,91.66666666666667,2694.5
16,2490.3529411764707,91.66666666666667,2522.1428571428573
17,2661.176470588235,95.0,2695.714285714286
18,2990.5882352941176,126.0,3000.5714285714284
19,2752.2,126.0,2690.470588235294
20,2631.2727272727275,126.0,2546.5263157894738
21,2540.2083333333335,126.0,2439.095238095238
22,2571.84,130.0,2460.681818181818
23,2709.76,132.0,2596.3636363636365
24,2781.24,132.0,2672.590909090909
25,2911.28,134.0,2801.1363636363635
26,3069.0,142.0,2939.3636363636365
27,3211.8,142.0,3087.818181818182
28,3247.4615384615386,146.0,3105.8695652173915
29,3343.076923076923,172.66666666666666,3180.9565217391305
30,3425.076923076923,172.66666666666666,3269.695652173913
31,3349.8214285714284,150.0,3293.7916666666665
32,3297.0666666666666,168.75,3198.6923076923076
33,3182.84375,168.75,3066.0714285714284
34,3176.7272727272725,168.75,3054.344827586207
35,3244.090909090909,171.0,3120.0
36,3353.6363636363635,171.0,3234.8275862068967
37,3307.0285714285715,177.75,3164.451612903226
38,3303.3888888888887,180.0,3150.78125
39,3307.135135135135,182.25,3144.2727272727275
40,3372.972972972973,182.25,3212.2727272727275
41,3456.4864864864867,182.25,3315.0
42,3441.842105263158,184.5,3291.0588235294117
43,3449.1794871794873,186.75,3292.457142857143
44,3345.8571428571427,189.0,3173.2105263157896
45,3428.285714285714,191.25,3253.0263157894738
46,3420.8372093023254,170.0,3312.0
47,3403.7727272727275,172.0,3285.051282051282
48,3471.2727272727275,172.0,3353.3846153846152
49,3522.909090909091,172.0,3406.923076923077
50,3505.511111111111,172.0,3385.2
51,3494.808510638298,172.0,3366.2380952380954
52,3539.6170212765956,172.0,3413.3333333333335
53,3500.25,172.0,3369.767441860465
54,3436.5,174.0,3293.3333333333335
55,3489.08,180.0,3343.4
56,3517.64,182.0,3368.8444444444444
57,3501.176470588235,182.0,3349.5
58,3636.9411764705883,182.0,3488.021739130435
59,3610.0,184.0,3453.531914893617
60,3584.301886792453,186.0,3420.6875
61,3641.509433962264,190.0,3479.4375
62,3670.2830188679245,190.0,3509.0
63,3703.9245283018868,190.0,3543.75
64,3757.6415094339623,190.0,3597.75
65,3625.8214285714284,190.0,3456.705882352941
66,3700.75,190.0,3532.078431372549
67,3566.2033898305085,190.0,3388.5925925925926
68,3624.6610169491523,190.0,3447.4074074074074
69,3647.4576271186443,190.0,3471.4814814814813
70,3622.366666666667,190.0,3444.109090909091
71,3667.3,190.0,3489.6
72,3694.4333333333334,190.0,3517.2727272727275
73,3718.8196721311474,192.0,3535.4285714285716
74,3685.5,192.0,3500.5263157894738
75,3707.7419354838707,192.0,3523.0
