num_images,all,giraffes,zebras
2,924.0,16.0,34680.0
3,1376.0,10.0,2356.0
4,1111.0,28.0,1379.5
5,1710.0,40.0,2070.0
6,1987.5,20.0,2270.3333333333335
7,2173.6,105.0,2241.75
8,1230.3636363636363,38.0,1189.5
9,2314.285714285714,99.0,2242.5
10,1713.6,72.0,1776.5
11,2136.0,49.5,2306.5714285714284
12,5297.6,40.0,5785.5
13,2070.5,40.0,1988.1818181818182
14,2296.8,82.0,2288.0
15,3287.0,51.0,3185.5555555555557
16,4592.0,92.0,4551.25
17,2634.3125,83.33333333333333,2758.153846153846
18,3325.5384615384614,212.0,3078.0
19,2419.3888888888887,162.0,2242.0588235294117
20,2926.0,260.0,2654.8823529411766
21,3020.8333333333335,80.0,3136.0
22,3439.5555555555557,55.0,3641.8
23,3261.6470588235293,114.0,3225.6
24,3840.0,92.75,4317.428571428572
25,2322.3030303030305,130.5,2227.5862068965516
26,3115.6363636363635,413.0,2819.1428571428573
27,3196.52,150.0,3079.9565217391305
28,2639.375,152.5,2464.0
29,4352.1,157.5,4230.888888888889
30,3478.4615384615386,116.0,3549.2727272727275
31,3522.8571428571427,195.0,3292.6153846153848
32,3587.6785714285716,158.66666666666666,3480.0
33,3815.0,149.33333333333334,3749.4545454545455
34,3437.689655172414,186.0,3257.222222222222
35,3760.551724137931,176.0,3643.076923076923
36,3077.8285714285716,141.75,3014.1290322580644
37,2603.8636363636365,110.25,2507.45
38,3621.323529411765,150.0,3474.967741935484
39,3899.15625,168.0,3770.4827586206898
40,3537.4545454545455,180.0,3323.7741935483873
41,3782.3529411764707,396.0,3450.848484848485
42,3326.125,111.0,3272.222222222222
43,2562.5438596491226,129.6,2444.5384615384614
44,3203.439024390244,162.66666666666666,3068.9473684210525
45,3546.2368421052633,175.0,3354.285714285714
46,3462.6511627906975,190.0,3230.878048780488
47,2749.153846153846,162.0,2596.5416666666665
48,3081.6666666666665,128.57142857142858,3104.4146341463415
49,3726.2195121951218,182.0,3516.684210526316
50,3095.4074074074074,134.75,2940.2
51,3346.44,120.6,3312.866666666667
52,3492.235294117647,169.4,3366.6304347826085
53,2936.0,243.0,2709.9310344827586
54,3304.0,200.0,3097.6
55,3391.9615384615386,180.0,3205.625
56,3135.728813559322,294.0,2870.035087719298
57,3392.4,177.75,3227.235294117647
58,3036.3934426229507,118.4,2953.125
59,2934.369230769231,226.66666666666666,2708.8387096774195
60,3132.9242424242425,160.0,3013.0333333333333
61,3874.5098039215686,195.0,3716.936170212766
62,3668.3636363636365,187.2,3535.8
63,3763.0,184.5,3592.9607843137255
64,3201.6393442622953,154.0,3089.181818181818
65,3701.40350877193,150.0,3721.1428571428573
66,3367.0,130.42857142857142,3326.943396226415
67,3377.4444444444443,143.33333333333334,3288.7719298245615
68,3402.15873015873,166.0,3301.4210526315787
69,3282.0307692307692,136.71428571428572,3217.655172413793
70,3431.7704918032787,174.0,3284.4821428571427
71,3608.25,174.0,3484.4137931034484
72,2966.25,170.0,2842.2028985507245
73,3578.181818181818,184.16666666666666,3432.9166666666665
74,3784.296875,182.6,3637.3728813559323
