num_images,all,giraffes,zebras
2,976.0,3.0,34680.0
3,1800.0,4.0,34680.0
4,2925.0,12.0,34680.0
5,2465.0,16.0,4257.0
6,1599.0,18.0,1849.3333333333333
7,2081.25,38.0,2379.3333333333335
8,2325.6,42.0,2516.25
9,2361.6666666666665,44.0,2469.6
10,2725.5,52.0,2827.4
11,2190.222222222222,56.0,2137.5
12,2355.5555555555557,56.0,2310.75
13,2600.6666666666665,62.0,2541.375
14,3097.3333333333335,64.0,3048.75
15,3244.6666666666665,64.0,3207.75
16,3292.8,64.0,3242.6666666666665
17,3625.6,66.0,3579.8888888888887
18,3911.4,74.0,3894.222222222222
19,3834.818181818182,76.0,3787.8
20,4078.2727272727275,76.0,4040.4
21,3958.5,76.0,4214.9
22,3617.1428571428573,80.0,3741.0
23,3839.3571428571427,88.0,3966.6666666666665
24,3758.3333333333335,90.0,3853.3846153846152
25,3959.4666666666667,90.0,4072.923076923077
26,3756.176470588235,112.5,3778.6666666666665
27,3957.4117647058824,135.0,3963.4
28,3955.277777777778,135.0,3944.125
29,3750.0,141.0,3704.0
30,3516.7272727272725,141.0,3445.6
31,3284.44,96.0,3328.8636363636365
32,3455.6,100.0,3503.9545454545455
33,3422.153846153846,102.0,3450.4347826086955
34,3526.269230769231,104.0,3556.0
35,3456.6428571428573,112.0,3438.6
36,3536.793103448276,112.0,3513.230769230769
37,3442.5806451612902,116.0,3388.3571428571427
38,3336.7272727272725,120.0,3258.0
39,3268.8285714285716,142.33333333333334,3156.75
40,3340.8,168.0,3202.75
41,3279.027027027027,144.0,3207.3333333333335
42,3332.0,144.0,3264.0
43,3398.108108108108,162.5,3309.939393939394
44,3493.054054054054,162.5,3409.060606060606
45,3461.684210526316,162.5,3371.823529411765
46,3528.157894736842,165.0,3435.4411764705883
47,3369.487804878049,165.0,3259.2972972972975
48,3196.3333333333335,165.0,3070.0
49,3228.2608695652175,165.0,3100.0
50,3121.25,134.0,3052.3255813953488
51,3105.36,134.0,3028.3555555555554
52,3098.235294117647,134.0,3018.391304347826
53,3129.8039215686276,134.0,3051.304347826087
54,3216.3529411764707,136.0,3136.0
55,3152.603773584906,136.0,3065.125
56,3188.3207547169814,136.0,3102.3333333333335
57,3217.796296296296,126.5,3181.6666666666665
58,3311.8888888888887,126.5,3280.2083333333335
59,3339.222222222222,126.5,3309.5833333333335
60,3345.4545454545455,126.5,3311.8571428571427
61,3361.285714285714,128.33333333333334,3320.24
62,3401.5178571428573,128.33333333333334,3362.32
63,3192.4590163934427,120.0,3173.4814814814813
64,3234.1967213114754,120.0,3217.5925925925926
65,3227.6129032258063,121.71428571428571,3202.690909090909
66,3264.2903225806454,121.71428571428571,3240.818181818182
67,3261.4285714285716,121.71428571428571,3234.214285714286
68,3275.15625,123.42857142857143,3245.122807017544
69,3349.03125,128.57142857142858,3308.6666666666665
70,3270.3582089552237,128.57142857142858,3217.5
71,3261.823529411765,128.57142857142858,3206.032786885246
72,3294.264705882353,128.57142857142858,3240.1967213114754
73,3313.0289855072465,130.28571428571428,3252.516129032258
74,3189.698630136986,130.28571428571428,3114.818181818182
