num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2889.0,1770.0,2444.0
4,1430.0,17.0,1808.0
5,1229.8,42.0,2312.5
6,2450.0,19.0,3144.0
7,2318.4,27.0,3339.0
8,2396.8,58.0,2497.5
9,2307.8333333333335,30.0,2424.0
10,3612.0,36.0,5221.0
11,1938.1818181818182,68.0,1864.0
12,2190.0,120.0,2080.0
13,2097.8333333333335,60.0,2180.4
14,1780.0,66.0,1750.7142857142858
15,2472.0,78.0,2346.3076923076924
16,2526.9333333333334,115.0,2465.076923076923
17,2688.0,50.0,2915.5
18,3263.076923076923,156.0,3062.5
19,2625.75,104.0,2468.133333333333
20,3307.3333333333335,110.0,3294.0
21,3049.8947368421054,154.66666666666666,3038.0
22,3074.5,106.0,3372.4285714285716
23,2504.25,122.0,2519.3
24,2488.8888888888887,90.0,2328.48
25,2410.0,93.0,2269.5172413793102
26,2621.25,91.5,2683.2
27,2567.25,116.0,2487.24
28,4316.35,118.33333333333333,4368.0
29,2744.964285714286,244.0,2477.222222222222
30,3505.9615384615386,305.0,3224.72
31,2349.3823529411766,81.33333333333333,2272.516129032258
32,2636.4,126.0,2629.6666666666665
33,2900.0,185.0,2787.9310344827586
34,3309.939393939394,178.66666666666666,3150.0
35,2758.9,163.2,2670.1714285714284
36,3704.035714285714,216.0,3466.346153846154
37,3494.205882352941,165.66666666666666,3356.9032258064517
38,2848.9024390243903,184.0,2677.0526315789475
39,3602.3225806451615,122.4,3697.0384615384614
40,3926.0,207.0,3689.866666666667
41,3115.7727272727275,140.0,2985.65
42,3698.0833333333335,148.57142857142858,3867.5172413793102
43,3206.1951219512193,192.0,3027.0526315789475
44,3423.975,154.0,3291.3888888888887
45,3226.4186046511627,148.0,3055.15
46,3548.268292682927,240.0,3274.846153846154
47,3523.9024390243903,168.75,3409.2972972972975
48,3169.4,219.0,2943.75
49,3274.468085106383,113.4,3193.9761904761904
50,2952.8571428571427,176.0,2800.5882352941176
51,3125.76,162.0,2954.1304347826085
52,3495.063829787234,189.0,3286.340909090909
53,3238.06,200.0,3037.148936170213
54,3623.76,175.0,3428.2978723404253
55,3567.2,156.0,3380.425531914894
56,3420.2264150943397,228.25,3219.183673469388
57,3176.818181818182,189.0,2973.653846153846
58,3472.5714285714284,149.4,3363.7272727272725
59,3640.909090909091,135.42857142857142,3653.3333333333335
60,3210.6451612903224,138.33333333333334,3115.3571428571427
61,3726.5,217.5,3513.3333333333335
62,4096.434782608696,216.0,3885.139534883721
63,3606.909090909091,171.0,3463.764705882353
64,3332.3333333333335,199.2,3141.0
65,3411.0,162.0,3266.5454545454545
66,3295.714285714286,180.0,3127.5
67,3934.0,222.5,3713.846153846154
68,3349.6666666666665,188.5,3177.777777777778
69,3526.6666666666665,215.0,3317.135593220339
70,3753.5333333333333,199.2,3578.7818181818184
71,3309.090909090909,170.0,3151.688524590164
72,3432.057971014493,170.0,3305.095238095238
73,3709.095238095238,200.66666666666666,3574.9824561403507
74,3226.5555555555557,125.71428571428571,3147.6923076923076
