num_images,all,giraffes,zebras
2,1140.0,0.0,1060.0
3,1050.0,0.0,987.5
4,1720.5,0.0,1581.0
5,2394.0,0.0,2178.0
6,2434.6666666666665,0.0,2244.0
7,2366.0,14.0,2856.0
8,2484.0,16.0,2817.25
9,3042.0,19.0,3440.0
10,2875.0,20.0,3128.0
11,3293.0,48.0,3499.2
12,3765.6666666666665,54.0,3988.6
13,2838.0,58.0,2814.0
14,3172.3333333333335,58.0,3162.25
15,3441.1111111111113,64.0,3417.75
16,3082.5454545454545,64.0,3014.4
17,3094.0,66.0,3004.3636363636365
18,3156.923076923077,68.0,3056.3333333333335
19,2934.4,78.0,2836.4285714285716
20,3112.6666666666665,117.0,2992.0
21,3194.875,117.0,3070.2
22,2717.8,117.0,2584.4210526315787
23,2602.1363636363635,117.0,2468.5714285714284
24,2722.6363636363635,156.0,2569.0476190476193
25,2852.090909090909,156.0,2698.0
26,3005.8636363636365,164.0,2837.8571428571427
27,3128.7272727272725,172.0,2946.6666666666665
28,3146.608695652174,172.0,2965.090909090909
29,3110.375,172.0,2931.521739130435
30,3285.3333333333335,172.0,3104.3478260869565
31,3273.76,172.0,3092.8333333333335
32,3372.8,176.0,3185.0
33,3453.84,176.0,3265.3333333333335
34,3562.08,192.0,3366.6666666666665
35,3537.076923076923,200.0,3330.72
36,3296.1724137931033,132.5,3172.4444444444443
37,3240.866666666667,135.0,3108.0
38,3221.8064516129034,135.0,3088.6206896551726
39,3311.6129032258063,135.0,3179.0344827586205
40,3296.25,162.0,3143.6
41,3317.5757575757575,168.0,3163.8064516129034
42,3302.794117647059,174.0,3138.09375
43,3310.2,174.0,3144.2727272727275
44,3357.277777777778,177.0,3184.9411764705883
45,3343.675675675676,210.0,3148.5714285714284
46,3294.153846153846,213.5,3093.6486486486488
47,3309.6923076923076,220.5,3098.9189189189187
48,3193.714285714286,220.5,2985.0
49,3209.1627906976746,224.0,2995.317073170732
50,3278.6046511627906,224.0,3065.0
51,3380.0,231.0,3155.512195121951
52,3442.3720930232557,234.5,3211.317073170732
53,3541.139534883721,238.0,3303.951219512195
54,3593.9302325581393,238.0,3355.9024390243903
55,3579.5454545454545,241.5,3337.4761904761904
56,3637.159090909091,245.0,3389.0476190476193
57,3580.8695652173915,245.0,3334.090909090909
58,3657.8260869565215,248.5,3404.4545454545455
59,3698.695652173913,252.0,3440.7272727272725
60,3639.4166666666665,252.0,3399.304347826087
61,3576.76,192.0,3395.0
62,3600.96,194.66666666666666,3415.0
63,3557.75,194.66666666666666,3369.795918367347
64,3649.153846153846,194.66666666666666,3460.816326530612
65,3647.056603773585,194.66666666666666,3458.0
66,3538.285714285714,197.33333333333334,3343.509433962264
67,3485.2631578947367,197.33333333333334,3290.8888888888887
68,3530.5263157894738,197.33333333333334,3335.8518518518517
69,3550.344827586207,197.33333333333334,3355.018181818182
70,3471.5,197.33333333333334,3277.0526315789475
71,3524.2,197.33333333333334,3328.8947368421054
72,3568.5,200.0,3368.245614035088
73,3579.5081967213114,168.75,3424.157894736842
74,3641.344262295082,168.75,3486.315789473684
