num_images,all,giraffes,zebras
2,986.0,6.0,34680.0
3,1694.0,8.0,34680.0
4,2550.0,13.0,34680.0
5,3872.0,14.0,34680.0
6,1798.6666666666667,17.0,2312.5
7,2361.3333333333335,38.0,2982.0
8,2457.0,40.0,2808.0
9,2056.3333333333335,40.0,2148.0
10,1844.5,42.0,1848.0
11,1835.5555555555557,46.0,1810.5
12,2032.0,46.0,2021.25
13,2203.5555555555557,52.0,2223.0
14,2389.777777777778,56.0,2414.25
15,2640.0,58.0,2671.5
16,2740.5,60.0,2748.3333333333335
17,3030.3,60.0,3055.6666666666665
18,3296.5,96.0,3281.3333333333335
19,3567.2,99.0,3557.222222222222
20,3498.2727272727275,105.0,3469.2
21,3397.3333333333335,72.0,3640.0
22,3168.785714285714,78.0,3307.5
23,3322.0714285714284,78.0,3477.5
24,3369.6,80.0,3494.3076923076924
25,3193.529411764706,80.0,3264.6666666666665
26,2969.4736842105262,80.0,3000.0
27,2946.4,82.0,2958.8333333333335
28,3081.0,82.0,3101.0
29,3071.6666666666665,84.0,3075.6315789473683
30,3166.8571428571427,105.0,3150.8947368421054
31,2811.2,120.0,2723.478260869565
32,2838.653846153846,122.5,2741.6666666666665
33,2949.925925925926,130.0,2834.16
34,2964.0,132.5,2839.9615384615386
35,3027.8571428571427,135.0,2899.6923076923076
36,3151.6071428571427,171.0,2989.3846153846152
37,3309.285714285714,171.0,3147.846153846154
38,3388.3928571428573,174.0,3222.8076923076924
39,3073.6875,210.0,2872.8
40,3178.875,213.5,2971.4
41,2953.5,213.5,2746.9411764705883
42,3063.6666666666665,213.5,2856.6176470588234
43,3158.6666666666665,213.5,2951.735294117647
44,3213.6666666666665,213.5,3006.1470588235293
45,3326.5833333333335,217.0,3111.764705882353
46,3469.3888888888887,217.0,3252.3529411764707
47,3463.675675675676,224.0,3236.5714285714284
48,3471.2105263157896,224.0,3244.5833333333335
49,3413.2820512820513,151.66666666666666,3271.6666666666665
50,3256.7619047619046,154.0,3102.358974358974
51,3261.3720930232557,154.0,3105.75
52,3352.5581395348836,154.0,3198.0
53,3302.4,154.0,3144.9523809523807
54,3248.5106382978724,154.0,3088.5
55,3247.4375,158.66666666666666,3086.4
56,3342.9166666666665,161.0,3177.9333333333334
57,3364.8979591836733,161.0,3199.695652173913
58,3354.72,161.0,3188.2978723404253
59,3322.5576923076924,140.0,3206.0
60,3300.566037735849,144.0,3173.061224489796
61,3323.4528301886794,144.0,3196.285714285714
62,3296.2181818181816,144.0,3165.176470588235
63,3245.754385964912,148.0,3101.8867924528304
64,3241.362068965517,148.0,3096.0
65,3143.6065573770493,148.0,2994.3333333333335
66,3197.1639344262294,148.0,3047.2280701754385
67,3230.8196721311474,148.0,3081.4736842105262
68,3294.3278688524592,150.0,3141.5789473684213
69,3276.4444444444443,150.0,3122.237288135593
70,3204.0,150.0,3048.55737704918
71,3139.6716417910447,150.0,2982.8571428571427
72,3094.4927536231885,150.0,2936.492307692308
73,3167.4347826086955,152.0,3004.523076923077
74,3063.3698630136987,154.0,2894.8695652173915
