num_images,all,giraffes,zebras
2,1632.0,0.0,1288.0
3,1568.0,0.0,1286.5
4,2480.0,0.0,2067.0
5,3720.0,0.0,3055.0
6,3397.3333333333335,78.0,4050.0
7,4080.0,82.0,4930.0
8,3077.4,86.0,3132.25
9,3606.2,96.0,3656.5
10,4050.2,98.0,4143.75
11,4118.0,100.0,4097.0
12,3913.0,100.0,3827.0
13,3795.25,104.0,3653.714285714286
14,3751.0,104.0,3589.0
15,4160.0,108.0,3990.75
16,2927.4285714285716,108.0,2707.923076923077
17,2854.125,90.0,2955.3846153846152
18,3075.0,98.33333333333333,3176.923076923077
19,3085.3529411764707,98.33333333333333,3163.285714285714
20,3048.157894736842,124.0,3031.5
21,2812.7272727272725,124.0,2743.4736842105262
22,2724.0,126.0,2628.5714285714284
23,2777.36,128.0,2678.0
24,2938.8,154.0,2812.0
25,2978.5,154.0,2845.6521739130435
26,3090.730769230769,156.33333333333334,2957.217391304348
27,3159.6923076923076,161.0,3018.2608695652175
28,3307.8846153846152,168.0,3151.304347826087
29,3324.4444444444443,127.75,3295.4347826086955
30,3343.285714285714,129.5,3305.2083333333335
31,3509.6785714285716,150.0,3455.625
32,3397.866666666667,150.0,3316.923076923077
33,3484.4333333333334,150.0,3407.8846153846152
34,3635.2,168.75,3547.3846153846152
35,3750.5,187.5,3650.1923076923076
36,3828.5333333333333,192.5,3727.153846153846
37,3926.9333333333334,195.0,3823.6153846153848
38,3623.676470588235,173.8,3572.2758620689656
39,3456.4864864864867,176.0,3364.34375
40,3590.2702702702704,176.0,3504.21875
41,3546.9473684210525,176.0,3453.939393939394
42,3543.897435897436,178.2,3439.8529411764707
43,3529.9268292682927,180.4,3409.6666666666665
44,3484.186046511628,182.6,3348.0
45,3340.695652173913,182.6,3191.487804878049
46,3390.0,182.6,3257.0731707317073
47,3444.695652173913,184.8,3308.3414634146343
48,3435.0,187.0,3289.285714285714
49,3411.8125,187.0,3262.4651162790697
50,3428.1020408163267,191.4,3265.5
51,3510.0,191.4,3348.75
52,3540.0,191.4,3380.7954545454545
53,3555.0,191.4,3396.818181818182
54,3575.64,191.4,3415.0444444444443
55,3648.96,191.4,3490.177777777778
56,3488.9056603773583,176.0,3370.978723404255
57,3447.818181818182,169.0,3372.25
58,3534.6181818181817,169.0,3463.5416666666665
59,3585.6,169.0,3517.5
60,3660.327272727273,169.0,3596.5625
61,3623.5714285714284,169.0,3554.387755102041
62,3656.285714285714,169.0,3589.2244897959185
63,3684.339285714286,172.71428571428572,3618.9795918367345
64,3726.964285714286,174.57142857142858,3659.387755102041
65,3754.280701754386,174.57142857142858,3683.72
66,3726.7241379310344,176.42857142857142,3645.901960784314
67,3717.6610169491523,176.42857142857142,3631.923076923077
68,3795.0508474576272,176.42857142857142,3712.5
69,3846.0338983050847,176.42857142857142,3766.153846153846
70,3874.0677966101694,176.42857142857142,3795.75
71,3911.898305084746,176.42857142857142,3836.0
72,3926.4406779661017,176.42857142857142,3851.8076923076924
73,3888.85,176.42857142857142,3808.490566037736
74,3817.5967741935483,176.42857142857142,3726.909090909091
75,3797.6190476190477,176.42857142857142,3703.3571428571427
