num_images,all,giraffes,zebras
2,816.0,5.0,0.0
3,861.0,5.0,1540.0
4,1287.5,5.0,2352.0
5,1736.0,16.0,3016.0
6,1963.3333333333333,22.0,2592.0
7,2394.0,26.0,3160.0
8,3233.3333333333335,28.0,4320.0
9,4142.0,45.0,5481.0
10,4898.0,57.0,6431.0
11,5416.666666666667,66.0,7068.0
12,3766.0,46.0,5412.0
13,3453.3333333333335,46.0,4497.5
14,3054.5,48.0,3562.0
15,2927.777777777778,41.666666666666664,3800.0
16,2793.4545454545455,53.333333333333336,3360.375
17,2650.153846153846,53.333333333333336,3036.2
18,2472.0,66.0,2699.8333333333335
19,2484.375,66.0,2684.6153846153848
20,2330.222222222222,66.0,2464.4
21,2338.9473684210525,66.0,2457.0
22,2263.714285714286,77.0,2324.277777777778
23,2399.3333333333335,79.33333333333333,2466.6666666666665
24,2482.0,84.0,2544.8888888888887
25,2453.0,84.0,2502.0
26,2423.5833333333335,86.33333333333333,2445.714285714286
27,2445.84,70.0,2567.809523809524
28,2555.52,71.75,2684.5238095238096
29,2613.5384615384614,73.5,2730.0
30,2821.923076923077,77.0,2948.181818181818
31,2732.714285714286,77.0,2825.875
32,2725.862068965517,82.25,2802.8
33,2687.8,84.0,2752.6153846153848
34,2756.266666666667,84.0,2827.5
35,2952.1,85.75,3034.153846153846
36,2905.8064516129034,85.75,2975.0
37,2837.6969696969695,102.0,2856.4137931034484
38,2950.3333333333335,102.0,2977.137931034483
39,2998.5454545454545,104.0,3023.448275862069
40,3090.909090909091,104.0,3122.689655172414
41,3135.0,104.0,3170.0689655172414
42,3105.0857142857144,112.0,3107.4193548387098
43,3226.9714285714285,116.0,3225.6129032258063
44,3156.972972972973,118.0,3133.878787878788
45,3224.4864864864867,122.0,3194.878787878788
46,3225.0,137.25,3172.823529411765
47,3243.2820512820513,139.5,3182.0
48,3161.609756097561,144.0,3079.135135135135
49,3258.5365853658536,148.5,3169.5675675675675
50,3156.8372093023254,148.5,3058.3076923076924
51,2984.808510638298,150.75,2867.953488372093
52,2940.0,167.5,2804.4444444444443
53,3044.0408163265306,175.0,2896.8
54,3051.02,175.0,2902.5
55,3067.0588235294117,177.5,2913.191489361702
56,3043.0,177.5,2901.75
57,3047.245283018868,177.5,2904.6938775510203
58,3045.0,177.5,2899.0588235294117
59,3092.5454545454545,177.5,2947.1372549019607
60,3106.3928571428573,177.5,2959.6153846153848
61,3145.0,177.5,2999.019230769231
62,3193.25,177.5,3047.230769230769
63,3110.2542372881358,180.0,2960.7272727272725
64,3182.135593220339,180.0,3032.7272727272725
65,3220.4576271186443,180.0,3071.2
66,3246.101694915254,180.0,3097.1454545454544
67,3306.3050847457625,182.5,3152.6181818181817
68,3285.2,200.75,3117.714285714286
69,3341.0,200.75,3174.1071428571427
70,3311.7049180327867,200.75,3144.1052631578946
71,3308.7096774193546,200.75,3140.689655172414
72,3318.6666666666665,206.25,3141.423728813559
73,3308.125,206.25,3130.4
74,3314.5384615384614,209.0,3132.0
