num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,2256.0,25.0,0.0
14,2584.0,25.0,0.0
15,2880.0,25.0,0.0
16,1596.0,27.0,2664.0
17,2035.5,27.0,3454.0
18,2325.0,27.0,3984.0
19,2674.0,27.0,4617.0
20,2813.0,27.0,4872.0
21,2943.5,29.0,5068.0
22,3165.0,30.0,5452.0
23,3165.0,30.0,5452.0
24,3240.0,32.0,5597.0
25,2398.0,32.0,3120.0
26,2453.0,32.0,3200.0
27,2538.6666666666665,32.0,3316.5
28,2595.3333333333335,33.0,3382.5
29,2674.6666666666665,33.0,3498.0
30,2686.0,33.0,3514.5
31,2708.6666666666665,33.0,3547.5
32,2904.0,33.0,3815.0
33,3034.0,33.0,3996.0
34,3083.3333333333335,34.0,4050.0
35,3132.6666666666665,34.0,4122.0
36,3393.0,34.0,4484.0
37,3432.0,34.0,4541.0
38,3445.0,34.0,4560.0
39,3600.0,34.0,4777.5
40,3731.0,34.0,4960.0
41,3906.0,34.0,5207.0
42,3934.0,34.0,5248.0
43,4165.333333333333,34.0,5568.5
44,4370.0,35.0,5827.5
45,4400.666666666667,35.0,5872.5
46,4559.0,35.0,6095.0
47,4621.666666666667,36.0,6164.0
48,4668.666666666667,36.0,6233.0
49,4747.0,36.0,6348.0
50,4928.0,37.0,6580.0
51,4960.0,37.0,6627.0
52,5112.333333333333,76.0,6674.0
53,5161.333333333333,78.0,6721.0
54,5194.0,78.0,6768.0
55,5243.0,80.0,6815.0
56,5366.666666666667,80.0,6984.0
57,5400.0,82.0,7032.0
58,5508.0,82.0,7178.5
59,5542.0,84.0,7203.0
60,5610.0,88.0,7252.0
61,5661.0,88.0,7325.5
62,5678.0,88.0,7350.0
63,5712.0,90.0,7374.5
64,5746.0,90.0,7423.5
65,5780.0,90.0,7472.5
66,5797.0,92.0,7472.5
67,5831.0,92.0,7521.5
68,5865.0,92.0,7570.5
69,5899.0,94.0,7595.0
70,5967.0,94.0,7693.0
71,6001.0,94.0,7742.0
72,6001.0,94.0,7742.0
73,6018.0,94.0,7766.5
74,6069.0,94.0,7840.0
