num_images,all,giraffes,zebras
2,1098.0,16.0,0.0
3,976.5,12.0,1620.0
4,740.6666666666666,32.0,850.0
5,0.0,0.0,0.0
6,2352.0,32.0,3008.0
7,2379.3333333333335,52.0,2931.5
8,2523.0,64.0,2762.6666666666665
9,1862.0,43.333333333333336,3608.0
10,3864.0,77.0,0.0
11,3990.0,105.0,6336.0
12,3576.8,40.0,3852.5
13,2633.1666666666665,33.0,3451.5
14,2326.909090909091,64.0,2380.4444444444443
15,2904.0,155.0,2892.0
16,2061.818181818182,99.0,1926.6
17,2507.5,132.0,2268.0
18,1754.888888888889,100.0,1672.8125
19,2887.5555555555557,66.0,3169.285714285714
20,6380.0,168.0,7366.666666666667
21,2601.3636363636365,62.5,2770.222222222222
22,2536.5333333333333,88.0,2695.0
23,3525.5555555555557,147.0,3289.0
24,4706.666666666667,228.0,4519.125
25,5031.5,200.0,5046.4
26,2093.684210526316,94.0,2112.0
27,6680.0,160.0,7224.0
28,2750.0,157.5,2746.6666666666665
29,3719.6363636363635,196.0,3563.8
30,2845.3333333333335,98.0,2831.3846153846152
31,4068.0,135.0,4347.0
32,2676.470588235294,129.0,2595.733333333333
33,2125.0,108.0,2073.714285714286
34,3157.875,116.0,2901.6
35,2332.6153846153848,102.0,2281.695652173913
36,3854.266666666667,174.0,3635.3571428571427
37,2498.294117647059,138.0,2428.266666666667
38,2482.9545454545455,103.25,2556.6666666666665
39,3575.0,174.0,3443.75
40,3357.818181818182,175.0,3434.0
41,4058.625,392.0,3664.266666666667
42,3222.9473684210525,157.5,3010.705882352941
43,2815.2,102.0,2792.0
44,4080.5714285714284,66.66666666666667,6141.0
45,2237.1428571428573,74.66666666666667,2167.2
46,2871.235294117647,85.5,3116.3846153846152
47,2455.9615384615386,118.0,2319.7916666666665
48,3617.9166666666665,216.0,3348.0
49,2614.7272727272725,189.0,2418.6
50,3934.5833333333335,328.0,3711.2727272727275
51,3693.684210526316,170.0,3583.0588235294117
52,2722.8260869565215,103.25,2788.5263157894738
53,2519.375,232.0,2314.6363636363635
54,2226.451612903226,165.33333333333334,2066.6071428571427
55,2492.3076923076924,75.6,2662.0
56,2691.6666666666665,92.75,2735.913043478261
57,3510.8888888888887,117.0,3832.4285714285716
58,5400.0,185.5,5801.25
59,2436.521739130435,93.33333333333333,2415.0
60,3158.92,88.0,3147.1363636363635
61,3129.1428571428573,224.0,2947.3684210526317
62,3263.705882352941,165.0,3139.2
63,3326.842105263158,107.33333333333333,3430.0
64,2919.3333333333335,162.0,2747.3684210526317
65,5031.538461538462,110.0,5670.0
66,2098.4864864864867,104.0,2029.3939393939395
67,2157.5806451612902,217.0,1960.0
68,2797.714285714286,178.5,2639.0526315789475
69,2562.8571428571427,159.0,2435.84
70,2539.176470588235,220.0,2355.75
71,4100.470588235294,146.66666666666666,4267.785714285715
72,3656.153846153846,186.0,3536.7391304347825
73,2818.4615384615386,151.66666666666666,2700.782608695652
74,3607.0434782608695,212.0,3447.095238095238
