num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2538.0,30.0,34680.0
4,1906.5,1770.0,1554.0
5,5166.0,1770.0,4360.0
6,2671.5,46.0,4477.0
7,2440.0,64.0,3040.0
8,3086.3333333333335,27.0,4071.0
9,1616.5,49.5,1778.6666666666667
10,2213.6666666666665,1770.0,1919.0
11,3571.2,152.0,3689.0
12,2170.0,52.5,2607.8
13,2713.3333333333335,48.0,2923.2
14,2514.5,88.0,2593.5
15,2064.6,57.333333333333336,2450.0
16,3503.5,54.0,4106.666666666667
17,3304.125,126.0,3218.8571428571427
18,3579.75,56.0,3990.0
19,2382.3076923076924,90.0,2407.3636363636365
20,5107.142857142857,245.0,5098.5
21,2988.181818181818,70.5,3148.4444444444443
22,2769.0,60.0,3028.125
23,1966.2857142857142,55.0,2113.764705882353
24,2967.0,127.5,2919.230769230769
25,2951.823529411765,141.0,2894.6
26,3139.4666666666667,58.75,3690.818181818182
27,4126.5,63.0,4860.0
28,3422.4,250.0,3196.0
29,2547.6190476190477,81.0,2688.0
30,1800.48,82.0,1770.0
31,3424.769230769231,100.0,3304.0
32,3765.3846153846152,80.0,4215.8
33,2690.5714285714284,135.0,2679.1111111111113
34,3885.5384615384614,102.5,4075.7272727272725
35,2020.5714285714287,81.33333333333333,2013.7777777777778
36,3045.6,127.5,3034.5384615384614
37,2599.0,171.0,2444.1052631578946
38,2294.782608695652,78.0,2211.5714285714284
39,2769.714285714286,108.0,2777.777777777778
40,2553.6,137.66666666666666,2482.2727272727275
41,3130.681818181818,105.0,3146.5263157894738
42,4872.0,120.0,5286.461538461538
43,5220.0,117.5,5835.428571428572
44,3811.823529411765,91.5,4282.692307692308
45,5468.375,81.0,6507.5
46,2266.6666666666665,154.0,2203.478260869565
47,2724.5454545454545,132.5,2626.0
48,4323.64705882353,354.0,3998.6875
49,6061.5,196.0,6530.625
50,3258.1666666666665,135.33333333333334,3342.5333333333333
51,2944.9565217391305,294.0,2698.3636363636365
52,3663.3333333333335,186.0,3488.8947368421054
53,2536.8,74.2,2653.28
54,3751.8,138.66666666666666,3839.294117647059
55,4917.333333333333,93.33333333333333,6294.166666666667
56,3843.866666666667,126.0,4100.0
57,3153.7,136.4,3212.96
58,2497.090909090909,105.0,2524.0526315789475
59,4033.214285714286,114.0,4125.5
60,2727.866666666667,160.0,2605.777777777778
61,3038.714285714286,150.0,2974.4
62,3553.909090909091,130.5,3725.0
63,3802.5,88.0,3862.4210526315787
64,4117.882352941177,130.0,4279.785714285715
65,3284.6153846153848,137.25,3312.4545454545455
66,9013.875,132.0,12524.0
67,3771.4,157.5,3780.0
68,2250.276595744681,120.0,2140.4651162790697
69,3623.4545454545455,149.33333333333334,3599.5263157894738
70,2821.0,157.33333333333334,2697.4137931034484
71,4780.714285714285,135.33333333333334,5244.0
72,4013.0588235294117,121.33333333333333,4239.142857142857
73,4204.941176470588,112.0,4706.153846153846
74,2785.296296296296,130.0,2831.304347826087
