num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,36200.0,1770.0,34680.0
11,36200.0,1770.0,34680.0
12,36200.0,1770.0,34680.0
13,920.0,9.0,34680.0
14,1020.0,9.0,34680.0
15,1070.0,9.0,34680.0
16,1090.0,9.0,34680.0
17,1120.0,9.0,34680.0
18,1180.0,9.0,34680.0
19,726.0,10.0,1232.0
20,875.0,11.0,1495.0
21,945.0,11.0,1624.0
22,1016.0,11.0,1755.0
23,1040.0,11.0,1800.0
24,1088.0,13.0,1860.0
25,1164.5,14.0,1984.0
26,1190.0,14.0,2032.0
27,1296.0,14.0,2227.0
28,1323.0,14.0,2278.0
29,1377.0,17.0,2414.0
30,1404.0,18.0,2448.0
31,1413.0,18.0,2465.0
32,1520.0,20.0,2664.0
33,1548.5,20.0,2718.0
34,1558.0,20.0,2736.0
35,1670.0,20.0,2945.0
36,1670.0,20.0,2945.0
37,1690.0,20.0,2983.0
38,1690.0,20.0,2983.0
39,1710.0,20.0,3021.0
40,1760.0,21.0,3097.0
41,1770.0,21.0,3116.0
42,1969.0,21.0,3486.0
43,1991.0,21.0,3528.0
44,2184.0,21.0,3887.0
45,2244.0,21.0,4002.0
46,2350.0,21.0,4200.0
47,2362.5,21.0,4224.0
48,2412.5,21.0,4320.0
49,2548.0,21.0,4575.0
50,2574.0,21.0,4625.0
51,2587.0,21.0,4650.0
52,2626.0,23.0,4725.0
53,2639.0,23.0,4750.0
54,2639.0,23.0,4750.0
55,2781.0,23.0,5018.0
56,2794.5,23.0,5044.0
57,2794.5,23.0,5044.0
58,2912.0,23.0,5265.0
59,2912.0,23.0,5265.0
60,2926.0,23.0,5292.0
61,2926.0,23.0,5292.0
62,2940.0,24.0,5292.0
63,2954.0,24.0,5319.0
64,2954.0,24.0,5319.0
65,2968.0,24.0,5346.0
66,2982.0,24.0,5373.0
67,2996.0,24.0,5400.0
68,2996.0,24.0,5400.0
69,2996.0,24.0,5400.0
70,3010.0,24.0,5427.0
71,3010.0,24.0,5427.0
72,3010.0,24.0,5427.0
73,3010.0,24.0,5427.0
74,3024.0,24.0,5454.0
