num_images,all,giraffes,zebras
2,798.0,60.0,34680.0
3,1085.0,42.0,34680.0
4,1584.0,57.5,34680.0
5,1489.6666666666667,62.5,3024.0
6,1749.3333333333333,82.5,3492.0
7,2126.6666666666665,92.5,4290.0
8,2082.5,68.33333333333333,5764.0
9,2146.0,71.66666666666667,3816.0
10,2636.8,92.0,4698.0
11,2650.6666666666665,114.33333333333333,3776.0
12,2560.714285714286,114.33333333333333,3264.0
13,2359.777777777778,114.33333333333333,2650.0
14,2526.8888888888887,116.66666666666667,2900.3333333333335
15,2686.4,116.66666666666667,2997.714285714286
16,3040.0,116.66666666666667,3437.714285714286
17,3264.0,119.0,3716.5714285714284
18,3529.8,121.33333333333333,4042.8571428571427
19,3456.0,123.66666666666667,3837.75
20,3453.3333333333335,135.33333333333334,3780.6666666666665
21,2977.3333333333335,137.66666666666666,3070.8333333333335
22,2960.125,160.0,2989.5384615384614
23,2973.705882352941,162.66666666666666,2974.5714285714284
24,3043.5555555555557,176.0,2992.733333333333
25,2897.4,176.0,2808.823529411765
26,2972.55,176.0,2890.5882352941176
27,3088.7,176.0,3018.1176470588234
28,3243.0,176.0,3182.529411764706
29,3307.3809523809523,198.0,3211.8888888888887
30,3305.090909090909,201.0,3198.4736842105262
31,3304.3478260869565,204.0,3182.4
32,3315.0,210.0,3185.5238095238096
33,3454.0,213.0,3334.7619047619046
34,3479.76,213.0,3353.0
35,3471.346153846154,216.0,3331.1304347826085
36,3418.3703703703704,219.0,3265.3333333333335
37,3565.6666666666665,219.0,3416.2083333333335
38,3686.222222222222,219.0,3541.3333333333335
39,3679.0714285714284,219.0,3528.72
40,3655.862068965517,222.0,3492.923076923077
41,3524.2258064516127,250.0,3324.6428571428573
42,3516.5625,250.0,3314.1724137931033
43,3524.818181818182,250.0,3318.4666666666667
44,3638.969696969697,253.33333333333334,3428.6666666666665
45,3731.060606060606,256.6666666666667,3515.6
46,3654.0,256.6666666666667,3431.375
47,3657.0,211.75,3521.375
48,3655.5675675675675,211.75,3513.5757575757575
49,3649.2631578947367,214.5,3498.0
50,3717.5526315789475,217.25,3561.6176470588234
51,3832.6315789473683,220.0,3675.0
52,3825.3076923076924,220.0,3663.6
53,3802.5,220.0,3637.0833333333335
54,3729.4285714285716,220.0,3556.842105263158
55,3733.5813953488373,222.75,3552.0
56,3606.695652173913,222.75,3416.904761904762
57,3605.446808510638,222.75,3414.6976744186045
58,3531.387755102041,222.75,3336.6666666666665
59,3513.78,228.25,3317.717391304348
60,3530.6470588235293,231.0,3333.127659574468
61,3519.230769230769,231.0,3320.0
62,3590.653846153846,231.0,3391.875
63,3551.5471698113206,189.2,3412.125
64,3532.222222222222,172.0,3446.5
65,3569.090909090909,174.0,3475.8367346938776
66,3492.8245614035086,174.0,3389.6470588235293
67,3547.280701754386,174.0,3446.4313725490197
68,3602.157894736842,174.0,3503.6862745098038
69,3662.1754385964914,174.0,3566.470588235294
70,3586.7118644067796,176.0,3476.7169811320755
71,3575.0,176.0,3461.3333333333335
72,3564.6721311475408,176.0,3448.327272727273
73,3546.0,176.0,3426.5714285714284
74,3606.8709677419356,176.0,3489.125
