num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,36200.0,1770.0,34680.0
10,36200.0,1770.0,34680.0
11,36200.0,1770.0,34680.0
12,36200.0,1770.0,34680.0
13,36200.0,1770.0,34680.0
14,36200.0,1770.0,34680.0
15,36200.0,1770.0,34680.0
16,36200.0,1770.0,34680.0
17,1428.0,1770.0,1210.0
18,1500.0,1770.0,1276.0
19,1690.0,1770.0,1440.0
20,1781.0,1770.0,1524.0
21,2002.0,1770.0,1729.0
22,2190.0,1770.0,1904.0
23,2336.0,1770.0,2040.0
24,2400.0,1770.0,2100.0
25,2496.0,1770.0,2190.0
26,2512.0,1770.0,2205.0
27,2754.0,1770.0,2432.0
28,3528.0,1770.0,3160.0
29,3591.0,1770.0,3220.0
30,4200.0,1770.0,3795.0
31,4248.0,1770.0,3818.0
32,2237.5,22.0,4008.0
33,2262.5,23.0,4032.0
34,2275.0,23.0,4056.0
35,2312.5,23.0,4128.0
36,2325.0,23.0,4152.0
37,2350.0,23.0,4200.0
38,2387.5,23.0,4272.0
39,2412.5,23.0,4320.0
40,2425.0,23.0,4344.0
41,2425.0,23.0,4344.0
42,2462.5,23.0,4416.0
43,2475.0,23.0,4440.0
44,2487.5,23.0,4464.0
45,2512.5,23.0,4512.0
46,2626.0,23.0,4725.0
47,2652.0,23.0,4775.0
48,2691.0,23.0,4850.0
49,2704.0,24.0,4850.0
50,2717.0,24.0,4875.0
51,2717.0,24.0,4875.0
52,2730.0,24.0,4900.0
53,2756.0,24.0,4950.0
54,2889.0,24.0,5200.0
55,2902.5,24.0,5226.0
56,2916.0,24.0,5252.0
57,2929.5,24.0,5278.0
58,3038.0,24.0,5481.0
59,3038.0,24.0,5481.0
60,3066.0,25.0,5508.0
61,3080.0,25.0,5535.0
62,3080.0,25.0,5535.0
63,3094.0,25.0,5562.0
64,3094.0,25.0,5562.0
65,3094.0,25.0,5562.0
66,3108.0,25.0,5589.0
67,3136.0,25.0,5643.0
68,3136.0,25.0,5643.0
69,3150.0,25.0,5670.0
70,3150.0,25.0,5670.0
71,3164.0,25.0,5697.0
72,3164.0,25.0,5697.0
73,3178.0,25.0,5724.0
74,3178.0,25.0,5724.0
