num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,1560.0,0.0,1309.0
18,1656.0,0.0,1397.0
19,1740.0,0.0,1463.0
20,1860.0,0.0,1562.0
21,1932.0,0.0,1628.0
22,2016.0,0.0,1705.0
23,2210.0,0.0,1872.0
24,2408.0,0.0,2054.0
25,2625.0,0.0,2254.0
26,2685.0,0.0,2310.0
27,2944.0,0.0,2550.0
28,3312.0,0.0,2890.0
29,3348.0,0.0,2907.0
30,3667.0,0.0,3204.0
31,3705.0,0.0,3240.0
32,1881.0,26.0,3276.0
33,2131.5,26.0,3740.0
34,2369.0,26.0,4180.0
35,2403.5,26.0,4246.0
36,2438.0,26.0,4312.0
37,2556.0,26.0,4531.0
38,2687.5,26.0,4776.0
39,2700.0,26.0,4800.0
40,2700.0,26.0,4800.0
41,2712.5,26.0,4824.0
42,2725.0,26.0,4848.0
43,2750.0,26.0,4896.0
44,2787.5,26.0,4968.0
45,2800.0,26.0,4992.0
46,2812.5,26.0,5016.0
47,2925.0,26.0,5225.0
48,2951.0,26.0,5275.0
49,2977.0,26.0,5325.0
50,3003.0,27.0,5350.0
51,3016.0,27.0,5375.0
52,3042.0,27.0,5425.0
53,3213.0,27.0,5746.0
54,3213.0,27.0,5746.0
55,3240.0,27.0,5798.0
56,3253.5,27.0,5824.0
57,3253.5,27.0,5824.0
58,3402.0,27.0,6102.0
59,3402.0,27.0,6102.0
60,3416.0,27.0,6129.0
61,3444.0,27.0,6183.0
62,3444.0,27.0,6183.0
63,3444.0,27.0,6183.0
64,3458.0,27.0,6210.0
65,3500.0,27.0,6291.0
66,3500.0,27.0,6291.0
67,3514.0,27.0,6318.0
68,3514.0,27.0,6318.0
69,3528.0,27.0,6345.0
70,3542.0,27.0,6372.0
71,3556.0,27.0,6399.0
72,3556.0,27.0,6399.0
73,3556.0,27.0,6399.0
74,3556.0,27.0,6399.0
