num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,2196.0,19.0,3605.0
5,2068.0,42.0,2520.0
6,1386.6666666666667,46.0,1370.0
7,1329.7777777777778,50.0,1255.5
8,1368.0,54.0,1274.0
9,1561.4545454545455,60.0,1450.4
10,1759.5454545454545,68.0,1663.2
11,1968.0,76.0,1848.0
12,2082.6666666666665,76.0,1962.3636363636363
13,2156.0,82.0,2032.1666666666667
14,2396.923076923077,88.0,2255.25
15,2644.153846153846,88.0,2500.0
16,2792.0,94.0,2626.5
17,2490.5625,96.0,2430.4285714285716
18,2695.3125,106.0,2624.3571428571427
19,2958.5,106.0,2899.4285714285716
20,3159.125,106.0,3110.1428571428573
21,3007.277777777778,106.0,2926.6875
22,3087.2631578947367,162.0,2949.470588235294
23,3243.842105263158,162.0,3110.705882352941
24,3094.0,165.0,2938.7368421052633
25,3122.9545454545455,165.0,2965.25
26,2951.3333333333335,130.66666666666666,2893.095238095238
27,2831.230769230769,135.33333333333334,2741.8695652173915
28,2922.6153846153848,144.66666666666666,2823.913043478261
29,2915.5555555555557,144.66666666666666,2811.375
30,3104.962962962963,144.66666666666666,3006.6666666666665
31,3018.896551724138,147.0,2900.1923076923076
32,3096.7,151.66666666666666,2974.962962962963
33,3099.8709677419356,154.0,2968.75
34,3082.0,132.0,3036.0
35,3264.90625,150.75,3204.5
36,3166.764705882353,150.75,3089.5
37,3274.3529411764707,157.5,3185.233333333333
38,3411.764705882353,157.5,3329.766666666667
39,3247.4594594594596,159.75,3137.7272727272725
40,3334.972972972973,159.75,3229.6060606060605
41,3371.0526315789475,162.0,3257.3823529411766
42,3364.3076923076924,162.0,3246.5142857142855
43,3379.775,162.0,3258.6666666666665
44,3428.05,162.0,3309.1666666666665
45,3314.5116279069766,162.0,3184.076923076923
46,3263.7555555555555,162.0,3126.439024390244
47,3241.5652173913045,162.0,3102.5
48,3281.8297872340427,164.25,3136.0
49,3279.4166666666665,164.25,3131.568181818182
50,3332.0,166.5,3185.181818181818
51,3272.78,166.5,3121.913043478261
52,3319.38,171.0,3169.1739130434785
53,3322.392156862745,154.0,3220.108695652174
54,3364.3653846153848,154.0,3261.191489361702
55,3185.089285714286,158.0,3058.9411764705883
56,3197.754385964912,160.0,3065.5384615384614
57,3257.9473684210525,160.0,3126.8653846153848
58,3202.7796610169494,160.0,3067.777777777778
59,3178.9333333333334,160.0,3042.327272727273
60,3212.983333333333,160.0,3077.4
61,3150.967741935484,160.0,3012.3508771929824
62,3192.0,160.0,3054.035087719298
63,3186.222222222222,160.0,3047.0689655172414
64,3223.78125,146.66666666666666,3124.2586206896553
65,3252.734375,150.33333333333334,3145.2413793103447
66,3294.1846153846154,154.0,3175.9322033898306
67,3275.939393939394,154.0,3155.2
68,3269.791044776119,154.0,3146.72131147541
69,3309.8507462686566,155.83333333333334,3183.2295081967213
70,3342.910447761194,157.66666666666666,3212.9508196721313
71,3325.1029411764707,157.66666666666666,3192.9032258064517
72,3345.1176470588234,174.0,3201.935483870968
73,3358.0,174.0,3215.483870967742
74,3378.1176470588234,174.0,3236.032258064516
75,3320.8571428571427,174.0,3174.90625
