num_images,all,giraffes,zebras
2,648.0,0.0,528.0
3,450.0,0.0,384.0
4,823.3333333333334,0.0,702.0
5,960.0,0.0,798.25
6,1013.2,0.0,871.2
7,1394.4,0.0,1197.2
8,1235.4285714285713,0.0,1071.142857142857
9,1500.0,0.0,1268.5714285714287
10,1767.857142857143,0.0,1491.5714285714287
11,1769.0,0.0,1498.0
12,1806.0,0.0,1545.3333333333333
13,1870.0,0.0,1617.0
14,1924.5454545454545,0.0,1678.1818181818182
15,2020.0,99.0,1911.0
16,2061.230769230769,54.0,2106.0
17,2057.8571428571427,55.5,2081.9166666666665
18,2118.0,58.5,2121.4615384615386
19,2330.6666666666665,58.5,2349.5384615384614
20,2483.2,66.0,2494.6153846153848
21,2705.4666666666667,67.5,2723.076923076923
22,2566.5882352941176,78.33333333333333,2663.285714285714
23,2727.529411764706,81.66666666666667,2827.8571428571427
24,2702.5,102.0,2739.5333333333333
25,2784.0,102.0,2830.6666666666665
26,2800.9473684210525,108.0,2814.0
27,2869.2631578947367,108.0,2891.0
28,2956.2105263157896,114.0,3003.0
29,3120.6315789473683,118.0,3182.75
30,3105.9,118.0,3148.235294117647
31,3194.05,120.0,3238.529411764706
32,3347.55,120.0,3407.823529411765
33,3484.6,124.0,3544.1176470588234
34,3664.9,130.0,3734.5882352941176
35,3366.217391304348,136.0,3344.95
36,3451.304347826087,136.0,3437.1
37,3408.0,136.0,3380.5714285714284
38,3491.5833333333335,144.0,3444.5714285714284
39,3552.16,148.0,3484.0
40,3732.96,152.0,3659.6363636363635
41,3813.0,156.0,3731.7727272727275
42,3844.0,158.0,3758.8636363636365
43,3721.777777777778,138.25,3747.1304347826085
44,3741.964285714286,138.25,3752.5
45,3931.4285714285716,138.25,3953.125
46,3774.1666666666665,128.0,3881.08
47,3760.967741935484,128.0,3851.153846153846
48,3774.375,129.6,3850.0
49,3762.6666666666665,129.6,3822.9285714285716
50,3796.6666666666665,129.6,3861.285714285714
51,3894.5454545454545,147.6,3940.714285714286
52,3964.6969696969695,147.6,4017.0
53,4056.3636363636365,164.0,4094.0
54,4121.939393939394,166.0,4158.428571428572
55,4188.0,166.0,4230.0
56,4266.666666666667,166.0,4315.714285714285
57,4260.0,166.0,4294.758620689655
58,4114.277777777777,166.0,4116.0
59,4053.189189189189,166.0,4040.4375
60,4157.27027027027,166.0,4151.90625
61,4027.5897435897436,166.0,3996.0
62,4081.846153846154,166.0,4053.3529411764707
63,4117.4358974358975,166.0,4091.294117647059
64,4240.7692307692305,166.0,4221.294117647059
65,4324.923076923077,166.0,4311.470588235294
66,4444.948717948718,166.0,4437.970588235294
67,4111.2558139534885,166.0,4054.4210526315787
68,4089.681818181818,166.0,4026.25641025641
69,4179.818181818182,166.0,4120.923076923077
70,4272.272727272727,166.0,4217.2307692307695
71,4186.304347826087,152.16666666666666,4200.3
72,4009.408163265306,142.28571428571428,4068.5
73,4051.8571428571427,142.28571428571428,4114.214285714285
74,4141.755102040816,142.28571428571428,4211.952380952381
