num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,957.0,56.0,1314.0
4,1353.3333333333333,44.0,1633.5
5,6364.0,75.0,34680.0
6,3645.0,62.0,5848.0
7,1464.0,104.0,1349.0
8,6090.0,60.0,34680.0
9,6145.5,34.0,10450.0
10,2267.4285714285716,40.0,2277.3333333333335
11,3799.3333333333335,66.0,4720.25
12,3826.6666666666665,45.0,3981.6
13,1980.0,72.0,2053.153846153846
14,2646.2727272727275,54.0,2800.0
15,2407.714285714286,135.0,2341.6666666666665
16,2793.230769230769,73.5,2781.0
17,2624.0,92.0,2683.2
18,3361.5384615384614,165.0,3309.6363636363635
19,3263.1428571428573,110.0,3313.1666666666665
20,3405.1875,117.5,3763.5
21,3148.8571428571427,260.0,2903.076923076923
22,3013.0,116.0,2944.0
23,3271.285714285714,128.33333333333334,3268.777777777778
24,3148.4,177.0,2968.3333333333335
25,3085.0434782608695,115.0,3031.5
26,2754.8888888888887,130.66666666666666,2682.75
27,3289.6666666666665,146.25,3402.9411764705883
28,3272.5,154.66666666666666,3248.0
29,2580.1714285714284,108.0,2585.0
30,3060.0,110.25,3100.0
31,3058.757575757576,85.5,3069.3793103448274
32,3359.233333333333,210.0,3114.0
33,3617.0689655172414,124.0,3588.0
34,3817.1111111111113,207.0,3493.269230769231
35,3212.0,83.42857142857143,3521.28
36,2734.875,224.0,2524.7368421052633
37,3724.0,156.33333333333334,3612.5555555555557
38,3337.764705882353,129.5,3291.2
39,3482.125,142.0,3374.7586206896553
40,3590.969696969697,132.0,3478.2
41,3515.0,162.0,3464.0666666666666
42,3672.0,140.0,3482.3529411764707
43,3288.2926829268295,204.0,3090.769230769231
44,3001.04,120.6,2926.9333333333334
45,4379.818181818182,259.0,4119.677419354839
46,3118.021739130435,172.66666666666666,2916.3720930232557
47,3303.181818181818,134.75,3192.475
48,3133.5106382978724,121.66666666666667,3120.0
49,3102.098039215686,133.0,2989.6382978723404
50,3341.52,168.0,3169.021276595745
51,2961.163636363636,143.0,2898.285714285714
52,3261.52,172.0,3108.7555555555555
53,3094.943396226415,202.66666666666666,2875.5
54,3046.1,160.0,2914.909090909091
55,3630.72,195.0,3460.304347826087
56,3051.5178571428573,171.6,2896.9411764705883
57,3391.921568627451,182.4,3262.608695652174
58,3765.86,173.8,3648.3555555555554
59,2984.126984126984,145.25,2825.3898305084745
60,4123.918367346939,177.75,3980.8888888888887
61,3288.6,211.75,3106.125
62,3717.890909090909,283.3333333333333,3451.673076923077
63,4001.938775510204,252.0,3742.586956521739
64,3199.828125,145.71428571428572,3122.6315789473683
65,3309.076923076923,164.0,3159.2
66,3563.1206896551726,198.33333333333334,3339.927272727273
67,3534.35593220339,233.75,3295.418181818182
68,4060.264150943396,191.25,3885.795918367347
69,3461.134328358209,189.2,3283.7903225806454
70,3849.5333333333333,228.8,3645.090909090909
71,3578.181818181818,242.0,3332.935483870968
72,3877.864406779661,172.0,3788.377358490566
73,3788.7966101694915,217.5,3576.581818181818
74,3120.109589041096,157.66666666666666,2981.283582089552
