num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,36200.0,1770.0,34680.0
7,36200.0,1770.0,34680.0
8,36200.0,1770.0,34680.0
9,3075.0,1770.0,2985.0
10,3842.0,1770.0,3740.0
11,4410.0,1770.0,4248.0
12,2508.0,1770.0,2413.0
13,3025.0,1770.0,2915.0
14,3675.0,1770.0,3550.0
15,4239.0,1770.0,4104.0
16,4995.0,1770.0,4830.0
17,3510.0,1770.0,3380.0
18,3111.0,1770.0,2983.5
19,2857.6,1770.0,2736.0
20,2758.0,1770.0,2639.0
21,3021.3333333333335,1770.0,2896.6666666666665
22,3313.5,1770.0,3180.3333333333335
23,3933.0,1770.0,3780.0
24,3240.75,1770.0,3117.5
25,3220.0,1770.0,3094.0
26,2868.818181818182,29.0,2989.8
27,3017.181818181818,29.0,3148.4
28,2899.1666666666665,29.0,3003.6363636363635
29,3006.0,30.0,3111.090909090909
30,2722.1428571428573,30.0,2785.230769230769
31,2536.1875,32.0,2573.866666666667
32,2348.0555555555557,32.0,2367.529411764706
33,2418.315789473684,32.0,2434.6666666666665
34,2529.0,33.0,2538.842105263158
35,2533.1428571428573,35.0,2530.0
36,2478.181818181818,35.0,2566.8
37,2462.608695652174,38.0,2529.0476190476193
38,2600.0,60.0,2637.4761904761904
39,2749.217391304348,82.0,2761.904761904762
40,2821.5652173913045,82.0,2838.095238095238
41,2853.217391304348,84.0,2866.6666666666665
42,2926.521739130435,86.0,2938.5714285714284
43,2795.04,90.0,2780.8695652173915
44,2868.88,90.0,2857.8260869565215
45,2941.346153846154,92.0,2923.0
46,3101.5384615384614,92.0,3088.5
47,3226.3846153846152,92.0,3217.9583333333335
48,3302.8846153846152,94.0,3292.2083333333335
49,3375.269230769231,96.0,3362.0
50,3384.814814814815,96.0,3366.72
51,3425.4074074074074,96.0,3408.68
52,3382.0,96.0,3358.9615384615386
53,3543.6428571428573,96.0,3551.5384615384614
54,3635.0,98.0,3641.0384615384614
55,3753.75,125.0,3731.6153846153848
56,3348.0,102.0,3383.9310344827586
57,3403.625,102.0,3442.344827586207
58,3299.9117647058824,106.0,3312.0
59,3348.529411764706,108.0,3358.3870967741937
60,3406.3823529411766,110.0,3414.516129032258
61,3400.9714285714285,120.0,3380.875
62,3418.457142857143,122.0,3394.75
63,3347.891891891892,122.0,3312.0
64,3301.7948717948716,108.5,3323.9142857142856
65,3375.3333333333335,108.5,3401.1428571428573
66,3453.9,108.5,3476.6666666666665
67,3535.575,108.5,3562.5
68,3649.1,108.5,3681.3333333333335
69,3682.875,108.5,3717.0
70,3741.625,108.5,3778.8888888888887
71,3703.512195121951,108.5,3732.5135135135133
72,3629.0,110.25,3638.3333333333335
73,3637.5,110.25,3642.5
74,3720.6136363636365,115.5,3724.5
