num_images,all,giraffes,zebras
2,924.0,6.0,34680.0
3,1488.0,17.0,2370.0
4,3780.0,30.0,34680.0
5,36200.0,1770.0,34680.0
6,2583.3333333333335,22.0,3258.5
7,9169.0,145.0,34680.0
8,1794.0,78.0,1730.0
9,2873.0,53.333333333333336,5730.0
10,2178.75,29.0,2168.5714285714284
11,2108.1666666666665,86.0,2105.4
12,2549.1,143.5,2590.0
13,2880.0,90.0,2760.0
14,2902.9,144.0,2735.6666666666665
15,2320.5625,44.0,2332.5
16,3238.6666666666665,86.0,3662.8888888888887
17,3055.6666666666665,79.5,3110.0
18,3053.076923076923,72.0,3124.909090909091
19,2398.1176470588234,102.0,2333.3333333333335
20,3053.214285714286,90.0,3269.6363636363635
21,3197.4117647058824,117.5,3189.8
22,3038.315789473684,130.0,2952.0
23,2864.5454545454545,106.0,2854.4210526315787
24,2714.25,130.0,2590.181818181818
25,2560.714285714286,104.4,2660.9565217391305
26,3304.2608695652175,189.0,3105.1428571428573
27,3348.0,128.33333333333334,3321.4285714285716
28,5137.705882352941,140.0,5130.0
29,3261.96,348.0,2997.0
30,3619.5833333333335,91.66666666666667,3683.6190476190477
31,3226.6785714285716,132.75,3225.8333333333335
32,3638.3333333333335,186.0,3467.88
33,3164.448275862069,130.0,3149.6
34,4262.4,207.0,4054.7391304347825
35,3309.935483870968,91.25,3325.0
36,3730.7586206896553,280.0,3454.814814814815
37,3241.714285714286,83.75,3246.3225806451615
38,3808.8,109.5,3613.535714285714
39,2926.756097560976,109.71428571428571,3014.0
40,3194.4736842105262,147.4,3173.212121212121
41,3140.625,222.0,2909.6052631578946
42,2691.0,168.0,2511.1111111111113
43,2774.6739130434785,135.66666666666666,2726.5
44,2554.5882352941176,216.0,2363.265306122449
45,3800.4324324324325,243.33333333333334,3579.8823529411766
46,3279.2727272727275,231.0,3074.3414634146343
47,3293.9148936170213,217.25,3118.7441860465115
48,3365.0,140.0,3213.375
49,3587.2,225.0,3365.714285714286
50,3350.2608695652175,150.0,3282.682926829268
51,3825.3953488372094,142.2,3774.0
52,3313.26,182.6,3167.2
53,3295.418181818182,152.0,3176.42
54,3369.6,162.0,3216.413043478261
55,3036.0,143.5,2885.8823529411766
56,4006.6744186046512,145.8,3947.2105263157896
57,4011.0227272727275,160.0,3957.897435897436
58,3069.6393442622953,261.0,2788.322033898305
59,3213.866666666667,166.5,3052.535714285714
60,3463.8,160.2,3338.82
61,3311.7,173.8,3165.090909090909
62,3297.6666666666665,147.6,3161.7241379310344
63,3174.0967741935483,225.5,2977.3793103448274
64,3230.246153846154,152.0,3080.655737704918
65,3269.377049180328,182.6,3110.1428571428573
66,3204.6666666666665,166.0,3054.2586206896553
67,3367.6451612903224,174.0,3233.035714285714
68,3242.909090909091,166.0,3122.1666666666665
69,3195.3714285714286,165.0,3048.75
70,3483.3333333333335,179.83333333333334,3352.6315789473683
71,4035.0,236.6,3839.8
72,3552.253968253968,145.71428571428572,3487.4285714285716
73,3098.88,131.625,3040.1194029850744
74,3677.2727272727275,157.85714285714286,3612.2033898305085
