num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,1620.0,26.0,0.0
4,1136.6666666666667,12.0,1485.0
5,1228.8,18.0,1723.3333333333333
6,2052.0,25.0,2534.5
7,4836.0,0.0,4050.0
8,1301.7777777777778,49.5,1367.142857142857
9,1916.25,28.0,2548.0
10,2071.3333333333335,61.5,2185.714285714286
11,5032.0,32.0,5888.666666666667
12,2249.2727272727275,52.0,2613.75
13,3084.6,138.0,2976.6666666666665
14,2340.923076923077,90.0,2239.75
15,1811.6470588235295,65.0,1874.2857142857142
16,3939.0,104.0,4240.285714285715
17,2831.1428571428573,53.333333333333336,3138.909090909091
18,2456.5333333333333,82.5,2394.0
19,3053.769230769231,93.33333333333333,3346.4
20,3297.5625,150.0,3215.1428571428573
21,4401.384615384615,108.0,4573.090909090909
22,3361.75,210.0,3208.0
23,3653.4375,106.0,3696.0
24,2590.96,142.5,2482.8260869565215
25,2579.3333333333335,210.0,2379.68
26,3163.4166666666665,70.0,3322.7
27,3578.086956521739,195.0,3365.1428571428573
28,3375.714285714286,217.0,3188.842105263158
29,3426.153846153846,132.0,3438.818181818182
30,3625.6521739130435,154.66666666666666,3618.6
31,3884.5652173913045,210.0,3718.095238095238
32,3227.3,144.66666666666666,3116.6666666666665
33,3390.3125,130.0,3205.4
34,3533.103448275862,132.0,3371.1111111111113
35,3321.5,118.8,3395.925925925926
36,3737.5,106.75,3796.153846153846
37,2544.5581395348836,108.0,2440.6666666666665
38,2703.6190476190477,153.0,2591.0526315789475
39,3145.657894736842,137.5,3185.46875
40,3066.128205128205,152.0,2948.4
41,3190.74358974359,181.33333333333334,3043.4444444444443
42,2877.9545454545455,186.66666666666666,2687.878048780488
43,2869.3469387755104,125.0,2832.5581395348836
44,3354.878048780488,227.5,3143.6923076923076
45,4465.25,171.0,4437.0
46,3481.951219512195,145.8,3421.8888888888887
47,3154.7755102040815,197.5,2964.8
48,3354.8444444444444,214.5,3171.512195121951
49,2950.7924528301887,158.0,2793.9591836734694
50,4051.8048780487807,131.4,4082.5
51,3222.8571428571427,132.0,3245.6666666666665
52,3465.0,158.16666666666666,3405.0
53,3283.9811320754716,148.0,3185.0
54,3615.31914893617,182.25,3443.5116279069766
55,3908.8636363636365,186.75,3768.55
56,3744.0,184.5,3589.511111111111
57,3869.1428571428573,134.75,3757.6
58,3206.4912280701756,129.6,3112.3076923076924
59,3890.285714285714,385.0,3574.468085106383
60,3219.098360655738,172.0,3029.8947368421054
61,3147.516129032258,167.2,3001.8947368421054
62,3154.7619047619046,167.2,3004.206896551724
63,3379.3548387096776,121.5,3230.2586206896553
64,3512.3728813559323,166.0,3421.811320754717
65,3179.090909090909,159.5,3064.8333333333335
66,3338.3225806451615,166.0,3222.0
67,3056.450704225352,140.57142857142858,2963.875
68,3766.6071428571427,225.5,3578.230769230769
69,3171.492537313433,127.5,3130.9830508474574
70,2970.972972972973,152.16666666666666,2844.279411764706
71,3465.3333333333335,214.5,3273.1525423728813
72,3177.086956521739,195.75,2980.230769230769
73,3527.892307692308,211.2,3332.0833333333335
74,3470.909090909091,234.0,3263.2131147540986
