num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,3328.0,24.0,34680.0
7,4983.0,27.0,34680.0
8,6384.0,28.0,34680.0
9,7667.0,30.0,34680.0
10,4715.0,34.0,8280.0
11,3996.0,70.0,5194.0
12,4641.333333333333,74.0,6032.0
13,4062.5,78.0,4693.333333333333
14,4650.5,84.0,5343.333333333333
15,5118.75,86.0,5895.333333333333
16,4600.8,129.0,4937.5
17,4271.333333333333,66.0,5523.0
18,4251.428571428572,67.5,5168.8
19,4683.714285714285,70.5,5700.0
20,5150.0,72.0,6282.2
21,5393.142857142857,73.5,6589.2
22,5801.142857142857,73.5,7123.2
23,6198.857142857143,75.0,7614.6
24,6449.142857142857,75.0,7952.0
25,4920.0,75.0,5442.75
26,5190.6,75.0,5762.625
27,4515.0,78.0,4798.8
28,4725.333333333333,106.0,4987.5
29,4510.0,106.0,4699.0
30,4839.2307692307695,110.0,5040.0
31,5110.923076923077,112.0,5328.727272727273
32,4900.0,116.0,5034.75
33,4540.3125,122.0,4574.428571428572
34,4745.25,122.0,4795.357142857143
35,4698.0,122.0,4720.0
36,4443.631578947368,124.0,4404.705882352941
37,4173.428571428572,126.0,4092.157894736842
38,3984.0,126.0,3880.9523809523807
39,3799.12,130.0,3666.4347826086955
40,3891.96,130.0,3761.7391304347825
41,3815.3333333333335,130.0,3674.88
42,3702.7586206896553,130.0,3553.4814814814813
43,3792.5172413793102,130.0,3646.6666666666665
44,3901.206896551724,130.0,3754.962962962963
45,3431.176470588235,130.0,3272.5
46,3412.114285714286,130.0,3253.090909090909
47,3510.0,130.0,3351.2727272727275
48,3561.6,130.0,3403.818181818182
49,3400.0,138.0,3217.6666666666665
50,3397.74358974359,138.0,3216.2702702702704
51,3393.85,138.0,3210.6052631578946
52,3389.878048780488,172.5,3190.641025641026
53,3226.0666666666666,172.5,3026.5813953488373
54,3207.8260869565215,177.5,3006.2045454545455
55,3215.744680851064,177.5,3014.4
56,3094.68,177.5,2897.5833333333335
57,3136.0,177.5,2937.9166666666665
58,3119.6862745098038,177.5,2922.2448979591836
59,3094.7924528301887,213.0,2884.235294117647
60,3161.2075471698113,219.0,2941.078431372549
61,3146.3888888888887,219.0,2928.076923076923
62,3203.8888888888887,225.0,2975.846153846154
63,3090.5263157894738,225.0,2867.0
64,3053.793103448276,225.0,2832.589285714286
65,3127.322033898305,225.0,2903.2105263157896
66,3086.065573770492,225.0,2864.4406779661017
67,3131.3934426229507,225.0,2908.7457627118642
68,3181.245901639344,262.5,2946.576271186441
69,3141.1111111111113,262.5,2909.1311475409834
70,3156.5625,266.0,2921.0
71,3128.0,266.0,2894.4375
72,3108.805970149254,266.0,2876.892307692308
73,3160.0,266.0,2926.3384615384616
74,3114.536231884058,205.33333333333334,2912.0
