num_images,all,giraffes,zebras
2,648.0,1770.0,540.0
3,506.6666666666667,1770.0,433.3333333333333
4,641.25,1770.0,526.5
5,1011.5,1770.0,841.5
6,994.0,1770.0,850.0
7,1344.8,1770.0,1152.0
8,1432.0,1770.0,1203.6666666666667
9,1725.0,1770.0,1440.0
10,1718.7142857142858,1770.0,1449.857142857143
11,2005.142857142857,1770.0,1696.0
12,2031.75,1770.0,1730.875
13,2047.2222222222222,1770.0,1755.0
14,1904.7272727272727,1770.0,1641.8181818181818
15,2148.5454545454545,1770.0,1865.4545454545455
16,1891.2142857142858,57.0,1893.3333333333333
17,2027.857142857143,57.0,2043.1666666666667
18,2256.4285714285716,60.0,2276.5
19,2424.6428571428573,60.0,2460.0
20,2566.6666666666665,63.0,2581.6923076923076
21,2698.6,67.5,2715.3846153846152
22,2560.235294117647,76.66666666666667,2663.285714285714
23,2738.5882352941176,81.66666666666667,2838.8571428571427
24,2702.5,102.0,2739.5333333333333
25,2771.1111111111113,102.0,2816.0
26,2788.5263157894738,106.0,2807.0
27,2874.7894736842104,106.0,2902.6875
28,3025.0,112.0,3083.4375
29,3007.0,116.0,3047.176470588235
30,3124.8,120.0,3162.3529411764707
31,3251.2,120.0,3301.176470588235
32,3386.25,120.0,3451.235294117647
33,3531.0,122.0,3602.1176470588234
34,3692.25,126.0,3778.9411764705883
35,3822.3,132.0,3899.176470588235
36,3739.1428571428573,134.0,3784.0
37,3625.0434782608695,138.0,3615.6
38,3492.56,142.0,3438.5
39,3659.76,144.0,3608.181818181818
40,3732.96,152.0,3659.6363636363635
41,3700.846153846154,134.75,3747.5454545454545
42,3656.296296296296,134.75,3685.304347826087
43,3639.214285714286,136.5,3648.9583333333335
44,3793.285714285714,138.25,3806.6666666666665
45,3937.5714285714284,138.25,3960.0
46,3823.2,126.4,3941.08
47,3780.0,126.4,3876.6153846153848
48,3911.483870967742,128.0,4020.923076923077
49,3748.181818181818,128.0,3814.285714285714
50,3822.6666666666665,144.0,3874.0714285714284
51,3926.6666666666665,147.6,3975.535714285714
52,3945.8823529411766,164.0,3961.551724137931
53,3997.9411764705883,164.0,4017.2758620689656
54,4094.1176470588234,166.0,4114.482758620689
55,4117.64705882353,166.0,4140.689655172414
56,4191.441176470588,166.0,4221.758620689655
57,4161.6,166.0,4177.466666666666
58,4160.0,166.0,4164.387096774193
59,4191.611111111111,166.0,4198.258064516129
60,4176.972972972973,166.0,4172.5625
61,4211.351351351352,166.0,4210.4375
62,4189.263157894737,166.0,4176.181818181818
63,4237.210526315789,166.0,4227.818181818182
64,4260.0526315789475,166.0,4252.909090909091
65,4160.325,166.0,4129.571428571428
66,4159.756097560976,166.0,4120.833333333333
67,4160.166666666667,166.0,4113.648648648648
68,4084.3636363636365,166.0,4020.5128205128203
69,4055.086956521739,166.0,3977.7073170731705
70,4160.608695652174,166.0,4086.829268292683
71,4131.574468085107,166.0,4051.6666666666665
72,4099.666666666667,152.16666666666666,4091.4285714285716
73,4062.8571428571427,152.16666666666666,4046.5581395348836
74,4142.448979591837,152.16666666666666,4130.976744186047
