num_images,all,giraffes,zebras
2,1273.0,24.0,34680.0
3,2079.0,1770.0,1720.0
4,36200.0,1770.0,34680.0
5,1715.0,38.0,2112.0
6,4028.0,19.0,6916.0
7,1674.4,62.5,2145.6666666666665
8,2561.0,69.0,2858.3333333333335
9,2560.0,33.0,3348.0
10,2857.1428571428573,58.5,3372.6
11,2364.4444444444443,68.0,2340.25
12,2272.0,33.0,2208.8
13,3877.8571428571427,114.0,4502.4
14,2213.5384615384614,82.5,2248.5454545454545
15,1872.0588235294117,94.0,1862.642857142857
16,2847.0,90.0,2686.0714285714284
17,2935.3333333333335,54.666666666666664,3172.0833333333335
18,2608.5,79.5,2826.25
19,2660.842105263158,62.666666666666664,2821.875
20,3719.285714285714,51.0,3822.9166666666665
21,2966.6666666666665,96.66666666666667,3028.3333333333335
22,3686.9333333333334,48.0,3549.4285714285716
23,3605.294117647059,183.0,3397.0
24,4234.866666666667,216.0,3963.214285714286
25,3658.1666666666665,102.0,4028.0
26,3000.5555555555557,130.66666666666666,2929.5833333333335
27,2981.2,122.0,3027.0476190476193
28,3420.48,122.0,3350.4545454545455
29,2457.6176470588234,124.0,2325.5625
30,3084.0,93.33333333333333,3072.521739130435
31,3399.846153846154,124.0,3352.3478260869565
32,2856.6176470588234,136.0,2615.969696969697
33,3115.6875,120.75,3077.5714285714284
34,3636.8275862068967,167.5,3443.1111111111113
35,3204.0,172.66666666666666,3026.7
36,2736.5853658536585,128.0,2689.4166666666665
37,3476.6470588235293,119.0,3444.366666666667
38,2772.682926829268,142.0,2652.324324324324
39,3322.0,184.0,3187.7419354838707
40,3030.409090909091,185.0,2821.5
41,3503.787878787879,186.66666666666666,3376.0666666666666
42,4154.558823529412,182.5,4054.6
43,3326.5555555555557,200.0,3136.3636363636365
44,4027.6470588235293,240.0,3762.5
45,3158.6976744186045,180.0,3010.6153846153848
46,3676.5,140.0,3587.222222222222
47,3055.5652173913045,161.0,2889.0697674418607
48,3229.8541666666665,127.8,3171.093023255814
49,3430.553191489362,148.5,3384.1463414634145
50,3201.698113207547,118.5,3160.276595744681
51,3064.1428571428573,205.33333333333334,2844.3584905660377
52,3570.127659574468,173.8,3460.714285714286
53,2908.7017543859647,200.0,2743.7735849056603
54,3197.0196078431372,148.0,3075.191489361702
55,3282.7924528301887,156.0,3209.425531914894
56,3776.8333333333335,162.0,3686.232558139535
57,3659.58,189.0,3477.4347826086955
58,3316.6,194.4,3147.46
59,3425.377358490566,210.0,3213.265306122449
60,3328.660714285714,173.8,3195.921568627451
61,3614.035714285714,162.0,3492.176470588235
62,3220.6721311475408,252.0,2972.0689655172414
63,3355.4736842105262,364.5,3061.8
64,3704.9824561403507,162.0,3530.8867924528304
65,3141.0793650793653,169.4,3003.362068965517
66,3728.813559322034,197.5,3531.7272727272725
67,3134.1911764705883,157.5,3075.45
68,3083.6363636363635,176.0,2895.6290322580644
69,3419.0,130.5,3319.383333333333
70,3629.2950819672133,157.85714285714286,3569.777777777778
71,3281.8333333333335,195.8,3067.4626865671644
72,3046.0266666666666,230.0,2809.0140845070423
73,3906.2903225806454,213.6,3723.7894736842104
74,3406.2,247.5,3165.4754098360654
