num_images,all,giraffes,zebras
2,825.0,20.0,34680.0
3,1992.0,13.0,34680.0
4,3567.0,40.0,34680.0
5,5494.0,30.0,34680.0
6,1958.0,28.0,2133.0
7,2014.0,1770.0,1723.8
8,2624.0,30.0,5490.0
9,2798.3333333333335,136.0,2801.4
10,2068.8888888888887,72.0,2496.6666666666665
11,4212.0,135.0,4387.5
12,3525.0,57.0,4482.0
13,7650.0,180.0,9514.0
14,3543.75,120.0,3492.4285714285716
15,1710.0,63.0,1633.0
16,2784.8571428571427,76.0,2860.0
17,4208.333333333333,96.0,4628.285714285715
18,2782.0,92.0,2788.923076923077
19,3379.6,54.0,3663.6666666666665
20,2966.25,90.0,3325.9166666666665
21,2968.705882352941,138.66666666666666,3024.285714285714
22,4266.2307692307695,71.25,5262.222222222223
23,2500.0384615384614,112.0,2485.2272727272725
24,2989.285714285714,57.0,3072.6666666666665
25,2496.4285714285716,98.33333333333333,2441.12
26,2940.0,96.0,3039.684210526316
27,3018.814814814815,116.0,2955.9166666666665
28,3138.0,171.0,2970.24
29,3161.653846153846,85.4,3365.714285714286
30,3171.4615384615386,480.0,2821.28
31,3415.4444444444443,192.0,3207.96
32,4226.086956521739,183.0,4060.0
33,3426.0,195.0,3280.6666666666665
34,2644.1666666666665,173.33333333333334,2491.0
35,3624.923076923077,220.5,3429.0
36,3274.8387096774195,124.25,3267.3333333333335
37,3543.483870967742,234.5,3314.4827586206898
38,3025.7179487179487,169.4,2932.235294117647
39,2926.051282051282,136.0,2911.3823529411766
40,3158.222222222222,147.4,3139.6129032258063
41,3011.5238095238096,100.8,3012.810810810811
42,3051.7755102040815,144.0,2955.0
43,4608.133333333333,128.0,4698.384615384615
44,3229.3023255813955,175.0,3081.7948717948716
45,4326.709677419355,177.33333333333334,4207.0
46,3605.025,197.33333333333334,3412.972972972973
47,3564.75,133.2,3529.230769230769
48,4100.555555555556,240.0,3825.735294117647
49,3238.4,159.75,3117.6521739130435
50,3726.8,124.5,3586.048780487805
51,3485.2916666666665,148.0,3384.8636363636365
52,3540.25,231.0,3333.5
53,4255.365853658536,126.0,4219.189189189189
54,3150.0,174.0,2991.7021276595747
55,3655.0,179.66666666666666,3481.840909090909
56,3495.056603773585,224.0,3246.48
57,3503.811320754717,221.0,3343.875
58,3163.6721311475408,205.0,2949.8947368421054
59,3149.7741935483873,246.0,2922.6610169491523
60,3445.2075471698113,172.0,3267.0
61,3595.222222222222,166.0,3422.1
62,3185.597014925373,189.2,3015.4032258064517
63,3605.5438596491226,162.0,3480.0
64,3308.516129032258,133.33333333333334,3224.8928571428573
65,3472.4137931034484,180.0,3308.6792452830186
66,3640.0545454545454,140.0,3588.408163265306
67,3471.3333333333335,156.0,3385.8571428571427
68,4125.0,239.25,3915.5102040816328
69,3460.3548387096776,231.0,3246.101694915254
70,3504.967741935484,187.0,3359.0175438596493
71,3732.616666666667,161.57142857142858,3689.867924528302
72,3549.5384615384614,157.66666666666666,3441.35593220339
73,3987.5714285714284,246.0,3756.433962264151
74,3118.931506849315,178.0,2953.791044776119
