num_images,all,giraffes,zebras
2,1206.0,1770.0,870.0
3,36200.0,1770.0,34680.0
4,2260.0,1770.0,1843.0
5,1420.0,25.0,1547.0
6,1165.7142857142858,23.0,1141.6666666666667
7,2592.5,21.0,2980.0
8,2211.0,29.0,2416.5
9,1883.4285714285713,46.5,2183.8
10,3514.0,1770.0,3091.2
11,2189.090909090909,82.0,2259.5555555555557
12,2893.375,54.0,3362.3333333333335
13,2466.5454545454545,54.666666666666664,2870.0
14,3286.8,141.0,3429.375
15,2545.230769230769,204.0,2317.5
16,2388.75,168.0,2301.0
17,3215.1666666666665,98.0,3105.0
18,2851.875,126.0,2814.6428571428573
19,3208.875,73.5,3184.0714285714284
20,2789.4736842105262,112.0,2809.875
21,2081.2,57.5,2159.809523809524
22,2553.090909090909,94.0,2538.4210526315787
23,3006.6666666666665,122.0,2775.8823529411766
24,3406.0,101.5,3720.0
25,2910.0,174.0,2729.7391304347825
26,3703.3333333333335,140.0,3591.684210526316
27,2158.0263157894738,81.33333333333333,2042.4
28,2887.3333333333335,106.0,2772.5454545454545
29,2957.4666666666667,106.75,2970.923076923077
30,3484.0,132.75,3541.818181818182
31,3908.16,345.0,3586.8695652173915
32,3545.5384615384614,147.5,3395.25
33,4323.9047619047615,162.5,4194.473684210527
34,3873.56,144.66666666666666,3845.318181818182
35,3121.4285714285716,138.0,2990.0
36,3637.2413793103447,330.0,3306.25
37,3115.0526315789475,180.0,2976.5142857142855
38,2920.2894736842104,238.0,2683.3333333333335
39,3195.8947368421054,136.0,3050.9714285714285
40,2881.7179487179487,106.5,2808.0857142857144
41,3026.1162790697676,163.33333333333334,2856.7
42,2667.823529411765,107.8,2596.217391304348
43,3070.9565217391305,192.0,2885.3023255813955
44,3273.6744186046512,131.4,3231.9736842105262
45,3066.0,207.0,2895.3333333333335
46,3319.909090909091,134.75,3207.6
47,3546.7619047619046,205.33333333333334,3350.769230769231
48,3201.279069767442,202.5,3041.076923076923
49,3737.6923076923076,171.0,3613.8285714285716
50,3237.777777777778,162.0,3103.714285714286
51,3276.176470588235,240.0,3040.0
52,3318.0,152.0,3160.0625
53,3263.346153846154,150.0,3091.7551020408164
54,3324.730769230769,152.25,3159.0833333333335
55,4179.585365853659,178.2,4134.722222222223
56,3591.607843137255,121.0,3645.0
57,3603.176470588235,195.0,3363.3061224489797
58,5019.685714285714,297.5,4682.545454545455
59,3167.1428571428573,280.0,2924.5471698113206
60,3490.740740740741,186.75,3305.72
61,3739.84,210.0,3544.1304347826085
62,3570.566037735849,182.6,3441.0833333333335
63,3243.4285714285716,158.0,3146.964912280702
64,3069.492537313433,157.66666666666666,2932.311475409836
65,3503.6065573770493,189.0,3296.2280701754385
66,3301.2537313432836,159.5,3176.4918032786886
67,3576.1403508771928,217.5,3358.490566037736
68,3585.15,160.2,3431.4545454545455
69,3370.5454545454545,170.5,3236.3333333333335
70,3440.655737704918,168.0,3338.9454545454546
71,3647.491525423729,204.75,3447.0545454545454
72,3480.805970149254,141.66666666666666,3379.934426229508
73,3801.7741935483873,237.33333333333334,3525.508474576271
74,3482.2727272727275,176.0,3304.1311475409834
