num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,36200.0,1770.0,34680.0
5,36200.0,1770.0,34680.0
6,252.0,1770.0,224.0
7,369.0,1770.0,315.0
8,484.0,1770.0,407.0
9,539.0,1770.0,462.0
10,605.0,1770.0,528.0
11,806.0,1770.0,702.0
12,896.0,1770.0,784.0
13,1139.0,1770.0,1003.0
14,1278.0,1770.0,1116.0
15,468.0,1770.0,414.0
16,474.0,1770.0,414.0
17,486.0,1770.0,426.0
18,580.0,1770.0,500.0
19,613.3333333333334,1770.0,533.3333333333334
20,665.0,1770.0,574.0
21,679.0,1770.0,581.0
22,700.0,1770.0,602.0
23,714.0,1770.0,616.0
24,762.6666666666666,1770.0,660.0
25,784.6666666666666,1770.0,674.6666666666666
26,784.6666666666666,1770.0,674.6666666666666
27,792.0,1770.0,682.0
28,843.3333333333334,1770.0,720.6666666666666
29,843.3333333333334,1770.0,720.6666666666666
30,851.0,1770.0,728.3333333333334
31,858.6666666666666,1770.0,736.0
32,874.0,1770.0,743.6666666666666
33,928.0,1770.0,792.0
34,975.0,1770.0,833.3333333333334
35,1014.0,1770.0,866.6666666666666
36,1022.6666666666666,1770.0,875.3333333333334
37,1031.3333333333333,1770.0,884.0
38,1089.0,1770.0,936.0
39,1098.0,1770.0,945.0
40,1107.0,1770.0,954.0
41,1116.0,1770.0,963.0
42,1166.6666666666667,1770.0,998.6666666666666
43,1260.0,1770.0,1080.0
44,1270.0,1770.0,1090.0
45,1365.3333333333333,1770.0,1173.3333333333333
46,1105.0,1770.0,952.0
47,1155.0,1770.0,997.5
48,1197.0,1770.0,1035.0
49,1206.0,1770.0,1044.0
50,1206.0,1770.0,1044.0
51,1248.75,1770.0,1082.25
52,1282.5,1770.0,1111.5
53,1326.0,1770.0,1150.5
54,1360.0,1770.0,1150.5
55,1404.25,1770.0,1190.0
56,1449.0,1770.0,1230.0
57,1449.0,1770.0,1230.0
58,1470.0,1770.0,1250.5
59,1480.5,1770.0,1260.75
60,1491.0,1770.0,1271.0
61,1501.5,1770.0,1281.25
62,1512.0,1770.0,1291.5
63,1522.5,1770.0,1301.75
64,1533.0,1770.0,1312.0
65,1543.5,1770.0,1322.25
66,1554.0,1770.0,1332.5
67,1612.5,1770.0,1386.0
68,1661.0,1770.0,1429.75
69,1710.0,1770.0,1474.0
70,1721.25,1770.0,1485.0
71,1759.5,1770.0,1518.75
72,1771.0,1770.0,1530.0
73,1771.0,1770.0,1530.0
74,1771.0,1770.0,1530.0
