num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,1352.0,44.0,34680.0
5,1089.0,44.0,1648.0
6,1668.0,52.0,2574.0
7,1386.0,43.5,3096.0
8,1356.25,43.5,2100.0
9,1767.5,46.5,2800.0
10,1739.4,49.5,2328.0
11,2294.4,60.0,3105.0
12,2601.0,61.5,3642.3333333333335
13,2937.6,64.5,4125.333333333333
14,3283.2,66.0,4638.333333333333
15,3720.0,66.0,5300.0
16,4333.2,67.5,6208.666666666667
17,4905.0,72.0,7008.0
18,4576.5,73.5,5905.25
19,4260.0,73.5,5166.0
20,3874.8888888888887,73.5,4350.285714285715
21,3360.0,75.0,3592.8888888888887
22,3681.2727272727275,76.5,3944.4444444444443
23,3709.3333333333335,78.0,3916.5
24,3860.4166666666665,78.0,4087.4
25,3803.846153846154,78.0,3975.5454545454545
26,4293.692307692308,81.0,4486.545454545455
27,4454.7692307692305,84.0,4647.727272727273
28,4139.6,87.0,4217.307692307692
29,4323.733333333334,87.0,4416.923076923077
30,4512.866666666667,87.0,4615.846153846154
31,4291.625,90.0,4335.071428571428
32,4545.0,90.0,4604.857142857143
33,4790.625,90.0,4862.857142857143
34,4627.705882352941,90.0,4668.666666666667
35,4390.736842105263,93.0,4358.823529411765
36,4527.315789473684,96.0,4506.823529411765
37,4466.2,96.0,4427.5
38,4027.304347826087,97.5,3936.0
39,3934.0,97.5,3833.090909090909
40,3595.185185185185,97.5,3474.24
41,3618.75,97.5,3493.269230769231
42,3476.9333333333334,97.5,3344.0
43,3342.84375,97.5,3204.1
44,3298.060606060606,97.5,3158.7096774193546
45,3327.5,97.5,3185.46875
46,3136.3783783783783,100.5,2981.3142857142857
47,3127.5789473684213,138.0,2945.25
48,3147.7894736842104,138.0,2966.25
49,3076.125,138.0,2895.157894736842
50,3137.225,140.0,2950.842105263158
51,3130.609756097561,142.0,2940.0
52,3072.279069767442,142.0,2883.0731707317073
53,3065.681818181818,142.0,2876.095238095238
54,3149.25,142.0,2957.5714285714284
55,3142.311111111111,142.0,2950.3023255813955
56,2990.875,144.0,2803.0434782608695
57,2997.5510204081634,146.0,2805.255319148936
58,3080.0,146.0,2885.6382978723404
59,3172.5714285714284,148.0,2971.744680851064
60,3152.1176470588234,148.0,2951.8367346938776
61,3243.725490196078,150.0,3036.938775510204
62,3285.176470588235,187.5,3065.1020408163267
63,3197.132075471698,187.5,2979.607843137255
64,3204.3703703703704,187.5,2987.2115384615386
65,3141.6785714285716,187.5,2926.5185185185187
66,3185.0714285714284,187.5,2968.8888888888887
67,3164.0172413793102,190.0,2944.375
68,3215.1724137931033,190.0,2993.714285714286
69,3228.206896551724,190.0,3007.0
70,3224.237288135593,192.5,2998.7894736842104
71,3113.2903225806454,192.5,2893.8
72,3145.935483870968,192.5,2925.233333333333
73,3154.2580645161293,192.5,2933.7
74,3161.0,192.5,2940.754098360656
