num_images,all,giraffes,zebras
2,893.0,0.0,592.0
3,1610.0,0.0,1140.0
4,2375.0,0.0,1760.0
5,3456.0,0.0,2576.0
6,4958.0,0.0,3729.0
7,2972.5,0.0,2294.0
8,2783.3333333333335,135.0,3217.5
9,2562.0,90.0,3900.0
10,2871.0,99.0,4368.0
11,2221.6666666666665,105.0,2562.0
12,2485.3333333333335,108.0,2900.0
13,2399.4285714285716,111.0,2641.2
14,2888.0,114.0,3234.0
15,2784.375,117.0,2987.5
16,2619.1111111111113,82.0,3157.0
17,2696.7,84.0,3130.285714285714
18,2893.8,88.0,3363.5714285714284
19,3096.9,90.0,3616.714285714286
20,3315.5,92.0,3890.5714285714284
21,3528.0,92.0,4166.285714285715
22,3486.5454545454545,96.0,3972.0
23,3681.090909090909,96.0,4212.5
24,3150.714285714286,100.0,3346.909090909091
25,3333.5,100.0,3560.181818181818
26,3499.285714285714,108.0,3765.4545454545455
27,3635.3571428571427,114.0,3915.2727272727275
28,3576.0,118.0,3781.0
29,3788.4,142.33333333333334,3973.0
30,3730.625,142.33333333333334,3867.6923076923076
31,3493.3333333333335,144.66666666666666,3538.133333333333
32,3690.0,156.33333333333334,3746.133333333333
33,3860.8888888888887,156.33333333333334,3938.8
34,4031.0,178.66666666666666,4095.9333333333334
35,4130.0,181.33333333333334,4197.6
36,4035.7894736842104,181.33333333333334,4070.25
37,4168.421052631579,186.66666666666666,4199.0
38,4142.2,186.66666666666666,4147.058823529412
39,4209.25,192.0,4205.117647058823
40,3831.6521739130435,166.5,3910.7368421052633
41,3532.5,148.0,3675.0
42,3452.5925925925926,148.0,3565.4545454545455
43,3612.0,148.0,3744.7272727272725
44,3740.0,148.0,3889.090909090909
45,3874.4814814814813,150.0,4032.818181818182
46,3918.296296296296,150.0,4083.409090909091
47,3849.285714285714,154.0,3972.1739130434785
48,4054.285714285714,154.0,4200.521739130435
49,4157.571428571428,156.0,4309.565217391304
50,4309.5,158.0,4472.0
51,4274.137931034483,158.0,4411.458333333333
52,4359.0344827586205,160.0,4506.125
53,4468.275862068966,160.0,4627.5
54,4574.896551724138,160.0,4747.166666666667
55,4540.666666666667,160.0,4687.2
56,4368.75,160.0,4461.481481481482
57,4578.40625,162.0,4680.185185185185
58,4721.375,162.0,4835.555555555556
59,4821.46875,164.0,4937.333333333333
60,4864.125,164.0,4984.2962962962965
61,4673.5,164.0,4743.862068965517
62,4714.235294117647,164.0,4788.275862068966
63,4537.5,164.0,4570.4838709677415
64,4478.648648648648,164.0,4495.96875
65,4593.783783783784,166.0,4613.125
66,4731.756756756757,166.0,4760.15625
67,4626.794871794872,168.0,4620.411764705882
68,4554.0,168.0,4534.285714285715
69,4629.15,168.0,4613.4
70,4710.125,184.8,4680.0
71,4686.975609756098,189.2,4634.777777777777
72,4443.181818181818,189.2,4357.153846153846
73,4489.477272727273,189.2,4406.153846153846
74,4395.304347826087,189.2,4296.951219512195
