num_images,zebras,zebra_confidence
2,0.0,
3,0.0,
4,0.0,
5,0.0,
6,0.0,
7,0.0,
8,0.0,
9,0.0,
10,0.0,
11,0.0,
12,0.0,
13,0.0,
14,0.0,
15,0.0,
16,0.0,
17,0.0,
18,0.0,
19,9710.783950886767,4968.0
20,10399.72379940929,5320.0
21,11878.541150831612,6076.0
22,12073.559272658582,6176.0
23,12951.642033842658,6624.0
24,14027.680427497626,7174.0
25,15064.518688467946,7704.0
26,15918.09870154096,8140.0
27,16720.718530015387,8550.0
28,18040.775256069235,9225.0
29,18603.296609020672,9512.0
30,19550.956673636203,9996.0
31,20774.977261619326,10621.0
32,22585.03500993523,11546.0
33,22523.29290383624,11515.0
34,23260.2543959949,11891.0
35,24089.335965542927,12314.0
36,24978.19570617542,12768.0
37,26214.954205567476,13400.0
38,26312.954376124322,13450.0
39,26410.95454541543,13500.0
40,26312.954376124322,13450.0
41,27773.15324766707,14196.0
42,13962.947006989605,7150.0
43,28722.77303793629,14681.0
44,29370.55232428563,15012.0
45,31560.850566332967,16131.0
46,16199.303689368873,8293.5
47,33137.67125210823,16936.0
48,32552.60865004831,16638.0
49,17216.53621496496,8814.5
50,35253.48593691126,18018.0
51,35376.96612561343,18081.0
52,36440.26602405641,18624.0
53,19364.695229979738,9912.5
54,38411.047180726535,19630.0
55,38411.047180726535,19630.0
56,39302.84837922056,20085.0
57,39001.98636812233,19932.0
58,39724.245735500124,20301.0
59,20658.292515849414,10574.0
60,40050.58455902985,20468.0
61,40983.545821102394,20944.0
62,41649.94668796588,21284.0
63,42262.44590396538,21597.0
64,42127.20573030212,21528.0
65,42668.16641834987,21804.0
66,42532.92624797875,21735.0
67,21232.572324567744,10867.5
68,42668.16641834987,21804.0
69,21570.6740122788,11040.0
70,21232.572324567744,10867.5
71,10413.260452231088,5347.5
72,10548.503267004282,5416.5
73,10413.260452231088,5347.5
74,10582.313959456125,5433.75
