num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,624.0,10.0,34680.0
4,374.0,1770.0,311.6666666666667
5,413.3333333333333,20.0,468.0
6,1218.0,48.0,1768.0
7,752.0,14.0,1200.0
8,2808.0,1770.0,2538.0
9,1480.0,24.0,1728.0
10,540.75,17.0,573.3333333333334
11,36200.0,1770.0,34680.0
12,763.0,1770.0,614.25
13,810.0,22.0,980.0
14,1482.25,32.0,1645.0
15,1092.0,15.0,1701.0
16,1940.0,40.0,34680.0
17,793.75,23.0,864.0
18,810.0,1770.0,647.6666666666666
19,2514.5,54.0,3916.0
20,796.5,21.0,840.6666666666666
21,1437.3333333333333,150.0,1441.0
22,1015.2,24.0,1326.0
23,763.0,25.5,846.4
24,1352.0,18.0,34680.0
25,1334.0,25.0,1582.0
26,813.1666666666666,42.5,918.0
27,1815.0,8.0,4823.0
28,708.0,23.0,824.5
29,767.6666666666666,44.0,734.375
30,572.25,18.0,633.3333333333334
31,1150.0,66.0,1090.4
32,1596.0,1770.0,1414.0
33,4680.0,75.0,34680.0
34,1965.3333333333333,46.0,4440.0
35,1475.0,60.0,1890.0
36,4712.0,16.0,34680.0
37,4422.0,50.0,34680.0
38,700.8333333333334,56.0,762.5
39,3354.0,100.0,34680.0
40,1024.0,54.0,1063.3333333333333
41,852.5,57.0,828.0
42,976.0,69.0,1024.6666666666667
43,1546.6666666666667,66.0,1782.0
44,4828.0,1770.0,3993.0
45,1813.5,30.0,2958.0
46,1172.5,66.0,1194.6666666666667
47,1536.0,72.0,1732.5
48,657.4285714285714,20.0,725.2
49,2058.3333333333335,18.0,2592.0
50,783.3333333333334,17.0,924.0
51,810.0,29.0,754.2857142857143
52,851.0,63.0,827.3333333333334
53,1085.75,17.0,1722.0
54,2030.0,25.0,2460.0
55,1056.0,28.0,1178.0
56,1476.3333333333333,56.0,1537.5
57,3922.0,28.0,34680.0
58,1184.0,27.0,1391.5
59,952.0,36.0,1198.6666666666667
60,522.5,18.0,1564.0
61,1067.0,40.0,1209.0
62,601.875,30.0,571.2857142857143
63,1188.0,56.0,1271.6666666666667
64,1122.0,40.0,1194.6666666666667
65,768.75,60.0,762.6666666666666
66,1073.6,32.0,1960.0
67,872.0,31.5,1848.0
68,3304.0,25.0,34680.0
69,1126.6666666666667,23.0,2568.0
70,1928.5,1770.0,1566.0
71,1066.6666666666667,22.5,2465.0
72,2620.0,33.0,4440.0
73,1937.0,42.0,2176.0
74,700.0,1770.0,551.0
