threshold,all,giraffes,zebras
40,1851.025,138.25,1723.8194444444443
45,1796.3428571428572,146.71428571428572,1655.2380952380952
50,1640.0,139.28571428571428,1513.2857142857142
55,1461.9636363636364,135.66666666666666,1328.0816326530612
60,1441.6904761904761,128.33333333333334,1326.111111111111
65,1324.9714285714285,122.0,1218.0666666666666
70,1129.1666666666667,55.2,1147.7894736842106
75,1071.4285714285713,58.333333333333336,1081.8181818181818
80,917.7,42.666666666666664,1014.5714285714286
85,897.0,28.0,1645.0
90,2204.0,0.0,1624.0
