num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,2492.0,40.0,34680.0
4,1610.0,52.0,1800.0
5,2380.0,66.0,2646.0
6,1872.0,54.0,2299.0
7,2499.2,78.0,3082.0
8,3009.6,84.0,3768.0
9,3635.4,115.0,4550.0
10,3700.6666666666665,125.0,4214.0
11,3504.8571428571427,132.5,3738.0
12,3535.0,132.5,3664.0
13,3554.777777777778,168.0,3535.0
14,3503.0,152.0,3825.0
15,3403.6363636363635,152.0,3610.625
16,3264.6666666666665,157.33333333333334,3361.1111111111113
17,3192.5384615384614,162.66666666666666,3209.2
18,3515.076923076923,186.0,3534.3
19,3558.214285714286,192.0,3539.4545454545455
20,3479.8,195.0,3413.3333333333335
21,3630.6666666666665,195.0,3580.6666666666665
22,3750.6,198.0,3707.0
23,3682.25,207.0,3628.3076923076924
24,3647.764705882353,207.0,3590.0
25,3846.0588235294117,210.0,3799.714285714286
26,3660.5789473684213,177.5,3759.2
27,3831.5789473684213,182.5,3956.2
28,3797.9,182.5,3888.5
29,4013.75,185.0,4120.0
30,3682.608695652174,195.0,3678.2105263157896
31,3503.04,171.6,3603.6
32,3363.6296296296296,171.6,3408.7272727272725
33,3461.925925925926,173.8,3511.6363636363635
34,3351.5862068965516,173.8,3359.75
35,3482.4827586206898,176.0,3495.9166666666665
36,3604.137931034483,180.4,3622.9166666666665
37,3389.21875,166.0,3456.3076923076924
38,3339.3939393939395,168.0,3381.0
39,3457.151515151515,182.0,3494.5925925925926
40,3436.764705882353,184.16666666666666,3453.3214285714284
41,3523.764705882353,186.33333333333334,3542.0
42,3607.0588235294117,190.66666666666666,3620.5714285714284
43,3732.4117647058824,190.66666666666666,3758.6428571428573
44,3679.5714285714284,190.66666666666666,3689.0
45,3687.8333333333335,190.66666666666666,3687.4
46,3561.6315789473683,190.66666666666666,3531.9375
47,3531.2820512820513,190.66666666666666,3491.878787878788
48,3619.4615384615386,190.66666666666666,3587.0
49,3644.25,190.66666666666666,3606.529411764706
50,3722.8,190.66666666666666,3692.9411764705883
51,3730.487804878049,190.66666666666666,3693.542857142857
52,3679.5,178.0,3712.2285714285713
53,3717.5238095238096,178.0,3754.285714285714
54,3626.4772727272725,178.0,3636.0
55,3559.021739130435,180.0,3540.6666666666665
56,3508.0851063829787,180.0,3478.775
57,3577.7872340425533,180.0,3553.5
58,3622.6666666666665,180.0,3595.609756097561
59,3591.8367346938776,180.0,3555.0
60,3508.235294117647,180.0,3454.6363636363635
61,3551.921568627451,182.0,3496.3636363636365
62,3540.576923076923,182.0,3479.4222222222224
63,3583.173076923077,182.0,3524.4444444444443
64,3557.5849056603774,184.0,3486.782608695652
65,3586.9056603773583,184.0,3518.8695652173915
66,3616.759259259259,184.0,3544.0851063829787
67,3520.714285714286,184.0,3435.4285714285716
68,3530.1785714285716,184.0,3445.714285714286
69,3608.4285714285716,199.28571428571428,3509.3469387755104
70,3431.733333333333,199.28571428571428,3310.188679245283
71,3470.6666666666665,199.28571428571428,3350.566037735849
72,3462.2950819672133,199.28571428571428,3339.8333333333335
73,3407.5396825396824,176.25,3332.927272727273
74,3425.126984126984,176.25,3352.0545454545454
