num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,1358.0,1770.0,1066.5
4,1269.3333333333333,36.0,1504.0
5,1155.0,24.0,1301.3333333333333
6,2212.0,1770.0,1904.0
7,1914.0,22.0,2052.0
8,2285.8333333333335,52.0,2356.2
9,4169.333333333333,111.0,5180.0
10,2363.375,70.0,2363.285714285714
11,2088.0,95.0,2111.2
12,2261.6666666666665,96.0,2501.3333333333335
13,2003.2,82.0,1886.7142857142858
14,2386.153846153846,39.0,2325.0
15,4424.571428571428,104.0,4420.0
16,2783.2727272727275,94.0,3174.75
17,2608.5882352941176,129.0,2448.9375
18,2497.7894736842104,71.66666666666667,2537.4375
19,3048.8,90.0,3070.076923076923
20,2719.285714285714,204.0,2489.0
21,2792.190476190476,88.33333333333333,2823.3333333333335
22,2755.2272727272725,162.0,2599.35
23,3447.8333333333335,124.0,3160.5882352941176
24,2967.15,110.0,2985.294117647059
25,3076.653846153846,122.0,3112.7272727272725
26,3260.7272727272725,120.0,3250.4210526315787
27,3803.4210526315787,118.0,4089.0
28,2795.5555555555557,105.0,2820.0
29,4008.0,87.0,3968.6111111111113
30,3408.48,115.2,3649.8
31,2677.818181818182,102.0,2797.037037037037
32,3687.7083333333335,132.0,3592.7272727272725
33,2988.7096774193546,130.0,2946.0
34,3498.6206896551726,183.0,3312.5925925925926
35,3239.277777777778,115.2,3245.4193548387098
36,2966.027777777778,151.66666666666666,2841.151515151515
37,3650.65625,173.33333333333334,3519.310344827586
38,2801.4,198.0,2603.6511627906975
39,3330.0810810810813,158.4,3283.4375
40,3170.731707317073,201.0,2990.2368421052633
41,3013.2558139534885,150.0,2879.7948717948716
42,4343.689655172414,146.0,4238.576923076923
43,3498.5365853658536,214.5,3315.7567567567567
44,3124.1666666666665,187.5,2960.0
45,3294.9545454545455,228.0,3073.170731707317
46,4106.235294117647,110.4,4234.862068965517
47,3400.7441860465115,240.0,3151.575
48,2775.396226415094,171.6,2635.1041666666665
49,3556.3333333333335,152.0,3436.682926829268
50,3064.0384615384614,122.57142857142857,3070.0
51,4071.6,197.33333333333334,3891.891891891892
52,3402.3529411764707,148.0,3304.304347826087
53,3271.4074074074074,121.5,3235.1666666666665
54,3557.0434782608695,186.66666666666666,3366.5116279069766
55,3144.839285714286,150.0,3077.44
56,3478.6785714285716,170.0,3336.921568627451
57,3527.16,178.2,3387.911111111111
58,3202.2413793103447,136.71428571428572,3151.764705882353
59,3261.64406779661,173.25,3116.9636363636364
60,3523.296296296296,193.66666666666666,3296.392156862745
61,4117.25,258.0,3845.6666666666665
62,4292.791666666667,231.0,4108.681818181818
63,3616.714285714286,191.25,3439.826923076923
64,3488.451612903226,220.0,3257.5862068965516
65,3845.0,194.4,3687.26
66,3419.1,189.0,3243.035714285714
67,3388.40625,267.0,3130.7868852459014
68,4224.923076923077,290.0,3950.5102040816328
69,3416.6060606060605,162.0,3256.55737704918
70,3213.5625,191.4,3046.0338983050847
71,3317.6,139.85714285714286,3237.5238095238096
72,3134.875,158.0,2980.0
73,3475.2985074626868,204.0,3288.0
74,3460.8,174.0,3325.25
