num_images,all,giraffes,zebras
2,522.0,0.0,513.0
3,1053.0,0.0,1040.0
4,1635.0,0.0,1590.0
5,1644.0,0.0,1596.0
6,1644.75,0.0,1554.0
7,2112.5,0.0,1996.75
8,2702.0,0.0,2516.25
9,3146.5,0.0,2842.0
10,2509.5,0.0,2277.3333333333335
11,2827.0,0.0,2570.6666666666665
12,3116.5,0.0,2847.5
13,3540.5,0.0,3218.6666666666665
14,3278.5714285714284,0.0,2982.5714285714284
15,3098.6666666666665,0.0,2790.0
16,3036.0,0.0,2704.8
17,2527.0,128.0,2443.25
18,2510.714285714286,128.0,2422.0
19,2681.0,128.0,2595.846153846154
20,2864.0714285714284,136.0,2783.153846153846
21,3030.8571428571427,140.0,2946.153846153846
22,2975.0666666666666,140.0,2885.1428571428573
23,2936.1875,144.0,2835.0
24,3094.0,152.0,2980.8
25,3138.3529411764707,156.0,3015.6875
26,3080.0,160.0,2947.764705882353
27,2897.5,164.0,2757.4736842105262
28,2946.3,172.0,2794.7368421052633
29,3093.8,172.0,2943.157894736842
30,3114.4285714285716,107.5,3093.4736842105262
31,3310.714285714286,107.5,3297.8947368421054
32,3036.0,110.0,2986.4545454545455
33,3165.4166666666665,117.5,3101.181818181818
34,3028.269230769231,122.5,2940.0
35,3136.4615384615386,125.0,3044.7083333333335
36,3223.269230769231,125.0,3132.9166666666665
37,3196.0,102.0,3203.375
38,3233.3571428571427,102.0,3234.56
39,3335.0,102.0,3341.8
40,3356.896551724138,108.0,3339.0
41,3240.7741935483873,108.0,3205.285714285714
42,3334.1935483870966,128.33333333333334,3277.464285714286
43,3392.4193548387098,133.0,3332.714285714286
44,3511.2903225806454,133.0,3456.0
45,3501.28125,133.0,3441.0344827586205
46,3565.5625,133.0,3508.448275862069
47,3711.46875,133.0,3659.5862068965516
48,3711.6666666666665,135.33333333333334,3648.0
49,3811.5151515151515,135.33333333333334,3751.5
50,3877.878787878788,135.33333333333334,3821.0666666666666
51,3860.0,116.0,3903.5
52,3940.1470588235293,120.0,3989.3333333333335
53,3833.5,122.0,3853.4375
54,3805.4054054054054,122.0,3816.7272727272725
55,3774.2105263157896,126.0,3765.8823529411766
56,3747.6923076923076,126.0,3732.8571428571427
57,3773.7179487179487,126.0,3760.714285714286
58,3759.5,126.0,3740.0
59,3738.9268292682927,128.0,3708.108108108108
60,3841.8536585365855,132.0,3809.837837837838
61,3806.1428571428573,132.0,3767.6315789473683
62,3857.1428571428573,132.0,3820.6315789473683
63,3890.5,132.0,3855.5
64,3827.6744186046512,132.0,3785.3846153846152
65,3865.6046511627906,132.0,3825.051282051282
66,3875.7906976744184,132.0,3835.871794871795
67,3919.0697674418607,132.0,3881.230769230769
68,3985.6744186046512,132.0,3950.769230769231
69,3952.840909090909,132.0,3911.425
70,3973.2954545454545,134.0,3927.7
71,3939.711111111111,136.0,3883.243902439024
72,4014.266666666667,136.0,3959.609756097561
73,4008.521739130435,138.0,3944.2380952380954
74,4025.744680851064,138.0,3958.139534883721
75,4100.425531914893,142.0,4024.9302325581393
