num_images,all,giraffes,zebras
2,1488.0,1770.0,1122.0
3,36200.0,1770.0,34680.0
4,1980.0,32.0,3224.0
5,1677.0,28.5,3960.0
6,3768.0,27.0,6392.0
7,1687.1666666666667,93.0,1734.0
8,1642.5,90.0,1607.4285714285713
9,2257.285714285714,46.0,2300.3333333333335
10,2987.1428571428573,144.0,2964.0
11,2665.0,108.0,2528.0
12,2416.0,37.0,2383.8
13,2837.090909090909,43.0,3015.5555555555557
14,3096.9,123.0,3000.0
15,2782.0,44.0,2630.4166666666665
16,3285.0,93.33333333333333,3714.5555555555557
17,2758.8,210.0,2499.214285714286
18,2989.3846153846152,57.0,3296.7
19,2556.235294117647,165.0,2309.4375
20,2149.8260869565215,65.33333333333333,2159.85
21,3362.0625,75.0,3874.5
22,3531.5555555555557,144.0,3594.8
23,2726.9565217391305,310.0,2454.5454545454545
24,2784.0,76.66666666666667,2827.4210526315787
25,3580.3333333333335,183.0,3448.5
26,3209.7727272727275,132.75,3333.6666666666665
27,2672.25,84.8,2810.217391304348
28,3109.153846153846,100.0,3071.7391304347825
29,2518.4242424242425,150.0,2349.2903225806454
30,4058.45,141.75,4321.0
31,2658.787878787879,96.0,2626.2413793103447
32,3089.5,144.66666666666666,3013.92
33,3443.3793103448274,137.25,3447.6
34,4673.7,97.5,5112.3125
35,3481.896551724138,165.0,3299.6666666666665
36,3106.277777777778,110.0,2983.6969696969695
37,3223.6363636363635,128.0,3209.448275862069
38,3051.3333333333335,145.2,3002.470588235294
39,3749.625,152.5,3572.266666666667
40,3162.125,204.0,2957.8947368421054
41,2688.06,119.0,2575.0
42,3140.243902439024,139.5,3082.3783783783783
43,3165.0,117.25,3093.942857142857
44,3219.2444444444445,99.0,3395.0810810810813
45,2941.2,179.66666666666666,2741.340425531915
46,3381.5348837209303,95.71428571428571,3529.777777777778
47,3388.186046511628,185.0,3180.878048780488
48,3341.7872340425533,113.4,3267.8571428571427
49,3227.2978723404253,162.0,3185.4634146341464
50,3446.08,168.75,3282.2608695652175
51,3232.4727272727273,152.0,3085.7450980392155
52,3280.4444444444443,186.66666666666666,3062.4117647058824
53,3586.1739130434785,200.75,3433.9285714285716
54,3341.4615384615386,170.0,3198.6382978723404
55,3888.0,186.66666666666666,3679.1428571428573
56,3441.846153846154,180.0,3287.0833333333335
57,3120.689655172414,199.2,2941.3207547169814
58,3136.842105263158,118.5,3002.264150943396
59,3499.1346153846152,154.0,3449.9347826086955
60,3963.235294117647,237.0,3701.8333333333335
61,3249.714285714286,121.8,3146.6666666666665
62,3402.0,211.75,3225.1153846153848
63,3293.2881355932204,224.0,3068.035714285714
64,3038.507462686567,191.25,2836.6984126984125
65,3383.0461538461536,328.0,3110.0476190476193
66,3320.3278688524592,162.0,3177.0
67,3649.655172413793,187.0,3494.056603773585
68,3092.4444444444443,225.5,2874.529411764706
69,3644.3846153846152,189.2,3477.0
70,3431.723076923077,154.14285714285714,3353.2241379310344
71,3545.0666666666666,168.0,3356.5714285714284
72,3914.0338983050847,172.0,3828.5283018867926
73,3281.675675675676,140.8,3132.0434782608695
74,3321.6857142857143,164.0,3140.8636363636365
