num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,686.0,0.0,679.0
5,1190.0,0.0,1170.0
6,1995.0,0.0,1935.0
7,2980.0,0.0,2900.0
8,4104.0,0.0,3984.0
9,4750.0,0.0,4550.0
10,5538.0,0.0,5252.0
11,6426.0,0.0,6102.0
12,7250.0,0.0,6873.0
13,2244.0,18.0,2761.0
14,2571.5,19.0,3168.0
15,3023.75,21.0,3746.6666666666665
16,2198.0,24.0,2451.8
17,2484.0,24.0,2781.0
18,2809.3333333333335,25.0,3148.8
19,3127.0,25.0,3515.2
20,3082.285714285714,27.0,3372.5
21,3064.0,28.0,3294.0
22,3308.125,29.0,3554.5714285714284
23,3067.5555555555557,29.0,3249.5
24,3243.3333333333335,29.0,3441.375
25,3003.0,29.0,3151.0
26,3189.6,29.0,3352.777777777778
27,3240.0,30.0,3400.1111111111113
28,2990.1666666666665,31.0,3081.4545454545455
29,2990.769230769231,35.0,3040.0
30,3299.3076923076924,36.0,3354.0
31,3072.8,36.0,3094.0
32,3196.0,36.0,3221.785714285714
33,3315.0,37.0,3326.266666666667
34,3531.125,37.0,3549.0
35,3780.9375,38.0,3798.6666666666665
36,3347.1052631578946,41.0,3489.705882352941
37,3281.85,42.0,3398.8888888888887
38,3363.0,43.0,3480.0
39,3318.8571428571427,44.0,3413.4210526315787
40,3370.714285714286,44.0,3469.7894736842104
41,3135.4166666666665,45.0,3186.818181818182
42,3084.48,67.5,3101.7391304347825
43,3081.1153846153848,69.0,3087.0
44,3246.923076923077,72.0,3247.7083333333335
45,3342.4615384615386,75.0,3336.0833333333335
46,3475.0,78.0,3462.3333333333335
47,3254.4827586206898,78.0,3220.0
48,3320.0,78.0,3287.037037037037
49,3287.9,78.0,3250.285714285714
50,3334.9333333333334,78.0,3298.75
51,3273.1935483870966,78.0,3232.137931034483
52,3343.548387096774,108.0,3272.4137931034484
53,3362.9032258064517,110.0,3287.5172413793102
54,3542.7096774193546,112.0,3464.551724137931
55,3595.8064516129034,116.0,3508.448275862069
56,3592.3125,116.0,3501.1
57,3670.3125,116.0,3581.3333333333335
58,3713.34375,116.0,3625.2
59,3739.787878787879,120.0,3638.5806451612902
60,3850.090909090909,120.0,3749.4193548387098
61,3870.5882352941176,124.0,3756.65625
62,3925.235294117647,126.0,3806.0
63,3903.4285714285716,126.0,3781.3333333333335
64,3937.0,126.0,3811.294117647059
65,3901.7297297297296,126.0,3775.0285714285715
66,4026.4864864864867,126.0,3900.285714285714
67,3966.315789473684,106.66666666666667,3942.6285714285714
68,4007.2894736842104,106.66666666666667,3985.2
69,4043.3684210526317,106.66666666666667,4022.5714285714284
70,4079.6052631578946,106.66666666666667,4060.114285714286
71,4025.871794871795,106.66666666666667,3999.3888888888887
72,4046.076923076923,106.66666666666667,4020.8333333333335
73,4020.0,108.33333333333333,3983.5675675675675
74,3795.720930232558,108.33333333333333,3742.2
