num_images,all,giraffes,zebras
2,36200.0,1770.0,34680.0
3,36200.0,1770.0,34680.0
4,801.0,1770.0,792.0
5,643.5,1770.0,638.0
6,1072.5,1770.0,1050.0
7,1503.0,1770.0,1458.0
8,1880.0,1770.0,1820.0
9,2244.0,1770.0,2178.0
10,2472.5,1770.0,2380.5
11,2808.0,1770.0,2688.0
12,3596.0,1770.0,3451.0
13,2904.0,1770.0,2783.0
14,3470.6666666666665,1770.0,3331.3333333333335
15,3736.6666666666665,1770.0,3584.6666666666665
16,4270.0,1770.0,4088.0
17,2807.2,1770.0,2692.8
18,3072.8,1770.0,2953.2
19,2784.0,1770.0,2672.0
20,2578.5714285714284,1770.0,2464.285714285714
21,2531.25,27.0,2718.1428571428573
22,2716.0,29.0,2907.1428571428573
23,2850.0,30.0,3048.0
24,2478.0,30.0,2582.8888888888887
25,2582.5454545454545,31.0,2666.4
26,2853.818181818182,32.0,2946.5
27,3195.909090909091,34.0,3291.6
28,3328.3636363636365,34.0,3432.0
29,3604.181818181818,34.0,3723.0
30,3302.3076923076924,34.0,3367.1666666666665
31,3235.0714285714284,38.0,3255.3846153846152
32,3365.714285714286,38.0,3391.230769230769
33,3379.2,38.0,3395.0
34,3360.375,38.0,3366.0
35,3484.6875,38.0,3494.4
36,3618.0,38.0,3630.866666666667
37,3183.9473684210525,38.0,3321.294117647059
38,3174.9,39.0,3291.5555555555557
39,2907.7391304347825,39.0,2975.1428571428573
40,3000.0,40.0,3068.0
41,2849.92,41.0,2890.4347826086955
42,2960.0,42.0,3000.1304347826085
43,3112.96,42.0,3160.9565217391305
44,3188.88,47.0,3224.695652173913
45,3280.24,72.0,3289.0434782608695
46,3407.4,73.5,3414.782608695652
47,3267.703703703704,76.5,3248.16
48,3356.5925925925926,102.0,3315.6
49,3370.714285714286,102.0,3325.3076923076924
50,3411.5714285714284,104.0,3362.730769230769
51,3514.4285714285716,106.0,3462.6153846153848
52,3427.7,110.0,3354.75
53,3498.6,110.0,3427.0
54,3552.266666666667,112.0,3476.785714285714
55,3495.0,112.0,3415.7241379310344
56,3603.4193548387098,114.0,3520.7586206896553
57,3703.0,116.0,3616.4137931034484
58,3677.6875,118.0,3582.8
59,3776.5,120.0,3677.4
60,3697.2727272727275,120.0,3595.3548387096776
61,3815.3030303030305,120.0,3715.1612903225805
62,3881.181818181818,120.0,3781.7419354838707
63,3952.787878787879,120.0,3854.2903225806454
64,4014.3939393939395,120.0,3916.451612903226
65,4028.823529411765,124.0,3916.0
66,3988.4,124.0,3872.848484848485
67,3940.6666666666665,124.0,3822.3529411764707
68,3793.4210526315787,124.0,3670.3333333333335
69,3820.0,126.0,3689.4594594594596
70,3849.846153846154,126.0,3719.3513513513512
71,3990.5128205128203,128.0,3854.7837837837837
72,4082.051282051282,130.0,3941.189189189189
73,3936.5365853658536,132.0,3787.3846153846152
74,3842.5581395348836,167.5,3668.2926829268295
