num_images,all,giraffes,zebras
2,1330.0,44.0,34680.0
3,1032.0,36.0,1606.0
4,1073.0,1770.0,905.3333333333334
5,1848.0,66.0,2293.5
6,1901.25,24.0,2185.3333333333335
7,3222.0,36.0,4028.0
8,4686.0,64.0,11532.0
9,2202.6666666666665,93.0,2217.6
10,2746.8571428571427,117.0,2615.8333333333335
11,2661.714285714286,51.0,3185.0
12,3532.5714285714284,105.0,3513.3333333333335
13,2433.6666666666665,58.5,2553.6
14,1860.611111111111,39.0,1844.0625
15,2538.0,90.0,2560.909090909091
16,2917.714285714286,48.0,2997.5
17,4026.0,65.33333333333333,4937.285714285715
18,1987.8181818181818,55.0,1915.2
19,2640.0,92.0,2610.0
20,2872.9411764705883,59.0,2983.5
21,2504.6666666666665,69.33333333333333,2508.0
22,2381.4,120.0,2232.695652173913
23,3148.4,106.75,3362.0625
24,2952.7272727272725,141.33333333333334,2917.8947368421054
25,2881.304347826087,130.66666666666666,2812.95
26,4307.941176470588,118.0,4060.25
27,3381.75,150.0,3225.6363636363635
28,3089.285714285714,147.5,2914.153846153846
29,2832.8275862068967,127.5,2709.4074074074074
30,2760.133333333333,240.0,2500.137931034483
31,3667.84,220.5,3460.8260869565215
32,2870.0,142.33333333333334,2771.862068965517
33,3968.695652173913,201.0,3775.4761904761904
34,3091.0,320.0,2823.757575757576
35,2650.725,85.5,2614.4444444444443
36,3217.4857142857145,146.0,3065.5625
37,2780.487804878049,234.5,2547.923076923077
38,3140.277777777778,161.0,2977.909090909091
39,3418.2972972972975,177.5,3185.8285714285716
40,3500.0,202.66666666666666,3319.3125
41,3244.8,99.4,3255.0857142857144
42,3087.0,175.5,2945.3333333333335
43,3694.5263157894738,210.66666666666666,3468.0
44,3136.866666666667,219.0,2933.214285714286
45,3072.8,152.0,2952.8888888888887
46,4222.53125,237.0,3937.2
47,2787.3333333333335,312.0,2546.923076923077
48,3374.733333333333,200.0,3159.8571428571427
49,3938.846153846154,131.25,3865.6
50,2792.6935483870966,156.0,2624.8793103448274
51,3286.4166666666665,146.66666666666666,3250.285714285714
52,3444.255319148936,159.75,3310.4651162790697
53,3973.9555555555557,193.66666666666666,3764.190476190476
54,3737.5813953488373,259.0,3471.317073170732
55,3734.9565217391305,180.4,3638.4146341463415
56,3319.509433962264,180.0,3143.122448979592
57,3223.684210526316,172.8,3098.576923076923
58,3435.185185185185,177.75,3271.84
59,3816.346153846154,137.5,3783.6521739130435
60,3394.8,162.0,3275.68
61,3027.936507936508,220.0,2817.864406779661
62,2913.220588235294,151.2,2762.9206349206347
63,3265.1803278688526,136.0,3129.464285714286
64,3520.9,174.0,3350.4
65,3568.362068965517,168.0,3459.2884615384614
66,3077.5774647887324,182.6,2915.5151515151515
67,3926.75,311.5,3611.5555555555557
68,3520.2033898305085,176.0,3371.3888888888887
69,3465.742424242424,184.16666666666666,3332.0833333333335
70,3804.9827586206898,226.2,3613.5849056603774
71,3635.0666666666666,243.0,3402.0
72,3486.5671641791046,273.0,3232.8571428571427
73,3327.2028985507245,172.0,3174.75
74,3335.8695652173915,255.75,3091.4307692307693
