num_images,all,giraffes,zebras
2,0.0,0.0,0.0
3,3456.0,38.0,0.0
4,2820.0,50.0,4275.0
5,1944.0,43.5,2932.5
6,2614.5,49.5,4020.0
7,3266.0,61.5,4998.0
8,3191.6,69.0,4053.3333333333335
9,3723.0,96.0,4725.0
10,2778.375,108.0,2803.5
11,3155.625,112.0,3214.1666666666665
12,3450.5,145.0,3495.3333333333335
13,3179.0,142.33333333333334,3413.714285714286
14,3545.4,144.66666666666666,3867.285714285714
15,3559.181818181818,168.0,3746.25
16,3515.75,168.0,3628.8888888888887
17,3195.0,170.66666666666666,3164.5454545454545
18,3189.3333333333335,170.66666666666666,3157.0
19,3282.4,178.66666666666666,3250.0
20,3289.5,186.66666666666666,3254.769230769231
21,3456.25,213.0,3401.5384615384614
22,3697.5,219.0,3667.3846153846152
23,3278.0,222.0,3146.0625
24,3332.5,250.0,3160.470588235294
25,3384.4285714285716,253.33333333333334,3200.0
26,3508.3809523809523,253.33333333333334,3328.1111111111113
27,3332.7391304347825,209.0,3272.2105263157896
28,3416.7391304347825,209.0,3364.1052631578946
29,3416.75,184.8,3495.7894736842104
30,3523.5,187.2,3611.7368421052633
31,3439.0,192.0,3472.8571428571427
32,3529.5,199.2,3553.809523809524
33,3573.777777777778,199.2,3584.0
34,3525.0,201.6,3509.217391304348
35,3615.3571428571427,201.6,3607.8260869565215
36,3701.464285714286,204.0,3695.391304347826
37,3743.0,206.4,3720.0
38,3734.5666666666666,206.4,3699.84
39,3591.8125,186.33333333333334,3639.230769230769
40,3595.6363636363635,188.5,3628.5185185185187
41,3607.0588235294117,188.5,3627.6428571428573
42,3667.676470588235,188.5,3695.714285714286
43,3752.5588235294117,188.5,3790.285714285714
44,3614.222222222222,188.5,3615.8
45,3579.4594594594596,188.5,3568.8709677419356
46,3624.2105263157896,174.0,3705.967741935484
47,3618.4615384615386,176.0,3679.3125
48,3685.5384615384614,176.0,3754.125
49,3692.625,176.0,3750.5454545454545
50,3680.0,178.0,3720.9117647058824
51,3673.3333333333335,180.0,3697.9714285714285
52,3712.0,180.0,3741.7714285714287
53,3771.8571428571427,180.0,3807.5142857142855
54,3748.5581395348836,180.0,3772.4166666666665
55,3808.0,180.0,3837.5
56,3795.75,182.0,3808.2162162162163
57,3713.0434782608695,182.0,3701.923076923077
58,3796.282608695652,184.0,3786.0
59,3781.9148936170213,184.0,3762.375
60,3686.5714285714284,184.0,3645.714285714286
61,3733.0408163265306,184.0,3697.1428571428573
62,3639.2156862745096,184.0,3584.25
63,3546.703703703704,184.0,3470.1063829787236
64,3455.5714285714284,184.0,3365.4489795918366
65,3434.6666666666665,184.0,3339.6
66,3480.3684210526317,186.0,3383.28
67,3525.315789473684,186.0,3430.4
68,3508.9827586206898,176.25,3459.22
69,3467.8813559322034,176.25,3411.549019607843
70,3445.3333333333335,176.25,3383.769230769231
71,3476.2,176.25,3416.8076923076924
72,3489.85,176.25,3431.75
73,3381.15873015873,176.25,3304.2363636363634
74,3411.0158730158732,176.25,3336.0
75,3363.353846153846,158.33333333333334,3332.7321428571427
